candidate_id,source_run,record_id,title,doi,manifest_status,pdf_found,pdf_path,pdf_bytes,pdf_sha256,final_docling_status,docling_json,markdown,chunks,chunk_count,figure_count,figures_manifest,markdown_chars,docling_json_bytes,notes,quality_flags
full_2026-07-06__rec_000003,full_2026-07-06,rec_000003,Short-Context Regulatory DNA Language Models with Motif-Discovery Regularization.,10.64898/2026.02.05.703637,non_pdf_full_text_downloaded,True,data/full_text_include_missing_retry_2026-07-09/pass2_direct_pdf_links/full_2026-07-06__rec_000003__Short-Context_Regulatory_DNA_Language_Models_with_Motif-Discovery_Regu/full_text_pass2_11_pattern_biorxiv_versioned.pdf,6647801,ccb7731fb45a865b8e958797d40cc4adfd446eef71c411a4414d659485076e91,docling_ok,data/docling_include_no_vlm_2026-07-09/documents/full_2026_07_06_rec_000003.docling.json,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000003.md,data/docling_include_no_vlm_2026-07-09/chunks/full_2026_07_06_rec_000003.jsonl,64,7,data/docling_include_no_vlm_2026-07-09/figures/full_2026_07_06_rec_000003/figures_manifest.json,48840,17218221,,
full_2026-07-06__rec_000060,full_2026-07-06,rec_000060,Query-driven generative AI synthesizes multi-modal spatial omics from histology.,10.64898/2025.12.11.693669,no_full_text_found,True,data/full_text_include_missing_retry_2026-07-09/pass2_direct_pdf_links/full_2026-07-06__rec_000060__Query-driven_generative_AI_synthesizes_multi-modal_spatial_omics_from_/full_text_pass2_01_pattern_biorxiv_versioned.pdf,1770069,727e224e366bee5bf5c766a2207e66caadfc43c9de4140fa06e3a9b4b74ae426,docling_ok,data/docling_include_no_vlm_2026-07-09/documents/full_2026_07_06_rec_000060.docling.json,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000060.md,data/docling_include_no_vlm_2026-07-09/chunks/full_2026_07_06_rec_000060.jsonl,126,6,data/docling_include_no_vlm_2026-07-09/figures/full_2026_07_06_rec_000060/figures_manifest.json,91511,43287300,,
full_2026-07-06__rec_000063,full_2026-07-06,rec_000063,TissueNarrator: Generative Modeling of Spatial Transcriptomics with Large Language Models.,10.1101/2025.11.24.690325,non_pdf_full_text_downloaded,True,data/full_text_include_missing_retry_2026-07-09/pass1_existing_downloader/full_2026-07-06__rec_000063__TissueNarrator_Generative_Modeling_of_Spatial_Transcriptomics_with_Lar/full_text_05_openalex_content_pdf.pdf,3410675,5378f64150bf2420c580e665e5047a3433514e18d33ed647af0db1841e050870,docling_ok,data/docling_include_no_vlm_2026-07-09/documents/full_2026_07_06_rec_000063.docling.json,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000063.md,data/docling_include_no_vlm_2026-07-09/chunks/full_2026_07_06_rec_000063.jsonl,67,4,data/docling_include_no_vlm_2026-07-09/figures/full_2026_07_06_rec_000063/figures_manifest.json,49271,24624625,,
full_2026-07-06__rec_000086,full_2026-07-06,rec_000086,ProCyon: A multimodal foundation model for protein phenotypes.,10.1101/2024.12.10.627665,non_pdf_full_text_downloaded,True,data/full_text_include_missing_retry_2026-07-09/pass2_direct_pdf_links/full_2026-07-06__rec_000086__ProCyon_A_multimodal_foundation_model_for_protein_phenotypes./full_text_pass2_01_html_full_text_05_openalex_landi.pdf,26292832,9ccfdf1edd0bf30dda9b6c33e09baa836bf3e544827cd3bdb5e5b00bc08e53d2,docling_ok,data/docling_include_no_vlm_2026-07-09/documents/full_2026_07_06_rec_000086.docling.json,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000086.md,data/docling_include_no_vlm_2026-07-09/chunks/full_2026_07_06_rec_000086.jsonl,66,7,data/docling_include_no_vlm_2026-07-09/figures/full_2026_07_06_rec_000086/figures_manifest.json,51709,29490481,,
full_2026-07-06__rec_000090,full_2026-07-06,rec_000090,Scaling Large Language Models for Next-Generation Single-Cell Analysis.,10.1101/2025.04.14.648850,non_pdf_full_text_downloaded,True,data/full_text_include_missing_retry_2026-07-09/pass1_existing_downloader/full_2026-07-06__rec_000090__Scaling_Large_Language_Models_for_Next-Generation_Single-Cell_Analysis/full_text_01_biorxiv_medrxiv_pdf.pdf,12996044,6ad24f17f0fb33e53ee3c6ff5f85538087b3cdb953031b580915380545510cee,docling_ok,data/docling_include_no_vlm_2026-07-09/documents/full_2026_07_06_rec_000090.docling.json,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000090.md,data/docling_include_no_vlm_2026-07-09/chunks/full_2026_07_06_rec_000090.jsonl,259,13,data/docling_include_no_vlm_2026-07-09/figures/full_2026_07_06_rec_000090/figures_manifest.json,182860,74797538,,
full_2026-07-06__rec_000099,full_2026-07-06,rec_000099,Semantic design of functional de novo genes from a genomic language model.,10.1038/s41586-025-09749-7,pdf_downloaded,True,data/full_text_downloads_2026-07-07/batch_000_049/full_2026-07-06__rec_000099__Semantic_design_of_functional_de_novo_genes_from_a_genomic_language_mo/full_text_07_europepmc_Europe_PMC.pdf,18287651,6e0d792eda33a8388c8edf33b2a55c0f921330d6abc8f5c3f5483b2c37989bf6,docling_ok,data/docling_include_no_vlm_2026-07-09/documents/full_2026_07_06_rec_000099.docling.json,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000099.md,data/docling_include_no_vlm_2026-07-09/chunks/full_2026_07_06_rec_000099.jsonl,181,14,data/docling_include_no_vlm_2026-07-09/figures/full_2026_07_06_rec_000099/figures_manifest.json,135883,69462196,,
full_2026-07-06__rec_000160,full_2026-07-06,rec_000160,PlantCAD2: A Long-Context DNA Language Model for Cross-Species Functional Annotation in Angiosperms.,10.1101/2025.08.27.672609,non_pdf_full_text_downloaded,True,data/full_text_include_missing_retry_2026-07-09/pass1_existing_downloader/full_2026-07-06__rec_000160__PlantCAD2_A_Long-Context_DNA_Language_Model_for_Cross-Species_Function/full_text_05_openalex_content_pdf.pdf,2552621,7ad86f33d5d1812e5d3bd6109758c69d85e6045be940922f767766f99492f6b0,docling_ok,data/docling_include_no_vlm_2026-07-09/documents/full_2026_07_06_rec_000160.docling.json,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000160.md,data/docling_include_no_vlm_2026-07-09/chunks/full_2026_07_06_rec_000160.jsonl,147,12,data/docling_include_no_vlm_2026-07-09/figures/full_2026_07_06_rec_000160/figures_manifest.json,98849,63276486,,
full_2026-07-06__rec_000184,full_2026-07-06,rec_000184,TRAFICA: an open chromatin language model to improve transcription factor binding affinity prediction.,10.1093/bioinformatics/btaf469,pdf_downloaded,True,data/full_text_downloads_2026-07-07/batch_000_049/full_2026-07-06__rec_000184__TRAFICA_an_open_chromatin_language_model_to_improve_transcription_fact/full_text_09_europepmc_Europe_PMC.pdf,5069137,8040c3cf2b32f49677ceda7e446c3e73b0d125d1601e5a13a2164138a2625a14,docling_ok,data/docling_include_no_vlm_2026-07-09/documents/full_2026_07_06_rec_000184.docling.json,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000184.md,data/docling_include_no_vlm_2026-07-09/chunks/full_2026_07_06_rec_000184.jsonl,65,5,data/docling_include_no_vlm_2026-07-09/figures/full_2026_07_06_rec_000184/figures_manifest.json,49365,19218339,,
full_2026-07-06__rec_000246,full_2026-07-06,rec_000246,Cross-species modeling of plant genomes at single-nucleotide resolution using a pretrained DNA language model.,10.1073/pnas.2421738122,pdf_downloaded,True,data/full_text_downloads_2026-07-07/batch_000_049/full_2026-07-06__rec_000246__Cross-species_modeling_of_plant_genomes_at_single-nucleotide_resolutio/full_text_07_europepmc_Europe_PMC.pdf,2964047,d9b52a4de64e102b995747627dc1348756d15d245af7ff47df4d94ad3cbb8800,docling_ok,data/docling_include_no_vlm_2026-07-09/documents/full_2026_07_06_rec_000246.docling.json,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000246.md,data/docling_include_no_vlm_2026-07-09/chunks/full_2026_07_06_rec_000246.jsonl,119,11,data/docling_include_no_vlm_2026-07-09/figures/full_2026_07_06_rec_000246/figures_manifest.json,83863,25435109,,
full_2026-07-06__rec_000313,full_2026-07-06,rec_000313,GENA-LM: a family of open-source foundational DNA language models for long sequences.,10.1093/nar/gkae1310,pdf_downloaded,True,data/full_text_downloads_2026-07-07/batch_000_049/full_2026-07-06__rec_000313__GENA-LM_a_family_of_open-source_foundational_DNA_language_models_for_l/full_text_10_europepmc_Europe_PMC.pdf,2569084,668930cb8bae9ddc482c47093afae1861845e656e062a543101a0d8a9c69ebc4,docling_ok,data/docling_include_no_vlm_2026-07-09/documents/full_2026_07_06_rec_000313.docling.json,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000313.md,data/docling_include_no_vlm_2026-07-09/chunks/full_2026_07_06_rec_000313.jsonl,167,10,data/docling_include_no_vlm_2026-07-09/figures/full_2026_07_06_rec_000313/figures_manifest.json,120371,38027407,,
