record_id,original_cluster_id,input_index,title,abstract,doi,year,venue,sources,cluster_id,title_normalized,preprint_doi,pmid,arxiv_id,authors,date,url,n_sources,all_dois,duplicate_count,search_date_statuses,has_uncertain_search_date,source_query_ids,candidate_id,source_record_id,source_run,source_corpus,screening_record_id,final_decision,final_code,uncertainty_reason,screening_source,abstract_source,abstract_enriched_from,abstract_old_len,doi_enriched_from,doi_enrichment_title_score,doi_enrichment_corroboration
update_2026-08-09__rec_000001,0,1,PlantCAD2: A DNA foundation model for interpreting genomes across flowering plants.,"Flowering plants (angiosperms) exhibit extraordinary species diversity, ∼200-fold variation in genome size, and relatively compact coding regions, presenting both a unique challenge and opportunity for DNA language models. Here, we introduce PlantCAD2, an extended-context, plant-specific DNA language model with single-nucleotide resolution, pre-trained on 65 angiosperm genomes, together with a series of public benchmarks for evaluation. Comprehensive zero-shot testing shows that PlantCAD2 (676 million parameters) efficiently captures evolutionary conservation, surpassing the 7-billion-parameter Evo2 in 10 of 12 tasks. With parameter-efficient fine-tuning, PlantCAD2 outperforms the 1-billion-parameter AgroNT across seven cross-species tasks including chromatin accessible region, gene expression, and protein translation. Its 8,192-bp context window substantially improves accessible chromatin prediction in large genomes such as maize (area under the precision-recall curve [AUPRC] increasing from 0.587 to 0.711), underscoring the importance of long-range context for modeling distal regulation. These results establish PlantCAD2 as a powerful and versatile foundation model for plant genome annotation and interpretation across diverse species.",10.1016/j.xgen.2026.101329,2026,Cell genomics,"['openalex', 'pubmed', 'semantic_scholar']",0,plantcad2 a dna foundation model for interpreting genomes across flowering plants,,42567165,,Zhai Jingjing; Gokaslan Aaron; Hsu Sheng-Kai; Chen Szu-Ping; Liu Zong-Yan; Marroquin Edgar; Czech Eric; Cannon Betsy; Berthel Ana; Romay M Cinta; Pennell Matt; Kuleshov Volodymyr; Buckler Edward S,2026-08-07,,3,['10.1016/j.xgen.2026.101329'],3,"['in_range', 'in_range_database_filter']",False,{'openalex': ['main']},update_2026-08-09__rec_000001,rec_000001,update_2026-08-09,update_2026-08-09,rec_000001,UNCERTAIN,none,generative_status_unclear,/Users/bogdan.didenko/lpnu/review/data/living_catalog_updates/update_2026-08-09/04_abstract_screening/final_screening_results.json,,,,,,
update_2026-08-09__rec_000003,3,3,GEM-GPT Enables Personalized Cell Type-Resolved Therapeutic Design for Systems Pharmacology.,"Generative artificial intelligence (AI) has emerged as a powerful framework for drug discovery, yet most current approaches follow one-drug-one-gene target-based paradigms that struggle to capture the complexity and heterogeneity of chronic and systemic diseases. Omics-driven systems pharmacology provides a promising strategy to overcome these limitations, but generative AI tools specifically designed for systems pharmacology-oriented drug design remain scarce. To address this gap, we introduce GEM-GPT, a transcriptomics-based molecule generation framework that designs personalized therapeutic compounds capable of reverting cell type-specific disease states back to a healthy phenotype. GEM-GPT employs a biology-inspired deep fusion architecture that couples a single-cell RNA-sequencing (scRNA-seq) foundation model with a molecular GPT model, enabling the modeling of cell type-specific chemical-gene interactions during molecule generation. This integration allows GEM-GPT to outperform state-of-the-art baselines, generate distinct molecules for different cell types, and generalize robustly to previously unseen cell types. We further demonstrate the utility of GEM-GPT through a case study in personalized drug discovery for opioid use disorder (OUD). In this application, GEM-GPT successfully identifies both therapeutic compounds possessing distinct chemotypes and existing FDA-approved drugs predicted to modulate cell type-specific OUD disease phenotypes in individual patients. Together, these results establish GEM-GPT as an advance in AI-driven systems pharmacology by bridging single-cell omics and molecular generation to support personalized, systems-aware therapeutic design.",10.64898/2026.07.17.739269,2026,bioRxiv : the preprint server for biology,"['biorxiv_medrxiv', 'openalex', 'pubmed', 'semantic_scholar']",3,gemgpt enables personalized cell typeresolved therapeutic design for systems pharmacology,,42539229,,Zhang Shuo; Ohlan Rahul; Mottaqi Mohammadsadeq; Xie Lei,2026-07-22,,4,['10.64898/2026.07.17.739269'],4,"['in_range', 'in_range_database_filter']",False,{'openalex': ['main']},update_2026-08-09__rec_000003,rec_000003,update_2026-08-09,update_2026-08-09,rec_000003,INCLUDE,none,none,/Users/bogdan.didenko/lpnu/review/data/living_catalog_updates/update_2026-08-09/04_abstract_screening/final_screening_results.json,,,,,,
update_2026-08-09__rec_000025,35,25,scDifformer: diffusion-based post-training for virtual cell modeling across large-scale single-cell data,"Abstract Virtual cells represent a promising paradigm to understand cellular mechanisms, behavior, and dynamics. The realization of virtual cells relies on the accurate modeling of cellular dynamics from large-scale, multi-modal single-cell data. However, experiment-specific technical noise and intrinsic biological heterogeneity pose major challenges for virtual cell modeling. To address this gap, we present scDifformer, a context-aware transformer model augmented with a denoising diffusion module and a dedicated post-training phase. This three-phase design, comprising masked language model pre-training, diffusion-driven post-training, and downstream fine-tuning, directly enhances scDifformer’s ability to denoise sparse, noisy data and generalize across studies. Benchmarking across seven tissues and multiple independent studies shows that the diffusion module consistently improves cross-dataset performance, particularly in settings with strong batch effects. By combining the strengths of transformer and diffusion models, scDifformer achieves state-of-the-art performance in cell type annotation across diverse datasets. It further demonstrates robust capability in resolving immune cell identities across multiple tissues, accurately recovering key marker genes, functional pathways, and cross-tissue differentiation trajectories. Finally, by integrating scDifformer with a graph neural network, we extend its utility to spatial transcriptomics, significantly enhancing spot-level deconvolution accuracy. Altogether, scDifformer provides a scalable and biologically grounded framework for modeling heterogeneous single-cell data, offering a powerful foundation for the development of high-fidelity, multi-modal virtual cell models.",10.1093/nar/gkag706,2026,Nucleic Acids Research,['scopus'],35,scdifformer diffusionbased posttraining for virtual cell modeling across largescale singlecell data,,,,Xiao Z.,2026-07-22,,1,['10.1093/nar/gkag706'],1,['in_range'],False,{},update_2026-08-09__rec_000025,rec_000025,update_2026-08-09,update_2026-08-09,rec_000025,INCLUDE,none,none,/Users/bogdan.didenko/lpnu/review/data/living_catalog_updates/update_2026-08-09/04_abstract_screening/final_screening_results.json,s2_doi,,,,,
update_2026-08-09__rec_000039,57,39,Lineage-Independent Structural Risk Detection in SARS- CoV-2 Spike Protein via Zero-Shot Protein Language Modeling,"Genomic surveillance pipelines typically classify SARS-CoV-2 variants against curated lineage dictionaries, creating a structural ""blind window"" between a variant's public sequence deposition and formal risk characterization. Here we present a zero-shot structural risk quantification framework that applies the protein language model ESM-2, without fine-tuning on epidemiological outcome labels, to estimate destabilization at functionally weighted positions of the SARS-CoV-2 spike protein, yielding a composite Aggression Score. We retrospectively evaluated this framework against four GenBank isolates spanning distinct evolutionary periods and lineage-dictionary coverage: Delta, Omicron BA.1, BF.11.3, and a 2026 isolate externally designated XFG.5.1.7. Two of these isolates lack dedicated entries in the reference signature dictionary, yet both were correctly flagged with elevated Aggression Scores. These results indicate that structural risk quantification via masked-token log-likelihood ratios can operate independently of lineage-dictionary coverage. We interpret these findings as retrospective consistency rather than prospective predictive validation.",10.5281/zenodo.21381359,2026,Zenodo (CERN European Organization for Nuclear Research),['openalex'],57,lineageindependent structural risk detection in sars cov2 spike protein via zeroshot protein language modeling,,,,['Richard Alexander Armuelles Zeballos'],2026-07-15,https://doi.org/10.5281/zenodo.21381359,1,['10.5281/zenodo.21381359'],1,['in_range_database_filter'],False,{'openalex': ['main']},update_2026-08-09__rec_000039,rec_000039,update_2026-08-09,update_2026-08-09,rec_000039,INCLUDE,none,none,/Users/bogdan.didenko/lpnu/review/data/living_catalog_updates/update_2026-08-09/04_abstract_screening/final_screening_results.json,,,,,,
update_2026-08-09__rec_000076,95,76,Miniaturizing and modifying natural proteins with Raygun,"Proteins have evolved over billions of years through coordinated substitutions, insertions and deletions, yet computational protein design cannot fully replicate nature’s ability to engineer new proteins from existing templates. Protein language models^ 1 – 3 generate informative per-residue representations, but harnessing them for large-scale, function-preserving sequence modifications has remained beyond reach. Here we introduce Raygun, a generative artificial intelligence framework that enables miniaturization, modification and augmentation of proteins, using a probabilistic encoding of protein sequences constructed from language model embeddings. Our key conceptual advance is to encode each protein not as a sequence of variable length in high-dimensional space, but as a probability distribution in fixed dimensions, making proteins of any length directly commensurable. Controlled by just two parameters governing substitutions and length changes, Raygun can shrink proteins by 10–25% (sometimes more than 50%), expand them beyond their natural size, and introduce extensive sequence diversity, all while preserving predicted structural integrity and functional sites. In cell-based validation, Raygun miniaturized fluorescent proteins (2 shorter than 96% of fluorescent proteins in FPbase) and TurboID, a synthetic biotin ligase that has been widely adopted for proteomics. It also expanded epidermal growth factor (EGF), generating variants with higher EGFR-binding affinity than the wild type. These results show that protein function can be faithfully captured in a length-agnostic representation, enabling the kind of coordinated, large-scale sequence modifications that characterize natural protein evolution. Probabilistic sequence encoding from language model embeddings within a generative AI framework enables protein miniaturization, modification and augmentation while maintaining native architecture and functional integrity.",10.1038/s41586-026-10842-8,2026,Nature,"['openalex', 'semantic_scholar', 'springernature']",95,miniaturizing and modifying natural proteins with raygun,,42527603,,"['Kapil Devkota', 'Daichi Shonai', 'Yiwei Mao', 'Young Su Ko', 'Wei Wang', 'Scott H. Soderling', 'Rohit Singh']",2026-07-29,https://doi.org/10.1038/s41586-026-10842-8,3,['10.1038/s41586-026-10842-8'],3,"['in_range', 'in_range_database_filter']",False,{'openalex': ['main']},update_2026-08-09__rec_000076,rec_000076,update_2026-08-09,update_2026-08-09,rec_000076,INCLUDE,none,none,/Users/bogdan.didenko/lpnu/review/data/living_catalog_updates/update_2026-08-09/04_abstract_screening/final_screening_results.json,,,,,,
update_2026-08-09__rec_000082,102,82,Unify learns cellular evolution with universal multimodal embeddings,"Integrating single-cell RNA-sequencing (scRNA-seq) data across species is still technically challenging. Here, the authors report a transfer learning framework designed to integrate scRNA-seq data across species by combining RNA expression with embeddings from protein language models and general-purpose language models. Integrating single-cell RNA-sequencing (scRNA-seq) data across species is hindered by evolutionary divergence, technical batch effects, and the reliance on one-to-one orthologs. Here, we present Unify, a transfer learning methodology that learns universal cell embeddings by defining functionally coherent, multi-modal macrogenes. This is achieved by combining RNA expression with embeddings from protein language models and general-purpose language models. Unify transcends species boundaries, enabling cross-species comparisons beyond strict gene-level homology. Unify corrects batch effects while preserving conserved biological signals across vast evolutionary distances and enables more accurate prediction of perturbation responses across species, such as from mouse to human. Applied to species separated by over 700 million years, Unify reconstructs more accurate multi-species cell-type evolutionary trees and uncovers convergent gene programs. Together, these results establish Unify as a powerful method for comparative single-cell genomics and evolutionary biology.",10.1038/s41467-026-76230-y,2026,Nature Communications,"['openalex', 'semantic_scholar', 'springernature']",102,unify learns cellular evolution with universal multimodal embeddings,,,,"['Huawen Zhong', 'Wenkai Han', 'Guoxin Cui', 'David Gómez-Cabrero', 'Jesper Tegnér', 'Xin Gao', 'Manuel Aranda']",2026-07-31,https://doi.org/10.1038/s41467-026-76230-y,3,['10.1038/s41467-026-76230-y'],3,"['in_range', 'in_range_database_filter']",False,{'openalex': ['main']},update_2026-08-09__rec_000082,rec_000082,update_2026-08-09,update_2026-08-09,rec_000082,UNCERTAIN,none,mixed_signals,/Users/bogdan.didenko/lpnu/review/data/living_catalog_updates/update_2026-08-09/04_abstract_screening/final_screening_results.json,,,,,,
update_2026-08-09__rec_000106,127,106,scMIR: a vision-language foundation model for single-cell light microscopy image representation,"Single-cell light microscopy images have become an important data source for characterizing cell phenotypes, but their complexity and heterogeneity pose challenges to high-throughput automated analysis. Existing representation learning methods mostly rely on task-oriented modeling, which is limited by specific datasets and predefined tasks, making them difficult to generalize across different cell types and microscopy modalities, and experimental conditions. Although general-purpose methods have improved the generalization ability of image representation in recent years, their limited utilization of experimental background and biological context information still poses challenges in complex phenotypic analysis. Here, we propose scMIR, a vision-language foundation model for single-cell light microscopy image representation. By synergistically combining self-supervised image reconstruction with text-guided cross-modal alignment, scMIR can simultaneously encode morphological and biological semantic information in a unified representation space. scMIR is pre-trained on 207,957 image-text pairs, covering various cell types, microscopy modalities, and perturbation conditions. scMIR outperforms existing general models and task-oriented methods as systematically evaluated on various complex tasks using 16 benchmark datasets, including cell classification, clustering, phenotype inference, and batch effect correction tasks. Furthermore, scMIR shows a strong generalization ability across various tasks without requiring task-specific fine-tuning. With its unique advantages, we envision scMIR may promote the standardization and automation of high-throughput phenotyping workflows through supporting various downstream analysis tasks.",,2026,,"['arxiv', 'semantic_scholar']",127,scmir a visionlanguage foundation model for singlecell light microscopy image representation,,,2607.22712v2,Yifan Shang; J. Tan; Xiangxiang Zeng; Renjie Zhou,2026-07-21,,2,[],2,"['in_range', 'in_range_database_filter']",False,{'arxiv': ['primary']},update_2026-08-09__rec_000106,rec_000106,update_2026-08-09,update_2026-08-09,rec_000106,INCLUDE,none,none,/Users/bogdan.didenko/lpnu/review/data/living_catalog_updates/update_2026-08-09/04_abstract_screening/final_screening_results.json,,,,,,
update_2026-08-09__rec_000131,167,131,CellDuality: Unlocking Biological Reasoning in LLMs with Self-Supervised RLVR.,"Chen Y(1), Tan Z(2), Zhang R(1), Qiu M(1), Chen T(1).",,2026,International Conference on Learning Representations,['semantic_scholar'],167,cellduality unlocking biological reasoning in llms with selfsupervised rlvr,,42559559,,Yuhang Chen; Zhen Tan; Ruichen Zhang; Mufan Qiu; Tianlong Chen,,,1,[],1,['unknown_missing'],True,{},update_2026-08-09__rec_000131,rec_000131,update_2026-08-09,update_2026-08-09,rec_000131,INCLUDE,none,paper_type_unclear,/Users/bogdan.didenko/lpnu/review/data/living_catalog_updates/update_2026-08-09/04_abstract_screening/final_screening_results.json,pubmed,,,,,
update_2026-08-09__rec_000138,175,138,"OCellus: A Language-Model Framework for Single-Cell, Spatial, and Perturbation Biology with Natural-Language Reasoning","Abstract Computational modeling of cellular behavior—the virtual cell—has emerged as a stated grand challenge at the intersection of artificial intelligence and biology, yet existing foundation models remain specialized: single-cell models process dissociated transcriptomes only, spatial models require dedicated spatial-aware architectures, and perturbation predictors depend on manually curated knowledge bases that cap generalization. Here we introduce OCellus, a single nine-billion-parameter language model (Qwen3.5-9B) fine-tuned on twenty-two biological tasks that simultaneously addresses all three limitations through three coordinated technical contributions on a shared backbone. First, EvenClock encodes two-dimensional spatial coordinates as eighteen clockface sectors of text, enabling spatial reasoning on a vanilla language model without architectural modification; on ten spatial transcriptomics tasks OCellus attains 77 percent spatial-neighborhood accuracy, 96 percent spatial-cellchat accuracy, and 0.70 proportion-cosine similarity on spatial deconvolution, all without any spatial-aware architectural components. Second, per-gene language-model embeddings replace the Gene Ontology annotations that GEARS depends on, achieving Pearson correlation 0.945 on the Replogle 2022 perturbation benchmark versus 0.84 for GEARS across 457 completely unseen knockout genes. Third, OCellus-Agent provides a Planner–Router–Verifier natural-language interface that achieves 75 percent pipeline accuracy on eighty multi-task queries. Removing language-model embeddings collapses perturbation Pearson to 0.06, confirming that learned functional representations—not graph topology—drive the gain. As a cell-type encoder, OCellus ranks first among fourteen foundation models in linear-probe accuracy at 95.1 percent across four benchmark datasets, and reaches 72.6 percent average across twenty-two evaluated biological tasks—a 57-percentage-point absolute gain over the strongest baseline configuration. As a language model, OCellus uniquely generates natural-language explanations of its predictions, a capability absent from all competing methods. Code, pre-trained model weights, the graph-neural-network module, and the agent system will be made available upon publication.",10.64898/2026.07.08.737248,2026,bioRxiv,"['google_scholar', 'semantic_scholar']",175,ocellus a languagemodel framework for singlecell spatial and perturbation biology with naturallanguage reasoning,,,,Chen Zhang; Jianlong Sun; Zaoxu Xu; Renjie Liao; An Yin; Hui Gao; Erkai Liu; Yuanye Bao; Luyang Zhao; Gufeng Wang,2026-07-12,https://www.biorxiv.org/content/biorxiv/early/2026/07/12/2026.07.08.737248.full.pdf,2,['10.64898/2026.07.08.737248'],2,"['in_range', 'unknown_year_only']",True,{'google_scholar': ['gs_q1']},update_2026-08-09__rec_000138,rec_000138,update_2026-08-09,update_2026-08-09,rec_000138,INCLUDE,none,none,/Users/bogdan.didenko/lpnu/review/data/living_catalog_updates/update_2026-08-09/04_abstract_screening/final_screening_results.json,,openalex_doi,194,,,
update_2026-08-09__rec_000219,293,219,Building Knowledge-Enhanced AI Co-Scientists for Biomedical Discovery,"… of cell-type annotation with the different modes of scGPT and … Therefore, there is a need to build a Foundation Model (FM) … (It means we mask the gene expression levels of some genes …",,2026,,['google_scholar'],293,building knowledgeenhanced ai coscientists for biomedical discovery,,,,['T Liu'],,https://search.proquest.com/openview/6025fa2ffc26695c45d474868a25be39/1?pq-origsite=gscholar&cbl=18750&diss=y,1,[],1,['unknown_year_only'],True,{'google_scholar': ['gs_q1']},update_2026-08-09__rec_000219,rec_000219,update_2026-08-09,update_2026-08-09,rec_000219,UNCERTAIN,none,mixed_signals,/Users/bogdan.didenko/lpnu/review/data/living_catalog_updates/update_2026-08-09/04_abstract_screening/final_screening_results.json,,,,,,
