cluster_id,title,regression_group,deepseek_rep1_pilot_final_decision,deepseek_rep2_pilot_final_decision,gptoss_rep1_pilot_final_decision,gptoss_rep2_pilot_final_decision,all_runs_decision_set,all_runs_stable,all_runs_include_any,all_runs_include_all,all_runs_uncertain_any,all_runs_include_count,all_runs_exclude_count,all_runs_uncertain_count
benchmark:10,CellPLM: Pre-training of Cell Language Model Beyond Single Cells,benchmark_boundary_case,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE|EXCLUDE|EXCLUDE|EXCLUDE,True,False,False,False,0,4,0
benchmark:2,Cellwhisperer: Wenn Forscher mit Zellen chatten,benchmark_boundary_case,INCLUDE,INCLUDE,INCLUDE,INCLUDE,INCLUDE|INCLUDE|INCLUDE|INCLUDE,True,True,True,False,4,0,0
benchmark:1,ChatCell: Facilitating Single-Cell Analysis with Natural Language,benchmark_boundary_case,INCLUDE,INCLUDE,INCLUDE,INCLUDE,INCLUDE|INCLUDE|INCLUDE|INCLUDE,True,True,True,False,4,0,0
benchmark:3,EpiAgent: foundation model for single-cell epigenomics,benchmark_boundary_case,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE|EXCLUDE|EXCLUDE|EXCLUDE,True,False,False,False,0,4,0
benchmark:5,GeneGPT: Augmenting Large Language Models with Domain Tools for Improved Access to Biomedical Information,benchmark_boundary_case,EXCLUDE,EXCLUDE,EXCLUDE,INCLUDE,EXCLUDE|EXCLUDE|EXCLUDE|INCLUDE,False,True,False,False,1,3,0
benchmark:4,GenePT: A Simple But Effective Foundation Model for Genes and Cells Built From ChatGPT.,benchmark_boundary_case,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE|EXCLUDE|EXCLUDE|EXCLUDE,True,False,False,False,0,4,0
benchmark:9,Generative pretraining from large-scale transcriptomes: Implications for single-cell deciphering and clinical translation,benchmark_boundary_case,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE|EXCLUDE|EXCLUDE|EXCLUDE,True,False,False,False,0,4,0
benchmark:0,LangCell: Language-Cell Pre-training for Cell Identity Understanding,benchmark_boundary_case,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE|EXCLUDE|EXCLUDE|EXCLUDE,True,False,False,False,0,4,0
benchmark:11,Nicheformer: a foundation model for single-cell and spatial omics,benchmark_boundary_case,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE|EXCLUDE|EXCLUDE|EXCLUDE,True,False,False,False,0,4,0
benchmark:6,PathOmCLIP: Connecting tumor histology with spatial gene expression via locally enhanced contrastive learning of Pathology and Single-cell foundation model,benchmark_boundary_case,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE|EXCLUDE|EXCLUDE|EXCLUDE,True,False,False,False,0,4,0
benchmark:7,Scaling Large Language Models for Next-Generation Single-Cell Analysis.,benchmark_boundary_case,INCLUDE,INCLUDE,INCLUDE,INCLUDE,INCLUDE|INCLUDE|INCLUDE|INCLUDE,True,True,True,False,4,0,0
benchmark:12,X-Cell: Scaling Causal Perturbation Prediction Across Diverse Cellular Contexts via Diffusion Language Models,benchmark_boundary_case,INCLUDE,INCLUDE,INCLUDE,INCLUDE,INCLUDE|INCLUDE|INCLUDE|INCLUDE,True,True,True,False,4,0,0
benchmark:8,scGPT: toward building a foundation model for single-cell multi-omics using generative AI,benchmark_boundary_case,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE|EXCLUDE|EXCLUDE|EXCLUDE,True,False,False,False,0,4,0
283,"A multimodal framework for assessing the link between pathomics, transcriptomics, and pancreatic cancer mutations.",exclude_uncertain_unstable,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE|EXCLUDE|EXCLUDE|EXCLUDE,True,False,False,False,0,4,0
1198,Big Bird: Transformers for Longer Sequences,exclude_uncertain_unstable,UNCERTAIN,EXCLUDE,EXCLUDE,EXCLUDE,UNCERTAIN|EXCLUDE|EXCLUDE|EXCLUDE,False,False,False,True,0,3,1
418,BioNexusSentinel: a visual tool for bioregulatory network and cytohistological RNA-seq genetic expression profiling within the context of multicellular simulation research using ChatGPT-augmented software engineering.,exclude_uncertain_unstable,UNCERTAIN,UNCERTAIN,EXCLUDE,EXCLUDE,UNCERTAIN|UNCERTAIN|EXCLUDE|EXCLUDE,False,False,False,True,0,2,2
693,Biologically grounded neocortex computational primitives implemented on neuromorphic hardware improve vision transformer performance,exclude_uncertain_unstable,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE|EXCLUDE|EXCLUDE|EXCLUDE,True,False,False,False,0,4,0
1078,Can artificial intelligence-strengthened ChatGPT or other large language models transform nucleic acid research?,exclude_uncertain_unstable,UNCERTAIN,EXCLUDE,INCLUDE,INCLUDE,UNCERTAIN|EXCLUDE|INCLUDE|INCLUDE,False,True,False,True,2,1,1
982,ClinClip: a Multimodal Language Pre-training model integrating EEG data for enhanced English medical listening assessment,exclude_uncertain_unstable,UNCERTAIN,INCLUDE,UNCERTAIN,EXCLUDE,UNCERTAIN|INCLUDE|UNCERTAIN|EXCLUDE,False,True,False,True,1,1,2
267,Comprehensive molecular analyses of an autoimmune-related gene predictive model and immune infiltrations using machine learning methods in intracranial aneurysma.,exclude_uncertain_unstable,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE|EXCLUDE|EXCLUDE|EXCLUDE,True,False,False,False,0,4,0
927,Computational Design of Synthetic Optical Barcodes in Microdroplets,exclude_uncertain_unstable,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE,EXCLUDE|EXCLUDE|EXCLUDE|EXCLUDE,True,False,False,False,0,4,0
