"id","label","type","__class__","route_label","model_name","lifecycle_phase","task_or_configuration_verbatim","source_object_verbatim","source_object_normalized","source_modality_normalized","transformation_chain_verbatim","transformation_chain_normalized","model_visible_form_verbatim","carrier_family","carrier_subtype","insertion_or_fusion_verbatim","fusion_topology","text_role","input_status","evidence_quote","section_heading","supporting_figure_or_table","evidence_status","uncertainty","__provenance__","taxonomy_version","title","doi","input_routes"
"TaxonomyCodedRoute_ee056b9aa48934b4","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","OCellus: Training a virtual cell foundation model","OCellus","pretraining","Training overview: multi-modal biological data (single-cell RNA-seq, spatial transcriptomics, perturbation screens, protein-protein interaction databases) is tokenized and passed through a transformer encoder, then aligned to a Qwen large-language-model backbone to produce the OCellus base model.","multi-modal biological data","multi-modal single-cell biological data","single-cell RNA-seq, spatial transcriptomics, perturbation screens, protein-protein interaction databases","['Training from multi-modal single-cell data', 'OCellus Transformer Encoder', 'Multi-modal Cell Embedding', 'Data integration', 'Qwen LLM model', 'Tiny LLM', 'Aligned OCellus Base Model']","['multi-modal single-cell data', 'transformer encoder', 'multi-modal cell embedding', 'data integration', 'Qwen LLM model', 'Tiny LLM', 'aligned OCellus base model']","Aligned OCellus Base Model","text_native_token_stream","serialized_biological_context_or_ordered_profile","aligned to a Qwen large-language-model backbone","shared_latent_alignment","paired_alignment_supervision","paired_alignment_input","Training from multi-modal single-cell data","Results","Figure 1(a)","text_plus_figure","","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [7], ""pages"": [6, 7], ""refs"": [""#/texts/139"", ""#/pictures/0""], ""spans"": [{""chunk"": 7, ""start"": 1262, ""end"": 1311}]}","","","",""
"TaxonomyCodedRoute_592987231e84aead","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Central training hub and plug-in modular integration (Emulating self-supervised learning)","OCellus","unclear","Central training hub and plug-in modular integration (Emulating self-supervised learning)","Cell Data, Spatial Transcriptome Data, and a Gene Knockout database","cell data, spatial transcriptome data, gene knockout database","cell data, spatial transcriptomics, gene knockout database","['Cell Data', 'Spatial Transcriptome Data', 'Gene Knockout database', 'Encoder', 'Qwen LLM backbone', 'Predictor', 'GNN+PPI', 'Agent-driven knowledge recall', 'Plug-ins / EvenClock for temporal data', 'LoRA fine-tuning']","['cell data', 'spatial transcriptome data', 'gene knockout database', 'encoder', 'Qwen LLM backbone', 'predictor', 'graph neural network over PPI', 'agent knowledge recall', 'EvenClock temporal plug-ins', 'LoRA fine-tuning']","Qwen LLM backbone","other_evidence_grounded","other_evidence_grounded","attached plug-in components including the graph neural network over protein-protein interaction graphs, the agent knowledge-recall module, the EvenClock spatial-encoding module, and the LoRA adapters","other_explicit","metadata_or_context","actual_model_input","Central training hub and plug-in modular integration","Results","Figure 1(b)","text_plus_figure","The panel is architectural; carrier classification is conservative.","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [8], ""pages"": [7], ""refs"": [""#/pictures/1""], ""spans"": [{""chunk"": 8, ""start"": 314, ""end"": 403}]}","","","",""
"TaxonomyCodedRoute_e3682d87c032932e","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Four-stage OCellus Training Pipeline","OCellus","unclear","Four-stage OCellus Training Pipeline","pretraining on representation-learning tasks, multimodel adapter merging to produce the OCellus-Pretrain checkpoint, multi-task instruction tuning to produce the OCellus checkpoint, and final graph-neural-network and agent LoRA training","OCellus training pipeline","representation-learning tasks, multimodel adapter merging, multi-task instruction tuning, graph-neural-network and agent LoRA training","['Pretrain', 'Merge', 'Multi-task', 'GNN-Agent']","['pretrain', 'merge', 'multi-task', 'GNN-agent']","OCellus checkpoint","other_evidence_grounded","other_evidence_grounded","multimodel adapter merging to produce the OCellus-Pretrain checkpoint","other_explicit","metadata_or_context","unclear","Four-stage OCellus Training Pipeline","Results","Figure 1(c)","text_plus_figure","This route spans multiple lifecycle phases, so phase coding is conservative.","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [8, 10], ""pages"": [7, 8, 9], ""refs"": [""#/pictures/1"", ""#/texts/169"", ""#/texts/170"", ""#/texts/171"", ""#/texts/174"", ""#/texts/175"", ""#/texts/176"", ""#/texts/177""], ""spans"": [{""chunk"": 8, ""start"": 969, ""end"": 1005}, {""chunk"": 10, ""start"": 869, ""end"": 905}]}","","","",""
"TaxonomyCodedRoute_7c67be404fa92dd7","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Three functional roles served by the same backbone","OCellus","inference","Three functional roles served by the same backbone: encoder (multi-modal cell and gene embeddings), predictor (cell-state, perturbation, and spatial tasks), and explainer (natural-language question answering and biological reasoning).","encoder (multi-modal cell and gene embeddings), predictor (cell-state, perturbation, and spatial tasks), and explainer (natural-language question answering and biological reasoning)","three functional roles of the same backbone","multi-modal cell and gene embeddings, cell-state/perturbation/spatial tasks, natural-language question answering","['encoder', 'predictor', 'explainer']","['encoder role', 'predictor role', 'explainer role']","same backbone","other_evidence_grounded","other_evidence_grounded","served by the same backbone","other_explicit","generated_output","unclear","Three functional roles served by the same backbone","Results","Figure 1(d)","text_plus_figure","The panel describes roles rather than a single data flow.","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [10], ""pages"": [8, 9], ""refs"": [""#/texts/169"", ""#/texts/170"", ""#/texts/171"", ""#/texts/174"", ""#/texts/175"", ""#/texts/176"", ""#/texts/177"", ""#/texts/178""], ""spans"": [{""chunk"": 10, ""start"": 1149, ""end"": 1199}]}","","","",""
"TaxonomyCodedRoute_1e645c5f15f374fd","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","OCellus Training Data Composition","OCellus","unclear","OCellus Training Data Composition","large-scale single-cell and spatial biology sources","single-cell, spatial, and perturbation biology training corpus","single-cell transcriptomics; spatial transcriptomics; perturbation biology","[]","[]","OCellus Training Data Composition","other_evidence_grounded","other_evidence_grounded","training sample construction and composition","unclear","metadata_or_context","unclear","training corpus combines large-scale single-cell and spatial biology sources","Results","Figure 13","text_plus_figure","The figure summarizes training data composition rather than a direct model input, so carrier coding is conservative.","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [12], ""pages"": [10], ""refs"": [""#/pictures/3""], ""spans"": [{""chunk"": 12, ""start"": 240, ""end"": 273}]}","","","",""
"TaxonomyCodedRoute_3b50e3bac847de3b","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Supplementary Figure S1 (Methods). Training data composition (empirical counts from the preprocessing pipeline)","OCellus","unclear","Training data composition (empirical counts from the preprocessing pipeline)","empirical counts from the preprocessing pipeline","training-data composition counts","single-cell transcriptomics; spatial transcriptomics; perturbation biology","[]","[]","Training data composition (empirical counts from the preprocessing pipeline)","other_evidence_grounded","other_evidence_grounded","sample counts per task across the multi-task training set","unclear","metadata_or_context","unclear","Training data composition (empirical counts from the preprocessing pipeline).","Methods","Supplementary Figure S1","explicit_text","The figure spans both pretraining and multi-task fine-tuning sample budgets, so no single lifecycle phase is explicit.","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [13], ""pages"": [10, 11], ""refs"": [""#/pictures/3"", ""#/texts/201"", ""#/texts/202"", ""#/texts/203"", ""#/texts/204"", ""#/texts/205"", ""#/texts/206"", ""#/texts/207""], ""spans"": [{""chunk"": 13, ""start"": 758, ""end"": 869}]}","","","",""
"TaxonomyCodedRoute_ea303a14818dbcaa","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Multi-task competence across twenty-two biological tasks","OCellus","evaluation","multi-task fine-tuning on twenty-two biological tasks","twenty-two biological tasks","22 biological tasks spanning single-cell and spatial transcriptomics","text-native biological prompts; single-cell transcriptomics; spatial transcriptomics","[]","[]","natural-language reasoning","text_native_token_stream","structured_biological_prompt_or_task_scaffold","multi-task fine-tuning on twenty-two biological tasks","tokenizer_sequence","instruction_or_query","actual_model_input","multi-task fine-tuning on twenty-two biological tasks","Results","Figure 2a / Table 1","explicit_text","","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [14, 15, 16, 17], ""pages"": [11, 12, 13, 14, 15], ""refs"": [""#/texts/221"", ""#/texts/222"", ""#/texts/223"", ""#/texts/224"", ""#/texts/225"", ""#/texts/226"", ""#/texts/227"", ""#/texts/228""], ""spans"": [{""chunk"": 14, ""start"": 127, ""end"": 183}, {""chunk"": 15, ""start"": 127, ""end"": 183}, {""chunk"": 16, ""start"": 127, ""end"": 183}, {""chunk"": 17, ""start"": 127, ""end"": 183}]}","","","",""
"TaxonomyCodedRoute_12fd4f9792495c27","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Figure 2 . Multi-task benchmark and encoder quality.","OCellus","evaluation","Multi-task benchmark and encoder quality","encoder benchmark across 14 foundation models","encoder benchmark on cell embeddings from 14 foundation models","single-cell transcriptomics embeddings","[]","[]","kNN accuracy (k=5), linear probe accuracy, and NMI (clustering)","dense_continuous_carrier","pooled_or_aggregated_embedding","encoder benchmark across 14 foundation models","unclear","metadata_or_context","unclear","Figure 2 . Multi-task benchmark and encoder quality.","Results","Figure 2","figure_only","The figure combines text-based task benchmarking with embedding-based encoder evaluation; dense embedding coding reflects the encoder-quality half.","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [16], ""pages"": [13], ""refs"": [""#/pictures/4""], ""spans"": [{""chunk"": 16, ""start"": 186, ""end"": 238}]}","","","",""
"TaxonomyCodedRoute_980a066dedfb356d","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Figure 3 . Pancreas cell embeddings -UMAP deep dive.","OCellus","evaluation","UMAP deep dive on pancreas cell embeddings","same 16,382 cells from the pancreas benchmark (14 cell types)","pancreas benchmark cells","single-cell transcriptomics","[]","[]","UMAP plots of pancreas embeddings","dense_continuous_carrier","pooled_or_aggregated_embedding","using linear-probe and knearest-neighbor classification across four standard datasets","unclear","no_text_on_this_route","generated_output","Figure 3 . Pancreas cell embeddings -UMAP deep dive.","","","text_plus_figure","","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [19], ""pages"": [16, 17], ""refs"": [""#/texts/305"", ""#/pictures/5"", ""#/texts/308"", ""#/texts/309"", ""#/texts/310"", ""#/texts/311"", ""#/texts/312"", ""#/texts/313""], ""spans"": [{""chunk"": 19, ""start"": 164, ""end"": 216}]}","","","",""
"TaxonomyCodedRoute_7c8b41849b344fe6","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Best-in-class cell representations 3","OCellus","evaluation","competitive cell-type embeddings against existing foundation models","four standard datasets totaling 73,655 cells and 52 cell types","single-cell benchmark datasets","single-cell transcriptomics","[]","[]","cell-type embeddings","dense_continuous_carrier","pooled_or_aggregated_embedding","using linear-probe and knearest-neighbor classification across four standard datasets","unclear","no_text_on_this_route","generated_output","OCellus produces competitive cell-type embeddings against existing foundation models.","","","explicit_text","","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [18, 19, 20], ""pages"": [15, 16, 17, 18], ""refs"": [""#/texts/279"", ""#/texts/280"", ""#/texts/281"", ""#/texts/282"", ""#/texts/283"", ""#/texts/284"", ""#/texts/285"", ""#/texts/286""], ""spans"": [{""chunk"": 18, ""start"": 127, ""end"": 163}, {""chunk"": 19, ""start"": 127, ""end"": 163}, {""chunk"": 20, ""start"": 127, ""end"": 163}]}","","","",""
