record_id,source_record_id,study_id,title,doi,source_pdf_sha256,source_document_sha256,canonical_record_for_study,exact_duplicate,possible_version_group,primary_analysis_linkage,docling_json,markdown
full_2026-07-06__rec_000060,rec_000060,study_b4bb1defb3cb,Query-driven generative AI synthesizes multi-modal spatial omics from histology.,10.64898/2025.12.11.693669,4cb4e838fd67c4539aa25e5ff18da6714e3006fec3647976df7c771e35308a7a,4cb4e838fd67c4539aa25e5ff18da6714e3006fec3647976df7c771e35308a7a,True,False,,exact_pdf_only,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/documents/full_2026_07_06_rec_000060_39a83b77f2f1.docling.json,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/markdown/full_2026_07_06_rec_000060_39a83b77f2f1.md
full_2026-07-06__rec_000063,rec_000063,study_b53ceb5b4db2,TissueNarrator: Generative Modeling of Spatial Transcriptomics with Large Language Models.,10.1101/2025.11.24.690325,5378f64150bf2420c580e665e5047a3433514e18d33ed647af0db1841e050870,5378f64150bf2420c580e665e5047a3433514e18d33ed647af0db1841e050870,False,True,,exact_pdf_only,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/documents/full_2026_07_06_rec_000063_b081bf83cc88.docling.json,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/markdown/full_2026_07_06_rec_000063_b081bf83cc88.md
full_2026-07-06__rec_000086,rec_000086,study_f6eff70c6863,ProCyon: A multimodal foundation model for protein phenotypes.,10.1101/2024.12.10.627665,cf1a1ae26c070c5024f3b3e33c7c0307c64e9b3babb4da9073e065af7fecf1e2,cf1a1ae26c070c5024f3b3e33c7c0307c64e9b3babb4da9073e065af7fecf1e2,True,False,,exact_pdf_only,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/documents/full_2026_07_06_rec_000086_f51592e07fe3.docling.json,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/markdown/full_2026_07_06_rec_000086_f51592e07fe3.md
full_2026-07-06__rec_000090,rec_000090,study_c2885aa81441,Scaling Large Language Models for Next-Generation Single-Cell Analysis.,10.1101/2025.04.14.648850,7feb044738e63ad52310e767655551d81b625b5d9fe0a32ab4c5426669a2604b,7feb044738e63ad52310e767655551d81b625b5d9fe0a32ab4c5426669a2604b,True,False,,exact_pdf_only,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/documents/full_2026_07_06_rec_000090_0d9defcc25c1.docling.json,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/markdown/full_2026_07_06_rec_000090_0d9defcc25c1.md
full_2026-07-06__rec_000771,rec_000771,study_35ae37a7f86c,"A multimodal conversational agent for DNA, RNA and protein tasks",10.1038/s42256-025-01047-1,05b2a6f45ed228ae808e33bd371b922fff6595f2d80be7e11e0642b085dcdd55,05b2a6f45ed228ae808e33bd371b922fff6595f2d80be7e11e0642b085dcdd55,False,True,,exact_pdf_only,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/documents/full_2026_07_06_rec_000771_82b0d7e83c3d.docling.json,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/markdown/full_2026_07_06_rec_000771_82b0d7e83c3d.md
full_2026-07-06__rec_000827,rec_000827,study_f500772cfe83,Multimodal learning enables chat-based exploration of single-cell data,10.1038/s41587-025-02857-9,b43f07094f4a145d94c2bf7fb4dae4f10922a92b9ad910fc099db775a67bd866,b43f07094f4a145d94c2bf7fb4dae4f10922a92b9ad910fc099db775a67bd866,False,True,,exact_pdf_only,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/documents/full_2026_07_06_rec_000827_745a8d0e1225.docling.json,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/markdown/full_2026_07_06_rec_000827_745a8d0e1225.md
full_2026-07-06__rec_000950,rec_000950,study_6a2c72fbcaf1,Illuminating protein space with a programmable generative model,10.1038/s41586-023-06728-8,0f5f8dde81269db8b6ce534b31815091814c8c8c1d4a86d1e1e93930ef55c431,0f5f8dde81269db8b6ce534b31815091814c8c8c1d4a86d1e1e93930ef55c431,False,True,,exact_pdf_only,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/documents/full_2026_07_06_rec_000950_3d82859ac01c.docling.json,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/markdown/full_2026_07_06_rec_000950_3d82859ac01c.md
full_2026-07-06__rec_001074,rec_001074,study_08046f30aead,BioReason: Incentivizing Multimodal Biological Reasoning within a DNA-LLM Model,10.48550/arXiv.2505.23579,39ded784548345d94b112d018eedfeca6c2351e37127d49805b436e72e123fe1,39ded784548345d94b112d018eedfeca6c2351e37127d49805b436e72e123fe1,False,True,,exact_pdf_only,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/documents/full_2026_07_06_rec_001074_c72d500e989d.docling.json,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/markdown/full_2026_07_06_rec_001074_c72d500e989d.md
full_2026-07-06__rec_001126,rec_001126,study_9444a1483055,Language may be all omics needs: Harmonizing multimodal data for omics understanding with CellHermes,10.1101/2025.11.07.687322,bea67b7405d50674b748c724a4ad412de7f3df58eba357b18e208ad54378637b,bea67b7405d50674b748c724a4ad412de7f3df58eba357b18e208ad54378637b,False,True,,exact_pdf_only,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/documents/full_2026_07_06_rec_001126_3bfaf5b3be46.docling.json,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/markdown/full_2026_07_06_rec_001126_3bfaf5b3be46.md
full_2026-07-06__rec_001187,rec_001187,study_9645a7bdccf5,Precious3GPT: Multimodal Multi-Species Multi-Omics Multi-Tissue Transformer for Aging Research and Drug Discovery,10.1101/2024.07.25.605062,cc8abbfdab22c6c670d4203e0897cc9fc47653795a12ccb60d8315f9ea8dfac3,cc8abbfdab22c6c670d4203e0897cc9fc47653795a12ccb60d8315f9ea8dfac3,False,True,,exact_pdf_only,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/documents/full_2026_07_06_rec_001187_7214eb506e14.docling.json,data/living_catalog/taxonomy_rerun_preflight_2026-08-12/baseline_vlm_profiles/markdown/full_2026_07_06_rec_001187_7214eb506e14.md
