record_id,source_record_id,source_corpus,title,doi,docling_status,context_status,markdown,selected_section_count,selected_sections_json
full_2026-07-06__rec_000003,rec_000003,include,Short-Context Regulatory DNA Language Models with Motif-Discovery Regularization.,10.64898/2026.02.05.703637,docling_ok,ok,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000003.md,6,"[{""section_type"": ""abstract"", ""heading"": ""Abstract"", ""heading_level"": 5, ""line_start"": 7, ""line_end"": 12, ""original_chars"": 1328}, {""section_type"": ""introduction"", ""heading"": ""Introduction"", ""heading_level"": 2, ""line_start"": 13, ""line_end"": 26, ""original_chars"": 4890}, {""section_type"": ""discussion_conclusion"", ""heading"": ""Discussion"", ""heading_level"": 2, ""line_start"": 118, ""line_end"": 129, ""original_chars"": 3577}, {""section_type"": ""data_representation"", ""heading"": ""Pretraining Data"", ""heading_level"": 3, ""line_start"": 132, ""line_end"": 137, ""original_chars"": 867}, {""section_type"": ""data_representation"", ""heading"": ""Architecture and Pretraining"", ""heading_level"": 3, ""line_start"": 164, ""line_end"": 185, ""original_chars"": 2097}, {""section_type"": ""data_representation"", ""heading"": ""Methods"", ""heading_level"": 2, ""line_start"": 130, ""line_end"": 286, ""original_chars"": 14760}]"
full_2026-07-06__rec_000060,rec_000060,include,Query-driven generative AI synthesizes multi-modal spatial omics from histology.,10.64898/2025.12.11.693669,docling_ok,ok,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000060.md,6,"[{""section_type"": ""abstract"", ""heading"": ""Abstract"", ""heading_level"": 3, ""line_start"": 114, ""line_end"": 207, ""original_chars"": 1567}, {""section_type"": ""introduction"", ""heading"": ""Introduction"", ""heading_level"": 3, ""line_start"": 208, ""line_end"": 299, ""original_chars"": 5405}, {""section_type"": ""discussion_conclusion"", ""heading"": ""Discussion"", ""heading_level"": 3, ""line_start"": 804, ""line_end"": 815, ""original_chars"": 2857}, {""section_type"": ""data_representation"", ""heading"": ""Large-Scale, Multi-Modal Dataset for Computational Pathology"", ""heading_level"": 3, ""line_start"": 302, ""line_end"": 307, ""original_chars"": 1664}, {""section_type"": ""data_representation"", ""heading"": ""Dataset partitioning for model training and testing"", ""heading_level"": 3, ""line_start"": 1026, ""line_end"": 1029, ""original_chars"": 766}, {""section_type"": ""data_representation"", ""heading"": ""Online Methods"", ""heading_level"": 3, ""line_start"": 816, ""line_end"": 911, ""original_chars"": 577}]"
full_2026-07-06__rec_000063,rec_000063,include,TissueNarrator: Generative Modeling of Spatial Transcriptomics with Large Language Models.,10.1101/2025.11.24.690325,docling_ok,ok,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000063.md,4,"[{""section_type"": ""abstract"", ""heading"": ""Abstract"", ""heading_level"": 4, ""line_start"": 13, ""line_end"": 18, ""original_chars"": 1951}, {""section_type"": ""introduction"", ""heading"": ""Introduction"", ""heading_level"": 3, ""line_start"": 19, ""line_end"": 30, ""original_chars"": 4606}, {""section_type"": ""discussion_conclusion"", ""heading"": ""Discussion"", ""heading_level"": 3, ""line_start"": 102, ""line_end"": 105, ""original_chars"": 543}, {""section_type"": ""data_representation"", ""heading"": ""Methods"", ""heading_level"": 3, ""line_start"": 143, ""line_end"": 198, ""original_chars"": 6959}]"
full_2026-07-06__rec_000086,rec_000086,include,ProCyon: A multimodal foundation model for protein phenotypes.,10.1101/2024.12.10.627665,docling_ok,ok,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000086.md,3,"[{""section_type"": ""discussion_conclusion"", ""heading"": ""Discussion"", ""heading_level"": 2, ""line_start"": 147, ""line_end"": 317, ""original_chars"": 18543}, {""section_type"": ""data_representation"", ""heading"": ""PROCYON-INSTRUCT dataset with 33 million protein-phenotype instructions"", ""heading_level"": 3, ""line_start"": 81, ""line_end"": 88, ""original_chars"": 3094}, {""section_type"": ""data_representation"", ""heading"": ""model architecture"", ""heading_level"": 2, ""line_start"": 73, ""line_end"": 146, ""original_chars"": 23604}]"
full_2026-07-06__rec_000090,rec_000090,include,Scaling Large Language Models for Next-Generation Single-Cell Analysis.,10.1101/2025.04.14.648850,docling_ok,ok,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000090.md,7,"[{""section_type"": ""abstract"", ""heading"": ""ABSTRACT"", ""heading_level"": 3, ""line_start"": 46, ""line_end"": 145, ""original_chars"": 2151}, {""section_type"": ""introduction"", ""heading"": ""Introduction"", ""heading_level"": 2, ""line_start"": 146, ""line_end"": 157, ""original_chars"": 3971}, {""section_type"": ""discussion_conclusion"", ""heading"": ""Discussion"", ""heading_level"": 2, ""line_start"": 698, ""line_end"": 817, ""original_chars"": 4057}, {""section_type"": ""data_representation"", ""heading"": ""Input representation"", ""heading_level"": 4, ""line_start"": 1140, ""line_end"": 1145, ""original_chars"": 808}, {""section_type"": ""data_representation"", ""heading"": ""Data Collection"", ""heading_level"": 3, ""line_start"": 822, ""line_end"": 829, ""original_chars"": 2215}, {""section_type"": ""data_representation"", ""heading"": ""Multi-Task Dataset Creation"", ""heading_level"": 3, ""line_start"": 946, ""line_end"": 1135, ""original_chars"": 2789}, {""section_type"": ""data_representation"", ""heading"": ""Dataset interpretation"", ""heading_level"": 4, ""line_start"": 1621, ""line_end"": 1734, ""original_chars"": 3166}]"
full_2026-07-06__rec_000099,rec_000099,include,Semantic design of functional de novo genes from a genomic language model.,10.1038/s41586-025-09749-7,docling_ok,ok,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000099.md,3,"[{""section_type"": ""discussion_conclusion"", ""heading"": ""Discussion"", ""heading_level"": 3, ""line_start"": 151, ""line_end"": 158, ""original_chars"": 2724}, {""section_type"": ""data_representation"", ""heading"": ""Methods"", ""heading_level"": 5, ""line_start"": 253, ""line_end"": 280, ""original_chars"": 8114}, {""section_type"": ""data_representation"", ""heading"": ""Analysis of species tag-prompting methods"", ""heading_level"": 7, ""line_start"": 285, ""line_end"": 295, ""original_chars"": 1942}]"
full_2026-07-06__rec_000160,rec_000160,include,PlantCAD2: A Long-Context DNA Language Model for Cross-Species Functional Annotation in Angiosperms.,10.1101/2025.08.27.672609,docling_ok,ok,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000160.md,4,"[{""section_type"": ""abstract"", ""heading"": ""Abstract"", ""heading_level"": 3, ""line_start"": 81, ""line_end"": 150, ""original_chars"": 1706}, {""section_type"": ""introduction"", ""heading"": ""Introduction"", ""heading_level"": 3, ""line_start"": 151, ""line_end"": 333, ""original_chars"": 11062}, {""section_type"": ""data_representation"", ""heading"": ""PlantCAD2 model architecture and pre-training 562"", ""heading_level"": 6, ""line_start"": 1210, ""line_end"": 1279, ""original_chars"": 2191}, {""section_type"": ""data_representation"", ""heading"": ""Methods"", ""heading_level"": 3, ""line_start"": 1204, ""line_end"": 1577, ""original_chars"": 18101}]"
full_2026-07-06__rec_000184,rec_000184,include,TRAFICA: an open chromatin language model to improve transcription factor binding affinity prediction.,10.1093/bioinformatics/btaf469,docling_ok,ok,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000184.md,6,"[{""section_type"": ""abstract"", ""heading"": ""Abstract"", ""heading_level"": 5, ""line_start"": 17, ""line_end"": 24, ""original_chars"": 1719}, {""section_type"": ""introduction"", ""heading"": ""Introduction"", ""heading_level"": 2, ""line_start"": 25, ""line_end"": 44, ""original_chars"": 7556}, {""section_type"": ""discussion_conclusion"", ""heading"": ""Discussion"", ""heading_level"": 2, ""line_start"": 141, ""line_end"": 148, ""original_chars"": 3819}, {""section_type"": ""data_representation"", ""heading"": ""In vitro TF-DNA binding affinity prediction on the DREAM5 PBM datasets"", ""heading_level"": 2, ""line_start"": 105, ""line_end"": 108, ""original_chars"": 2817}, {""section_type"": ""data_representation"", ""heading"": ""TF-DNA binding affinity prediction using TRAFICA fine-tuned by HT-SELEX datasets"", ""heading_level"": 2, ""line_start"": 109, ""line_end"": 122, ""original_chars"": 6189}, {""section_type"": ""data_representation"", ""heading"": ""Model architecture"", ""heading_level"": 3, ""line_start"": 101, ""line_end"": 104, ""original_chars"": 1139}]"
full_2026-07-06__rec_000246,rec_000246,include,Cross-species modeling of plant genomes at single-nucleotide resolution using a pretrained DNA language model.,10.1073/pnas.2421738122,docling_ok,ok,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000246.md,2,"[{""section_type"": ""discussion_conclusion"", ""heading"": ""Discussion"", ""heading_level"": 3, ""line_start"": 137, ""line_end"": 156, ""original_chars"": 7003}, {""section_type"": ""data_representation"", ""heading"": ""Methods"", ""heading_level"": 3, ""line_start"": 157, ""line_end"": 281, ""original_chars"": 31847}]"
full_2026-07-06__rec_000313,rec_000313,include,GENA-LM: a family of open-source foundational DNA language models for long sequences.,10.1093/nar/gkae1310,docling_ok,ok,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000313.md,7,"[{""section_type"": ""abstract"", ""heading"": ""Abstract"", ""heading_level"": 4, ""line_start"": 31, ""line_end"": 34, ""original_chars"": 1540}, {""section_type"": ""introduction"", ""heading"": ""Introduction"", ""heading_level"": 2, ""line_start"": 47, ""line_end"": 58, ""original_chars"": 5511}, {""section_type"": ""discussion_conclusion"", ""heading"": ""Discussion"", ""heading_level"": 2, ""line_start"": 418, ""line_end"": 441, ""original_chars"": 8304}, {""section_type"": ""data_representation"", ""heading"": ""Genomic datasets for language model pre-training"", ""heading_level"": 4, ""line_start"": 63, ""line_end"": 101, ""original_chars"": 4945}, {""section_type"": ""data_representation"", ""heading"": ""Downstream task datasets"", ""heading_level"": 4, ""line_start"": 102, ""line_end"": 133, ""original_chars"": 5704}, {""section_type"": ""data_representation"", ""heading"": ""Nucleotide Transformer dataset"", ""heading_level"": 5, ""line_start"": 126, ""line_end"": 129, ""original_chars"": 109}, {""section_type"": ""data_representation"", ""heading"": ""HyenaDNA species classification dataset"", ""heading_level"": 5, ""line_start"": 130, ""line_end"": 133, ""original_chars"": 706}]"
