record_id,title,doi,final_decision,final_code,uncertainty_reason,final_source,final_rationale,evidence_snippet,scope_primary_exclusion_code,scope_uncertainty_reason,architecture_primary_exclusion_code,architecture_uncertainty_reason
rec_000001,PlantCAD2: A DNA foundation model for interpreting genomes across flowering plants.,10.1016/j.xgen.2026.101329,UNCERTAIN,none,generative_status_unclear,adjudicator,"The abstract describes a pre-trained DNA language foundation model with zero-shot and fine-tuning transfer, so this is a primary model paper with biological sequence modality. It does not clearly establish an explicitly generative architecture.","“extended-context, plant-specific DNA language model ... pre-trained on 65 angiosperm genomes”",none,text_bio_bridge_unclear,none,generative_status_unclear
rec_000002,Application of deep learning in prognostic prediction of non-small cell lung cancer.,10.3389/fcell.2026.1878798,EXCLUDE,review_editorial,none,adjudicator,"This is a review of deep learning in NSCLC prognosis prediction, not a primary model paper. It surveys modalities and architectures rather than introducing a generative foundation model.",“This paper reviews the research progress of deep learning in NSCLC prognosis prediction”,review_editorial,none,review_editorial,none
rec_000003,GEM-GPT Enables Personalized Cell Type-Resolved Therapeutic Design for Systems Pharmacology.,10.64898/2026.07.17.739269,INCLUDE,none,none,python_gate,All first-pass criteria were positive without unresolved uncertainty.,,none,none,none,none
rec_000004,Artificial Intelligence in Food-Nutrition-Health Research: From Multimodal Data Integration to Precision Intervention.,10.1111/1750-3841.71334,EXCLUDE,review_editorial,none,adjudicator,"This is a systematic review synthesizing prior AI work in food-nutrition-health research, not a new model paper. No generative or foundation-model evidence is presented.",“This review systematically synthesizes research progress of AI”,review_editorial,none,review_editorial,none
rec_000005,Cross-modal mapping of cancer stem-like cell plasticity using deep learning.,10.1093/narcan/zcag015,EXCLUDE,EC2_no_text_component,none,adjudicator,ACSCeND is a scRNA-seq/bulk RNA-seq classification and deconvolution framework. The abstract does not describe any text modality or text-bio bridge.,"“a unified, machine learning–based framework ... scRNA-seq ... bulk RNA sequencing data”",EC2_no_text_component,none,EC4_no_foundation_model_evidence,generative_status_unclear
rec_000006,DeepExoMir: A Reproducible RNA Language Model Framework for CLIP-Seq-Supported MicroRNA Target-Site Prioritization.,10.3390/ijms27146184,EXCLUDE,application_wrapper,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,application_wrapper,none,application_wrapper,none
rec_000007,Integrated multi-omics and deep learning analysis reveals neurotransmitter metabolism regulatory mechanisms of Tianwang Buxin Dan.,10.3389/fnins.2026.1837233,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC4_no_foundation_model_evidence,none
rec_000008,Systematic evaluation of single-cell foundation model interpretability: attention-derived edge scores add no incremental value over gene-level features for perturbation-target prediction.,10.1186/s12864-026-12965-8,EXCLUDE,benchmark_resource,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,benchmark_resource,none,benchmark_resource,none
rec_000009,Artificial Intelligence in the Nutritional Management of Inflammatory Bowel Disease: A Scoping Review.,10.2147/JMDH.S614374,EXCLUDE,review_editorial,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,review_editorial,none,review_editorial,none
rec_000010,Multimodal Deep Learning Reveals the Modular Genetic Architecture of Cardiovascular Aging.,10.64898/2026.04.22.26351478,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
