cluster_id,title,regression_group,decision_set,deepseek_rep1_decision,deepseek_rep1_exclusion_code,deepseek_rep1_uncertainty_reason,deepseek_rep1_boundary_case,deepseek_rep1_text_evidence,deepseek_rep1_bridge_evidence,deepseek_rep1_generative_evidence,deepseek_rep1_rationale,deepseek_rep2_decision,deepseek_rep2_exclusion_code,deepseek_rep2_uncertainty_reason,deepseek_rep2_boundary_case,deepseek_rep2_text_evidence,deepseek_rep2_bridge_evidence,deepseek_rep2_generative_evidence,deepseek_rep2_rationale,deepseek_rep3_decision,deepseek_rep3_exclusion_code,deepseek_rep3_uncertainty_reason,deepseek_rep3_boundary_case,deepseek_rep3_text_evidence,deepseek_rep3_bridge_evidence,deepseek_rep3_generative_evidence,deepseek_rep3_rationale,gptoss_rep1_decision,gptoss_rep1_exclusion_code,gptoss_rep1_uncertainty_reason,gptoss_rep1_boundary_case,gptoss_rep1_text_evidence,gptoss_rep1_bridge_evidence,gptoss_rep1_generative_evidence,gptoss_rep1_rationale,gptoss_rep2_decision,gptoss_rep2_exclusion_code,gptoss_rep2_uncertainty_reason,gptoss_rep2_boundary_case,gptoss_rep2_text_evidence,gptoss_rep2_bridge_evidence,gptoss_rep2_generative_evidence,gptoss_rep2_rationale,issue_tags
benchmark:5,GeneGPT: Augmenting Large Language Models with Domain Tools for Improved Access to Biomedical Information,benchmark_boundary_case,EXCLUDE|EXCLUDE|EXCLUDE|EXCLUDE|INCLUDE,EXCLUDE,application_wrapper,,,,,,"GeneGPT augments an existing LLM (Codex) with NCBI API tools to answer genomics questions, making it an application wrapper rather than a primary generative text-bio foundational model. | GeneGPT is a method that augments an existing LLM (Codex) with NCBI APIs, not a new generative model. The paper does not propose a generative architecture or foundation model; it is an application wrapper.",EXCLUDE,application_wrapper,,,,,,"The paper augments an existing LLM (Codex) with NCBI API tools for question answering, making it an application wrapper rather than a primary generative text-bio foundational model. | GeneGPT is a method that augments an existing generative LLM (Codex) with NCBI Web APIs for genomics question answering; it does not introduce a new generative model or foundation model, making it an application wrapper.",EXCLUDE,application_wrapper,,,,,,"GeneGPT augments an existing LLM (Codex) with NCBI Web APIs to answer genomics questions, which is an application wrapper around an external LLM, not a primary generative text-bio foundational model. | The paper describes GeneGPT as a method that augments an existing generative LLM (Codex) with NCBI Web APIs for genomics question answering, which is an application wrapper rather than a primary generative text-bio foundational model.",EXCLUDE,application_wrapper,,wrapper_boundary,answering genomics questions,none,augmented decoding algorithm that can detect and execute API calls,"The abstract describes GeneGPT as a method that augments an existing LLM (Codex) with API calls to answer genomics questions, without introducing a new multimodal generative model. Hence it is a wrapper of a foundation model, and the text‑bio bridge is limited to tool use rather than a central multimodal model.",INCLUDE,,,,,,,"The abstract describes GeneGPT, a novel method that augments an LLM with NCBI API calls to answer genomics questions, indicating a substantive natural‑language component and a direct text‑to‑biology bridge centered on genomic data. | The abstract presents GeneGPT with an augmented decoding algorithm that generates answers and triggers API calls, confirming a generative architecture, and leverages a large language model across eight biomedical tasks, indicating foundation-model-like breadth.",wrapper_boundary;generative_boundary
1198,Big Bird: Transformers for Longer Sequences,exclude_uncertain_unstable,UNCERTAIN|EXCLUDE|UNCERTAIN|EXCLUDE|EXCLUDE,UNCERTAIN,EC2_no_substantive_text_bio_bridge,bio_modality_unclear,,,,,"The abstract presents BigBird as a general NLP transformer improvement with a mention of genomics applications but no central biological modality or text-bio bridge; bio modality is unclear from the abstract. | The abstract describes an encoder-only sparse attention transformer (BigBird) for longer sequences, referencing BERT and tasks like question answering and summarization, but does not mention any generative mechanism such as decoder, autoregressive, or diffusion. Therefore it is not a generative model.",EXCLUDE,EC1_no_bio_modality,,clear_exclude,NLP tasks such as question answering and summarization,none,none,Abstract presents a transformer architecture for NLP without biological modality or explicit generative mechanism. Excluded under EC1_no_bio_modality.,UNCERTAIN,,bio_modality_unclear,thin_abstract_boundary,NLP tasks such as question answering and summarization,none,none,"Text component is clear from NLP tasks, but bio modality is only hinted by 'genomics data' without specification, no text-bio bridge described, and generative status is unclear as the model is an attention mechanism not explicitly generative.",EXCLUDE,EC2_no_substantive_text_bio_bridge,,clear_include,improves performance on various NLP tasks such as question answering and summarization,none,none,"BigBird introduces a new transformer architecture (primary model) with NLP tasks (text component) and mentions genomics applications (bio modality), but provides no explicit text‑bio integration or generative decoder, so it is included as a primary model without a text‑bio bridge or generative component.",EXCLUDE,EC2_no_substantive_text_bio_bridge,,,,,,"The abstract presents BigBird as a new transformer model with NLP improvements (text component) and mentions novel applications to genomics data (bio modality), but provides no explicit description of a text‑bio mapping or bridge. | BigBird is presented as a sparse-attention transformer improving long‑context NLP tasks; the abstract contains no mention of decoder, autoregressive or other generative mechanisms. It highlights broad applicability to many NLP tasks and genomics, indicating foundation‑model‑like breadth.",thin_or_truncated_abstract;text_component_boundary;generative_boundary
418,BioNexusSentinel: a visual tool for bioregulatory network and cytohistological RNA-seq genetic expression profiling within the context of multicellular simulation research using ChatGPT-augmented software engineering.,exclude_uncertain_unstable,UNCERTAIN|UNCERTAIN|EXCLUDE|EXCLUDE|EXCLUDE,UNCERTAIN,EC3_not_generative,paper_type_unclear,clear_exclude,none,none,none,"The paper describes a software tool developed using ChatGPT for coding assistance, but does not present a generative text-bio model; no natural-language text component or generative mechanism is described in the tool itself.",UNCERTAIN,EC2_no_text_component,paper_type_unclear,clear_exclude,none,none,none,"The abstract describes a software tool for RNA-seq and bioregulatory network exploration with no natural-language text component or generative model; ChatGPT was used only in development, so it fails EC2 (no text component) and EC3 (not generative).",EXCLUDE,application_wrapper,,clear_exclude,none,none,none,"The paper describes a visual software tool augmented by ChatGPT for software engineering, not a generative text-bio foundational model. No natural-language text component or text-bio bridge is present in the model itself; the tool is an application wrapper.",EXCLUDE,application_wrapper,,,,,,"The work presents a visual platform for RNA‑seq exploration that uses ChatGPT to aid software engineering, not a new generative model linking natural‑language text and biology; no natural‑language input/output is described as central. | The work presents a visual tool (BioNexusSentinel) built with ChatGPT‑augmented engineering, not a new generative architecture; thus it is an application wrapper lacking generative model evidence.",EXCLUDE,application_wrapper,,,,,,"The work presents a visual software platform integrating RNA‑seq and network data, with ChatGPT used only for software engineering, not as a model component; there is no substantive natural‑language input/output or text‑bio mapping. | The abstract describes a visual tool and software engineering workflow using ChatGPT, but does not introduce a new generative architecture; it is primarily an application wrapper around existing resources.",wrapper_boundary;text_component_boundary;generative_boundary
1078,Can artificial intelligence-strengthened ChatGPT or other large language models transform nucleic acid research?,exclude_uncertain_unstable,UNCERTAIN|EXCLUDE|EXCLUDE|INCLUDE|INCLUDE,UNCERTAIN,,paper_type_unclear,thin_abstract_boundary,none,none,none,"The abstract is truncated and only mentions GeneGPT training LLMs to use NCBI APIs; no clear evidence of text component, text-bio bridge, or generative mechanism. Title is a general question, not a model description.",EXCLUDE,application_wrapper,,wrapper_boundary,ChatGPT or other large language models,trains LLMs to use NCBI web APIs,none,"The truncated abstract describes GeneGPT as training LLMs to use NCBI web APIs, which is an application wrapper rather than a new generative model; no generative mechanism is mentioned.",EXCLUDE,application_wrapper,text_component_unclear,wrapper_boundary,ChatGPT or other large language models,trains LLMs to use NCBI web APIs,none,"The abstract describes GeneGPT as training LLMs to use NCBI web APIs, indicating a wrapper-style use of existing LLMs without central generative or text-bio alignment. Title mentions ChatGPT/LLMs but abstract truncated; set paper_type=application_wrapper and text_bio_bridge_present=no.",INCLUDE,,,clear_include,GeneGPT model trains LLMs,trains LLMs to use NCBI web APIs,GeneGPT model,"The abstract describes a novel GeneGPT model that trains large language models (LLMs) to use NCBI web APIs, indicating a new multimodal generative model that processes natural‑language text and accesses biological data, thus meeting all inclusion criteria.",INCLUDE,,,clear_include,GeneGPT model trains LLMs,uses NCBI web APIs,"evaluated through several tests, such as creating","The abstract describes a novel GeneGPT model that fine‑tunes LLMs (text component) to access NCBI APIs (bio modality) and reports creation tests, indicating generative capability; thus it is a primary model paper with clear text‑bio bridge.",thin_or_truncated_abstract;wrapper_boundary;text_component_boundary;generative_boundary
982,ClinClip: a Multimodal Language Pre-training model integrating EEG data for enhanced English medical listening assessment,exclude_uncertain_unstable,UNCERTAIN|INCLUDE|UNCERTAIN|UNCERTAIN|EXCLUDE,UNCERTAIN,,generative_status_unclear,thin_abstract_boundary,transcription accuracy,integrates EEG signals with audio data,none,"The abstract presents ClinClip as a multimodal model integrating EEG and audio for transcription, but does not explicitly describe a generative mechanism (decoder, autoregressive, etc.), making generative status unclear.",INCLUDE,,,clear_include,improving transcription accuracy,integrates EEG signals with audio data,transcription accuracy and transformer-based architecture,"Abstract presents ClinClip as a multimodal model integrating EEG (bio) with audio to generate transcriptions (text), which is a generative task. Title states 'Multimodal Language Pre-training model', supporting foundation model evidence. Resolves architecture reviewer's generative uncertainty as the abstract clearly describes text generation.",UNCERTAIN,,generative_status_unclear,generative_boundary,improving transcription accuracy,integrates EEG signals with audio data through a transformer-based architecture,none,"The abstract describes a multimodal model (ClinClip) that uses EEG and audio for transcription, but does not explicitly state a generative mechanism such as decoder, autoregressive, or diffusion, making generative status unclear.",UNCERTAIN,,generative_status_unclear,thin_abstract_boundary,improve transcription accuracy,integrates EEG signals with audio data,none,"The abstract describes a new multimodal model that combines EEG (bio) and audio to produce transcriptions, clearly providing text and a bio‑text bridge. However, it does not explicitly state a generative mechanism (e.g., decoder, autoregressive), leaving the generative status unresolved.",EXCLUDE,EC3_not_generative,,,,,,"ClinClip is a new multimodal model that combines EEG (biological) with audio (language) for transcription, satisfying the required criteria. | The abstract describes a multimodal transformer for speech transcription with EEG integration, without any decoder or generation mechanism, so it is not generative; it does mention a ""multimodal language pre‑training model,"" indicating foundation‑model‑like pretraining.",thin_or_truncated_abstract;generative_boundary
267,Comprehensive molecular analyses of an autoimmune-related gene predictive model and immune infiltrations using machine learning methods in intracranial aneurysma.,exclude_uncertain_unstable,EXCLUDE|EXCLUDE|UNCERTAIN|EXCLUDE|EXCLUDE,EXCLUDE,EC2_no_text_component,,,,,,"The paper presents a predictive neural network model based on gene expression data and machine learning for intracranial aneurysm; no natural-language text component or text-bio bridge is described, and the mention of ChatGPT is only for manuscript writing assistance, not part of the model. | The paper describes a predictive neural network model for intracranial aneurysm diagnosis using gene expression data and machine learning, not a generative model. No generative mechanism or foundation-model evidence is present.",EXCLUDE,EC2_no_text_component,,,,,,The abstract describes a predictive model using gene expression data and machine learning; no text/language component is present in the model itself. The mention of AI text generation in the manuscript is not part of the candidate model. | The paper develops a predictive neural network model for intracranial aneurysm diagnosis using gene expression data and machine learning; no generative architecture or generative task is described.,UNCERTAIN,EC3_not_generative,paper_type_unclear,clear_exclude,none,none,none,"The abstract describes a predictive neural network model for intracranial aneurysm using gene expression and machine learning, not a generative model. No text component, text-bio bridge, or generative mechanism is present; the ChatGPT mention is only for manuscript writing.",EXCLUDE,EC2_no_text_component,,clear_include,An artificial neural network was used to develop an autoimmune-related signature predictive model for IA.,An artificial neural network was used to develop an autoimmune-related signature predictive model for IA.,predictive neural network model was developed,"The abstract describes a new predictive neural network based on gene expression data with no mention of natural-language inputs, outputs, or generation, fitting a primary model paper rather than a wrapper or review.",EXCLUDE,application_wrapper,,wrapper_boundary,none,none,none,"The study applies existing machine‑learning methods (LASSO, RF, XGBoost, ANN) to gene‑expression data and does not introduce a new multimodal or generative text‑bio model; no natural‑language text component or text‑bio bridge is described in the model.",wrapper_boundary;text_component_boundary;generative_boundary
1192,"Decode-gLM: Tools to Interpret, Audit, and Steer Genomic Language Models",exclude_uncertain_unstable,UNCERTAIN|EXCLUDE|EXCLUDE|EXCLUDE|EXCLUDE,UNCERTAIN,EC2_no_text_component,paper_type_unclear,clear_exclude,none,none,none,"The abstract describes sparse autoencoders for interpreting genomic language models (Nucleotide Transformer) without any natural-language text component, text-bio bridge, or generative mechanism; thus it clearly does not meet inclusion criteria.",EXCLUDE,application_wrapper,,clear_exclude,none,none,none,"The abstract describes tools for interpreting genomic language models using sparse autoencoders on Nucleotide Transformer activations, with no natural-language text component or generative model; thus it is excluded as an application wrapper with no text component and no generative model.",EXCLUDE,application_wrapper,,,,,,"The paper describes tools (SAEs) for interpreting and steering existing genomic language models (Nucleotide Transformer), not a new generative text-bio model; no natural-language text component is present, and the work is an application wrapper around an existing model. | The paper describes tools (SAEs) to interpret and steer existing genomic language models like Nucleotide Transformer, not a new generative model. It is an application wrapper around an existing model.",EXCLUDE,application_wrapper,,wrapper_boundary,none,none,none,The abstract presents sparse autoencoders that interpret and steer an existing genomic language model (Nucleotide Transformer) without describing any natural‑language text input/output or a new generative model; thus it functions as a wrapper around a foundation model and is excluded.,EXCLUDE,application_wrapper,,wrapper_boundary,none,none,none,"The abstract describes sparse autoencoders applied to a genomic language model (Nucleotide Transformer) for interpretation and steering, with no natural-language text component or text‑bio alignment. It uses an existing foundation model, fitting the definition of an application wrapper, and therefore is excluded.",wrapper_boundary;text_component_boundary;generative_boundary
128,Genos: a human-centric genomic foundation model.,exclude_uncertain_unstable,EXCLUDE|UNCERTAIN|UNCERTAIN|EXCLUDE|UNCERTAIN,EXCLUDE,EC2_no_text_component,,clear_exclude,none,none,none,"Genos is a genomic sequence foundation model with no evidence of natural-language text input, output, or conditioning; the vague 'omics-text cross-modal' phrase does not provide sufficient evidence for a text component or text-bio bridge. Additionally, no generative mechanism (e.g., autoregressive, diffusion) is described, so it does not meet the generative model criterion.",UNCERTAIN,,text_component_unclear,thin_abstract_boundary,omics-text cross-modal diagnostic capabilities,omics-text cross-modal diagnostic capabilities,dynamically simulates the cascade effects of noncoding variations,"The abstract introduces Genos as a genomic foundation model but only ambiguously references 'omics-text cross-modal diagnostic capabilities' without clear natural-language text or text-bio alignment. No explicit generative mechanism (e.g., decoder, autoregressive) is described. These unresolved criteria make the record a borderline case due to insufficient abstract detail.",UNCERTAIN,EC3_not_generative,text_component_unclear,clear_exclude,omics-text cross-modal diagnostic capabilities,omics-text cross-modal diagnostic capabilities,none,"Genos is a genomic foundation model for sequence modeling; no explicit generative mechanism described (e.g., decoder, autoregressive, diffusion). Text component and text-bio bridge are unclear from abstract; only ambiguous 'omics-text cross-modal' phrase. Therefore excluded as not generative (EC3).",EXCLUDE,EC2_no_text_component,,,,,,"The abstract describes a genomic foundation model (Genos) for ultra‑long DNA sequences with no mention of natural‑language text input, output, or conditioning, so there is no substantive text component or text‑bio bridge. | The abstract introduces Genos as a genomic foundation model with large-scale pretraining, but it does not explicitly describe a generative architecture such as a decoder or autoregressive mechanism.",UNCERTAIN,,text_component_unclear,thin_abstract_boundary,omics-text cross-modal diagnostic capabilities,omics-text cross-modal diagnostic capabilities,none,"The abstract clearly presents a new genomic foundation model (primary_model_paper) and includes a biological modality (genomic sequences). It mentions ""omics-text cross-modal diagnostic capabilities,"" but does not explicitly describe natural-language text inputs or outputs, leaving the presence of a text component and a text‑bio bridge ambiguous. No generative mechanism (decoder, autoregressive, diffusion, etc.) is reported, so the model is non‑generative.",thin_or_truncated_abstract;text_component_boundary;generative_boundary
1193,IMG-33. Unveiling glioblastoma heterogeneity with deep learning derived MRI subtyping: insights from the global ReSPOND consortium,exclude_uncertain_unstable,UNCERTAIN|EXCLUDE|EXCLUDE|EXCLUDE|EXCLUDE,UNCERTAIN,EC2_no_text_component,paper_type_unclear,clear_exclude,none,none,none,"The abstract describes a deep learning subtyping of MRI images using Masked Auto-Encoder (MAE), with no natural-language text component, no text-bio bridge, and no generative model for text. Thus it is excluded.",EXCLUDE,EC2_no_text_component,,clear_exclude,none,none,none,"The abstract describes a deep learning radiomic feature extraction using Masked Auto-Encoder on MRIs, with no mention of natural-language text or generative model. Both reviewers agree on absence of text component and generative status, leading to exclusion.",EXCLUDE,application_wrapper,,clear_exclude,none,none,"Masked Auto-Encoder (MAE), a deep learning architecture trained through self-supervised learning","The abstract describes a deep learning-based radiomic subtyping study using MAE for feature extraction and clustering, with no natural-language text component, no text-bio bridge, and no generative mechanism; it is an application wrapper and not eligible.",EXCLUDE,application_wrapper,,wrapper_boundary,no natural-language text described,no natural-language text described,"feature extraction and clustering, not generative","The abstract reports MRI feature extraction with a pre‑trained MAE and downstream clustering, with no mention of natural‑language text or generative mechanisms; therefore it is an application‑wrapper study and excluded.",EXCLUDE,application_wrapper,,,,,,"The abstract focuses on MRI-based deep learning feature extraction and clustering with no natural-language text or generative component, so there is no substantive text component or text‑bio bridge. | The work applies a pretrained MAE (a self‑supervised generative model) for radiomic feature extraction and clustering without introducing a new model, fitting the application wrapper category; the MAE’s large pretraining dataset provides foundation‑model evidence.",wrapper_boundary;text_component_boundary;generative_boundary
980,Identification of Parkinson’s disease PACE subtypes and repurposing treatments through integrative analyses of multimodal data,exclude_uncertain_unstable,UNCERTAIN|UNCERTAIN|UNCERTAIN|EXCLUDE|EXCLUDE,UNCERTAIN,EC2_no_text_component,paper_type_unclear,clear_exclude,none,none,none,"The abstract describes integrative analysis of clinical, genetic, and transcriptomic data for PD subtyping using machine learning and deep learning, with no mention of natural-language text, text-bio alignment, or generative modeling; thus it fails text component and generative criteria.",UNCERTAIN,EC2_no_text_component,paper_type_unclear,clear_exclude,none,none,none,"The abstract describes a machine learning analysis of clinical, genetic, and transcriptomic data for PD subtyping, with no mention of natural language text or generative modeling. Excluded because no text component and no generative model.",UNCERTAIN,EC2_no_text_component,paper_type_unclear,clear_exclude,none,none,none,"The abstract describes a PD subtyping study using multimodal data and ML/DL, with no natural-language text component, no text-bio bridge, and no generative model; thus it does not meet inclusion criteria.",EXCLUDE,EC2_no_text_component,,clear_exclude,none,none,none,"The abstract describes multimodal clinical, imaging, and omics data analysis with machine learning but provides no mention of natural-language text, a text‑bio alignment, or any generative mechanism. Therefore it lacks a text component, bridge, and generative model, leading to exclusion under EC3_not_generative.",EXCLUDE,application_wrapper,,,,,,"The study uses machine learning on multimodal biological data (clinical, CSF, imaging, genetics) without presenting a generative text‑bio model or any natural‑language component. | The abstract describes PD subtyping and drug repurposing using multimodal data and existing ML/DL methods, with no mention of a generative architecture.",text_component_boundary;generative_boundary
