carrier_subtype,routes,records,models
connector_mediated_embedding,24,10,10
coordinate_backbone_or_shape_conditioning,5,3,3
direct_projected_embedding,76,18,27
learned_quantized_id_or_codebook_token,2,1,1
multi_track_structural_symbol_stream,4,3,3
native_biological_token_stream,50,11,15
noisy_diffusion_state,3,3,3
patch_context_or_case_level_visual_reasoning,6,3,3
plain_language_prompt_or_question,61,28,37
pooled_or_aggregated_embedding,20,8,10
raw_slide_or_patch_input,50,10,11
serialized_biological_context_or_ordered_profile,80,22,29
structured_biological_prompt_or_task_scaffold,184,38,61
symbolic_structural_constraint,11,2,2
virtual_token_prefix,9,3,3
