"id","label","type","__class__","route_label","model_name","lifecycle_phase","task_or_configuration_verbatim","source_object_verbatim","source_object_normalized","source_modality_normalized","transformation_chain_verbatim","transformation_chain_normalized","model_visible_form_verbatim","carrier_family","carrier_subtype","insertion_or_fusion_verbatim","fusion_topology","text_role","input_status","evidence_quote","section_heading","supporting_figure_or_table","evidence_status","uncertainty","__provenance__","taxonomy_version","title","doi","input_routes"
"TaxonomyCodedRoute_f9fb60f604923c4b","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","scMIR","scMIR","pretraining","pre-trained on 207,957 image-text pairs spanning diverse cell types, microscopy modalities and perturbation conditions","207,957 image-text pairs","single-cell light microscopy image-text pairs","single-cell light microscopy","['structured textual descriptions were constructed using controlled keywords, including species, data source, microscopy type, cell type, and related annotations', 'The caption is passed through a Tokenizer into Text tokens', 'The image is passed through an Image encoder into Image tokens', 'A Q-Former module connects text/image tokens to image-text alignment']","['construct structured captions from controlled keywords', 'tokenize text', 'encode image', 'align image and text with a Q-Former']","Caption generated with keywords such as Species, Source, Microscopy, Cell type, and Biological attribute, plus a Single-cell image","visual_raster_carrier","raw_slide_or_patch_input","A Q-Former module connects text/image tokens to image-text alignment","query_bottleneck","paired_alignment_supervision","paired_alignment_input","scMIR is first pre-trained on 207,957 image-text pairs","Overview of framework","Fig. 1","text_plus_figure","","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [0], ""pages"": [1], ""refs"": [""#/texts/1"", ""#/texts/2"", ""#/texts/3"", ""#/texts/4"", ""#/texts/5"", ""#/texts/6""], ""spans"": [{""chunk"": 0, ""start"": 1624, ""end"": 1648}]}","","","",""
"TaxonomyCodedRoute_fb8ce715afb019c3","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","PBC","scMIR","pretraining","eight clinically relevant cell categories","17,092 images of peripheral blood cells","peripheral blood cell images","bright-field microscopy","['structured textual descriptions were constructed using controlled keywords, including species, data source, microscopy type, cell type, and related annotations', 'The caption is passed through a Tokenizer into Text tokens', 'The image is passed through an Image encoder into Image tokens', 'A Q-Former module connects text/image tokens to image-text alignment']","['construct structured captions from controlled keywords', 'tokenize text', 'encode image', 'align image and text with a Q-Former']","Caption generated with controlled keywords, plus bright-field single-cell images","visual_raster_carrier","raw_slide_or_patch_input","A Q-Former module connects text/image tokens to image-text alignment","query_bottleneck","paired_alignment_supervision","paired_alignment_input","PBC is a curated bright-field single-cell microscopy dataset comprising 17,092 images of peripheral blood cells","PBC","","inferred","Pretraining use is inferred from the paper context and dataset placement, not stated explicitly in the PBC subsection.","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [56, 59, 90], ""pages"": [31, 50], ""refs"": [""#/texts/236"", ""#/texts/242"", ""#/tables/0""], ""spans"": [{""chunk"": 56, ""start"": 263, ""end"": 266}, {""chunk"": 59, ""start"": 118, ""end"": 121}, {""chunk"": 90, ""start"": 788, ""end"": 791}]}","","","",""
"TaxonomyCodedRoute_f6b0f13cddae3799","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","HPA","scMIR","pretraining","each sample is annotated with cell line, protein localization, and protein identity","579,902 single-cell samples, each represented by four fluorescence channels","HPA subcellular localization single-cell samples","confocal microscopy","['structured textual descriptions were constructed using controlled keywords, including species, data source, microscopy type, cell type, and related annotations', 'The caption is passed through a Tokenizer into Text tokens', 'The image is passed through an Image encoder into Image tokens', 'A Q-Former module connects text/image tokens to image-text alignment']","['construct structured captions from controlled keywords', 'tokenize text', 'encode image', 'align image and text with a Q-Former']","Caption generated with controlled keywords, plus single-cell confocal images","visual_raster_carrier","raw_slide_or_patch_input","A Q-Former module connects text/image tokens to image-text alignment","query_bottleneck","paired_alignment_supervision","paired_alignment_input","We used single-cell confocal microscopy images from the HPA subcellular localization subset","HPA","","inferred","Pretraining use is inferred from the paper context and dataset placement, not stated explicitly in the HPA subsection.","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [60], ""pages"": [32], ""refs"": [""#/texts/244""], ""spans"": [{""chunk"": 60, ""start"": 380, ""end"": 463}]}","","","",""
"TaxonomyCodedRoute_3bfd4de8f8f2175d","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","HepG2","scMIR","pretraining","a subset of the segmented single-cell images derived from this dataset was used for pretraining","520 differential interference contrast (DIC) microscopy images containing 12,198 HepG2 human liver cancer cells","HepG2 human liver cancer cell images","differential interference contrast microscopy","['structured textual descriptions were constructed using controlled keywords, including species, data source, microscopy type, cell type, and related annotations', 'The caption is passed through a Tokenizer into Text tokens', 'The image is passed through an Image encoder into Image tokens', 'A Q-Former module connects text/image tokens to image-text alignment']","['construct structured captions from controlled keywords', 'tokenize text', 'encode image', 'align image and text with a Q-Former']","Caption generated with controlled keywords, plus DIC microscopy images","visual_raster_carrier","raw_slide_or_patch_input","A Q-Former module connects text/image tokens to image-text alignment","query_bottleneck","paired_alignment_supervision","paired_alignment_input","The HepG2 dataset comprises 520 differential interference contrast (DIC) microscopy images containing 12,198 HepG2 human liver cancer cells","HepG2","","inferred","Pretraining use is inferred from the paper context and dataset placement, not stated explicitly in the HepG2 subsection.","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [56, 61, 90], ""pages"": [31, 32, 50], ""refs"": [""#/texts/236"", ""#/texts/246"", ""#/tables/0""], ""spans"": [{""chunk"": 56, ""start"": 275, ""end"": 280}, {""chunk"": 61, ""start"": 118, ""end"": 123}, {""chunk"": 90, ""start"": 1388, ""end"": 1393}]}","","","",""
"TaxonomyCodedRoute_6afda7f04d7477bf","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","B_ALL","scMIR","evaluation","B_ALL is a quantitative phase imaging (QPI) dataset comprising single-cell images collected from four healthy donors.","single-cell images collected from four healthy donors","single-cell images","quantitative phase imaging (QPI)","[]","[]","single-cell images","visual_raster_carrier","raw_slide_or_patch_input","not specified","unclear","no_text_on_this_route","actual_model_input","B_ALL is a quantitative phase imaging (QPI) dataset comprising single-cell images collected from four healthy donors.","B_ALL [7]","","explicit_text","","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [56, 62, 90], ""pages"": [31, 32, 50], ""refs"": [""#/texts/236"", ""#/texts/248"", ""#/tables/0""], ""spans"": [{""chunk"": 56, ""start"": 288, ""end"": 293}, {""chunk"": 62, ""start"": 118, ""end"": 123}, {""chunk"": 90, ""start"": 1671, ""end"": 1676}]}","","","",""
"TaxonomyCodedRoute_a086ddfedbbf24d3","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","AINU","scMIR","evaluation","The evaluation task requires models to predict cell types.","super-resolution microscopy images that capture the spatial organization of core histone H3, RNA polymerase II, or DNA within cell nuclei","microscopy images","super-resolution microscopy","[]","[]","super-resolution microscopy images","visual_raster_carrier","raw_slide_or_patch_input","not specified","unclear","no_text_on_this_route","actual_model_input","The evaluation task requires models to predict cell types.","AINU [8]","","explicit_text","","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [64, 65], ""pages"": [32, 33], ""refs"": [""#/texts/252"", ""#/texts/254""], ""spans"": [{""chunk"": 64, ""start"": 574, ""end"": 632}, {""chunk"": 65, ""start"": 428, ""end"": 486}]}","","","",""
"TaxonomyCodedRoute_b456cae4b5f2ecf5","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","AIRFIHA","scMIR","evaluation","The evaluation task requires models to predict cell types.","phase images of labeled white blood cells collected from multiple donors, including monocytes, granulocytes, B lymphocytes, T lymphocytes, CD4 cells, and CD8 cells","white blood cells","quantitative phase imaging microscopy","[]","[]","phase images of labeled white blood cells","visual_raster_carrier","raw_slide_or_patch_input","not specified","unclear","no_text_on_this_route","actual_model_input","The evaluation task requires models to predict cell types.","AIRFIHA [9]","","explicit_text","","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [64, 65], ""pages"": [32, 33], ""refs"": [""#/texts/252"", ""#/texts/254""], ""spans"": [{""chunk"": 64, ""start"": 574, ""end"": 632}, {""chunk"": 65, ""start"": 428, ""end"": 486}]}","","","",""
"TaxonomyCodedRoute_e56648de3055666d","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","BBBC014","scMIR","evaluation","The evaluation task is to predict the cell line identity.","a single field of view with two images: a nuclear counterstain (DAPI) channel and a signal stain (FITC) channel","fluorescence microscopy images","fluorescence microscopy","[]","[]","fluorescence microscopy images","visual_raster_carrier","raw_slide_or_patch_input","not specified","unclear","no_text_on_this_route","actual_model_input","The evaluation task is to predict the cell line identity.","BBBC014 [10]","","explicit_text","","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [66], ""pages"": [33], ""refs"": [""#/texts/256""], ""spans"": [{""chunk"": 66, ""start"": 269, ""end"": 380}]}","","","",""
"TaxonomyCodedRoute_6dc8e4dda2bcff12","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","BBBC021","scMIR","evaluation","infer perturbing compounds or their mechanisms of action from image-derived features","fluorescence microscopy images of MCF-7 breast cancer cells treated with 113 small-molecule compounds at eight concentrations for 24 hours","MCF-7 breast cancer cells","fluorescence microscopy","[]","[]","three-channel fluorescence images","visual_raster_carrier","raw_slide_or_patch_input","three-channel fluorescence images","unclear","no_text_on_this_route","actual_model_input","The evaluation task requires models to infer perturbing compounds or their mechanisms of action from image-derived features.","BBBC021","","explicit_text","","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [67], ""pages"": [33], ""refs"": [""#/texts/258""], ""spans"": [{""chunk"": 67, ""start"": 151, ""end"": 289}]}","","","",""
"TaxonomyCodedRoute_0c249919b092358e","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","BBBC048","scMIR","evaluation","prediction of cell-cycle stage","images of 32,266 asynchronously growing Jurkat cells stained with propidium iodide (PI) to quantify DNA content and MPM2 antibody to identify mitotic cells","Jurkat cells","bright-field and fluorescence microscopy","[]","[]","bright-field images and two fluorescence channels acquired using the ImageStream platform","visual_raster_carrier","raw_slide_or_patch_input","bright-field images and two fluorescence channels acquired using the ImageStream platform","unclear","no_text_on_this_route","actual_model_input","The evaluation task is prediction of cell-cycle stage.","BBBC048","","explicit_text","","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [68], ""pages"": [33], ""refs"": [""#/texts/260""], ""spans"": [{""chunk"": 68, ""start"": 564, ""end"": 594}]}","","","",""
