run_label,summary_path,server_info_path,run_started_at_utc,model,input_csv,num_records_in_this_job_or_repeat,max_concurrent,pipeline_mode,request_temperature,request_top_p,request_n,request_seed,request_max_tokens,enable_thinking,reasoning_effort,response_format_json_object,server_seed,server_model_name,served_model_name,node_name,server_max_tokens_env,max_num_seqs_env,request_timeout,pipeline_seconds,decision_counts_json
deepseek_v4_review_pipeline_10831_smoke3,runs/deepseek_v4_review_pipeline_10831_smoke3/guideline_pilot_summary.json,,2026-05-02T01:17:37Z,deepseek-v4-flash,/valhalla/projects/ehpc-aif-2026pg01-346/review/text-bio-fundational-models-review/data/pilot_smoke_input.csv,3,1,,0.7,1.0,1,0,,,,True,,,,,,,,,"{""EXCLUDE"": 1, ""INCLUDE"": 1, ""UNCERTAIN"": 1}"
deepseek_v4_review_pipeline_10831_smoke35_thinking_c16,runs/deepseek_v4_review_pipeline_10831_smoke35_thinking_c16/guideline_pilot_summary.json,,2026-05-02T01:27:46Z,deepseek-v4-flash,/valhalla/projects/ehpc-aif-2026pg01-346/review/text-bio-fundational-models-review/data/pilot_smoke_input.csv,35,16,,0.7,1.0,1,0,,True,,False,,,,,,,,,"{""EXCLUDE"": 27, ""INCLUDE"": 6, ""UNCERTAIN"": 2}"
deepseek_v4_review_pipeline_10831_smoke35_thinking_streaming_c16,runs/deepseek_v4_review_pipeline_10831_smoke35_thinking_streaming_c16/guideline_pilot_summary.json,,2026-05-02T01:33:40Z,deepseek-v4-flash,/valhalla/projects/ehpc-aif-2026pg01-346/review/text-bio-fundational-models-review/data/pilot_smoke_input.csv,35,16,streaming,0.7,1.0,1,0,,True,,False,,,,,,,,,"{""EXCLUDE"": 27, ""INCLUDE"": 6, ""UNCERTAIN"": 2}"
deepseek_v4_review_pipeline_10831_smoke3_thinking_c3,runs/deepseek_v4_review_pipeline_10831_smoke3_thinking_c3/guideline_pilot_summary.json,,2026-05-02T01:24:46Z,deepseek-v4-flash,/valhalla/projects/ehpc-aif-2026pg01-346/review/text-bio-fundational-models-review/data/pilot_smoke_input.csv,3,3,,0.7,1.0,1,0,,True,,False,,,,,,,,,"{""INCLUDE"": 2, ""UNCERTAIN"": 1}"
deepseek_v4_review_pipeline_10831_smoke6_thinking_streaming_c16,runs/deepseek_v4_review_pipeline_10831_smoke6_thinking_streaming_c16/guideline_pilot_summary.json,,2026-05-02T01:31:37Z,deepseek-v4-flash,/valhalla/projects/ehpc-aif-2026pg01-346/review/text-bio-fundational-models-review/data/pilot_smoke_input.csv,6,16,streaming,0.7,1.0,1,0,,True,,False,,,,,,,,,"{""EXCLUDE"": 4, ""UNCERTAIN"": 2}"
deepseek_v4_review_pipeline_10848_smoke1_thinking_high_mtp32k_s4_c1_mt8000,runs/deepseek_v4_review_pipeline_10848_smoke1_thinking_high_mtp32k_s4_c1_mt8000/guideline_pilot_summary.json,,2026-05-02T11:53:48Z,deepseek-v4-flash,/valhalla/projects/ehpc-aif-2026pg01-346/review/text-bio-fundational-models-review/data/pilot_smoke_input.csv,1,1,streaming,0.7,1.0,1,0,8000.0,True,high,False,,,,,,,,,"{""EXCLUDE"": 1}"
deepseek_v4_review_pipeline_10890_genept_scopefix_wrapper_1_thinking_high_mtp32k_s4_c1_mt16000,runs/deepseek_v4_review_pipeline_10890_genept_scopefix_wrapper_1_thinking_high_mtp32k_s4_c1_mt16000/guideline_pilot_summary.json,,2026-05-03T00:25:19Z,deepseek-v4-flash,/valhalla/projects/ehpc-aif-2026pg01-346/review/text-bio-fundational-models-review/runs/genept_one_row_input.csv,1,1,streaming,0.7,1.0,1,0,16000.0,True,high,False,,,,,,,,,"{""EXCLUDE"": 1}"
deepseek_v4_review_pipeline_10890_smoke35_scopefix_thinking_high_mtp32k_s4_c70_mt16000,runs/deepseek_v4_review_pipeline_10890_smoke35_scopefix_thinking_high_mtp32k_s4_c70_mt16000/guideline_pilot_summary.json,,2026-05-03T00:12:05Z,deepseek-v4-flash,/valhalla/projects/ehpc-aif-2026pg01-346/review/text-bio-fundational-models-review/data/pilot_smoke_input.csv,35,70,streaming,0.7,1.0,1,0,16000.0,True,high,False,,,,,,,,,"{""EXCLUDE"": 32, ""INCLUDE"": 2, ""UNCERTAIN"": 1}"
deepseek_v4_review_pipeline_10890_smoke35_thinking_high_mtp32k_s4_c70_mt16000,runs/deepseek_v4_review_pipeline_10890_smoke35_thinking_high_mtp32k_s4_c70_mt16000/guideline_pilot_summary.json,,2026-05-02T23:41:09Z,deepseek-v4-flash,/valhalla/projects/ehpc-aif-2026pg01-346/review/text-bio-fundational-models-review/data/pilot_smoke_input.csv,35,70,streaming,0.7,1.0,1,0,16000.0,True,high,False,,,,,,,,,"{""EXCLUDE"": 29, ""INCLUDE"": 5, ""UNCERTAIN"": 1}"
deepseek_v4_review_pipeline_11033_remaining6_thinking_high_mtp32k_s4_3g1b_c36_mt16000,runs/deepseek_v4_review_pipeline_11033_remaining6_thinking_high_mtp32k_s4_3g1b_c36_mt16000/guideline_pilot_summary.json,,2026-05-04T19:56:54Z,deepseek-v4-flash,/valhalla/projects/ehpc-aif-2026pg01-346/review/text-bio-fundational-models-review/runs/all_abstracts_remaining_after_11032_with_source_row_6.csv,6,12,streaming,0.7,1.0,1,0,16000.0,True,high,False,,,,,,,,,"{""EXCLUDE"": 2, ""UNCERTAIN"": 4}"
