candidate_id,source_run,record_id,title,doi,decision,status,folder,files,attempt_count,technical_failure_count,access_restriction_count,reused_existing
update_2026-08-09__rec_000001,update_2026-08-09,update_2026-08-09__rec_000001,PlantCAD2: A DNA foundation model for interpreting genomes across flowering plants.,10.1016/j.xgen.2026.101329,UNCERTAIN,pdf_downloaded,/Users/bogdan.didenko/lpnu/review/data/living_catalog_updates/update_2026-08-09/05_fulltext/workers/worker_00/update_2026-08-09__rec_000001__PlantCAD2_A_DNA_foundation_model_for_interpreting_genomes_across_flowe,"[{'source': 'openalex_title_content_pdf', 'file': '/Users/bogdan.didenko/lpnu/review/data/living_catalog_updates/update_2026-08-09/05_fulltext/workers/worker_00/update_2026-08-09__rec_000001__PlantCAD2_A_DNA_foundation_model_for_interpreting_genomes_across_flowe/full_text_05_openalex_title_content_pdf.pdf', 'filename': 'full_text_05_openalex_title_content_pdf.pdf', 'content_type': 'application/pdf', 'bytes': 2552621, 'sha256': '7ad86f33d5d1812e5d3bd6109758c69d85e6045be940922f767766f99492f6b0'}]",30,4,0,True
update_2026-08-09__rec_000003,update_2026-08-09,update_2026-08-09__rec_000003,GEM-GPT Enables Personalized Cell Type-Resolved Therapeutic Design for Systems Pharmacology.,10.64898/2026.07.17.739269,INCLUDE,pdf_downloaded,/Users/bogdan.didenko/lpnu/review/data/living_catalog_updates/update_2026-08-09/05_fulltext/workers/worker_00/update_2026-08-09__rec_000003__GEM-GPT_Enables_Personalized_Cell_Type-Resolved_Therapeutic_Design_for,"[{'source': 'openalex_content_pdf', 'file': '/Users/bogdan.didenko/lpnu/review/data/living_catalog_updates/update_2026-08-09/05_fulltext/workers/worker_00/update_2026-08-09__rec_000003__GEM-GPT_Enables_Personalized_Cell_Type-Resolved_Therapeutic_Design_for/full_text_05_openalex_content_pdf.pdf', 'filename': 'full_text_05_openalex_content_pdf.pdf', 'content_type': 'application/pdf', 'bytes': 2213133, 'sha256': 'ad7eec31489aa0d286722873ed130563d25256f35844c9c9abf35d8c19830cec'}]",26,7,0,True
update_2026-08-09__rec_000025,update_2026-08-09,update_2026-08-09__rec_000025,scDifformer: diffusion-based post-training for virtual cell modeling across large-scale single-cell data,10.1093/nar/gkag706,INCLUDE,html_full_text_downloaded,/Users/bogdan.didenko/lpnu/review/data/living_catalog_updates/update_2026-08-09/05_fulltext/workers/worker_01/update_2026-08-09__rec_000025__scDifformer_diffusion-based_post-training_for_virtual_cell_modeling_ac,"[{'source': 'openalex_location_landing_page_url', 'file': '/Users/bogdan.didenko/lpnu/review/data/living_catalog_updates/update_2026-08-09/05_fulltext/workers/worker_01/update_2026-08-09__rec_000025__scDifformer_diffusion-based_post-training_for_virtual_cell_modeling_ac/full_text_03_openalex_location_landing_page.html', 'filename': 'full_text_03_openalex_location_landing_page.html', 'content_type': 'text/html; charset=utf-8', 'bytes': 305815, 'sha256': 'e8a90c75702b475a9e7aaf0da0d7f441ecf021926551b5fbb02673ff02f0359a'}]",21,0,2,True
update_2026-08-09__rec_000039,update_2026-08-09,update_2026-08-09__rec_000039,Lineage-Independent Structural Risk Detection in SARS- CoV-2 Spike Protein via Zero-Shot Protein Language Modeling,10.5281/zenodo.21381359,INCLUDE,pdf_downloaded,/Users/bogdan.didenko/lpnu/review/data/living_catalog_updates/update_2026-08-09/05_fulltext/workers/worker_01/update_2026-08-09__rec_000039__Lineage-Independent_Structural_Risk_Detection_in_SARS-_CoV-2_Spike_Pro,"[{'source': 'openalex_landing_page_url', 'file': '/Users/bogdan.didenko/lpnu/review/data/living_catalog_updates/update_2026-08-09/05_fulltext/workers/worker_01/update_2026-08-09__rec_000039__Lineage-Independent_Structural_Risk_Detection_in_SARS-_CoV-2_Spike_Pro/full_text_01_openalex_landing_page_url.html', 'filename': 'full_text_01_openalex_landing_page_url.html', 'content_type': 'text/html; charset=utf-8', 'bytes': 91239, 'sha256': '62b2b899ca3a94f8ff0774dc2ff8cd9f35967bef0708d82da84f0d42cd3b500d'}, {'source': 'landing_pdf_link', 'file': '/Users/bogdan.didenko/lpnu/review/data/living_catalog_updates/update_2026-08-09/05_fulltext/workers/worker_01/update_2026-08-09__rec_000039__Lineage-Independent_Structural_Risk_Detection_in_SARS-_CoV-2_Spike_Pro/full_text_02_landing_pdf_link.pdf', 'filename': 'full_text_02_landing_pdf_link.pdf', 'content_type': 'application/octet-stream, application/octet-stream', 'bytes': 364751, 'sha256': 'b6aec85291a2aa9b78dc28b0ebfa9efdc30c7f16674b4ad005c706ce75c01b1d'}]",23,2,0,True
update_2026-08-09__rec_000076,update_2026-08-09,update_2026-08-09__rec_000076,Miniaturizing and modifying natural proteins with Raygun,10.1038/s41586-026-10842-8,INCLUDE,pdf_downloaded,/Users/bogdan.didenko/lpnu/review/data/living_catalog_updates/update_2026-08-09/05_fulltext/workers/worker_02/update_2026-08-09__rec_000076__Miniaturizing_and_modifying_natural_proteins_with_Raygun,"[{'source': 'openalex_landing_page_url', 'file': '/Users/bogdan.didenko/lpnu/review/data/living_catalog_updates/update_2026-08-09/05_fulltext/workers/worker_02/update_2026-08-09__rec_000076__Miniaturizing_and_modifying_natural_proteins_with_Raygun/full_text_01_openalex_landing_page_url.html', 'filename': 'full_text_01_openalex_landing_page_url.html', 'content_type': 'text/html; charset=utf-8', 'bytes': 431983, 'sha256': 'e2c93368a564cd2ceb2550c59fe12a09417fa2d2291f3c822a3749690c9f6260'}, {'source': 'landing_pdf_link', 'file': '/Users/bogdan.didenko/lpnu/review/data/living_catalog_updates/update_2026-08-09/05_fulltext/workers/worker_02/update_2026-08-09__rec_000076__Miniaturizing_and_modifying_natural_proteins_with_Raygun/full_text_04_landing_pdf_link.pdf', 'filename': 'full_text_04_landing_pdf_link.pdf', 'content_type': 'application/pdf', 'bytes': 563573, 'sha256': 'fc75d5ea0a65fc552d1b10dea7aea4d8b02f2ca51d0b6bf7e2337b0118241a25'}]",25,2,0,True
update_2026-08-09__rec_000082,update_2026-08-09,update_2026-08-09__rec_000082,Unify learns cellular evolution with universal multimodal embeddings,10.1038/s41467-026-76230-y,UNCERTAIN,pdf_downloaded,/Users/bogdan.didenko/lpnu/review/data/living_catalog_updates/update_2026-08-09/05_fulltext/workers/worker_02/update_2026-08-09__rec_000082__Unify_learns_cellular_evolution_with_universal_multimodal_embeddings,"[{'source': 'openalex_landing_page_url', 'file': '/Users/bogdan.didenko/lpnu/review/data/living_catalog_updates/update_2026-08-09/05_fulltext/workers/worker_02/update_2026-08-09__rec_000082__Unify_learns_cellular_evolution_with_universal_multimodal_embeddings/full_text_01_openalex_landing_page_url.html', 'filename': 'full_text_01_openalex_landing_page_url.html', 'content_type': 'text/html; charset=utf-8', 'bytes': 236386, 'sha256': '2798f6d8326817e7d12864599d07c02ddecbda084a69336a9dacd4914c7586a1'}, {'source': 'landing_pdf_link', 'file': '/Users/bogdan.didenko/lpnu/review/data/living_catalog_updates/update_2026-08-09/05_fulltext/workers/worker_02/update_2026-08-09__rec_000082__Unify_learns_cellular_evolution_with_universal_multimodal_embeddings/full_text_02_landing_pdf_link.html', 'filename': 'full_text_02_landing_pdf_link.html', 'content_type': 'text/html; charset=utf-8', 'bytes': 236386, 'sha256': '1e01a70d41d56e59afd85250bed8a18368871213ab13007f91268f3f0a72efc4'}, {'source': 'landing_pdf_link', 'file': '/Users/bogdan.didenko/lpnu/review/data/living_catalog_updates/update_2026-08-09/05_fulltext/workers/worker_02/update_2026-08-09__rec_000082__Unify_learns_cellular_evolution_with_universal_multimodal_embeddings/full_text_04_landing_pdf_link.pdf', 'filename': 'full_text_04_landing_pdf_link.pdf', 'content_type': 'application/pdf', 'bytes': 8379174, 'sha256': '825bab31d5cd4a6911e8faadd6d7a003fcf0d546e9f3a07355ce6114133025f0'}]",30,3,0,True
update_2026-08-09__rec_000106,update_2026-08-09,update_2026-08-09__rec_000106,scMIR: a vision-language foundation model for single-cell light microscopy image representation,,INCLUDE,pdf_downloaded,/Users/bogdan.didenko/lpnu/review/data/living_catalog_updates/update_2026-08-09/05_fulltext/workers/worker_03/update_2026-08-09__rec_000106__scMIR_a_vision-language_foundation_model_for_single-cell_light_microsc,"[{'source': 'openalex_title_pdf_url', 'file': '/Users/bogdan.didenko/lpnu/review/data/living_catalog_updates/update_2026-08-09/05_fulltext/workers/worker_03/update_2026-08-09__rec_000106__scMIR_a_vision-language_foundation_model_for_single-cell_light_microsc/full_text_01_openalex_title_pdf_url.pdf', 'filename': 'full_text_01_openalex_title_pdf_url.pdf', 'content_type': 'application/pdf', 'bytes': 11966227, 'sha256': 'cbc5eb91814eed0e3e4ec26f101a77b6f544d3bf9b4f32db58cc639b00f02b25'}]",16,2,0,True
update_2026-08-09__rec_000131,update_2026-08-09,update_2026-08-09__rec_000131,CellDuality: Unlocking Biological Reasoning in LLMs with Self-Supervised RLVR.,,INCLUDE,html_full_text_downloaded,/Users/bogdan.didenko/lpnu/review/data/living_catalog_updates/update_2026-08-09/05_fulltext/workers/worker_03/update_2026-08-09__rec_000131__CellDuality_Unlocking_Biological_Reasoning_in_LLMs_with_Self-Supervise,"[{'source': 'openalex_title_landing_page_url', 'file': '/Users/bogdan.didenko/lpnu/review/data/living_catalog_updates/update_2026-08-09/05_fulltext/workers/worker_03/update_2026-08-09__rec_000131__CellDuality_Unlocking_Biological_Reasoning_in_LLMs_with_Self-Supervise/full_text_03_openalex_title_landing_page_ur.html', 'filename': 'full_text_03_openalex_title_landing_page_ur.html', 'content_type': 'text/html; charset=utf-8', 'bytes': 117062, 'sha256': 'ce2bd3c0213c29d734aa398a3922285568f3e50d8677474dd8ae109817d3d36a'}, {'source': 'openalex_title_landing_page_url', 'file': '/Users/bogdan.didenko/lpnu/review/data/living_catalog_updates/update_2026-08-09/05_fulltext/workers/worker_03/update_2026-08-09__rec_000131__CellDuality_Unlocking_Biological_Reasoning_in_LLMs_with_Self-Supervise/full_text_05_openalex_title_landing_page_ur.html', 'filename': 'full_text_05_openalex_title_landing_page_ur.html', 'content_type': 'text/html; charset=utf-8', 'bytes': 227792, 'sha256': 'ec7fcd375dec655bc3e0c4c809fedb4c0fc4f6af669fb5bfd03c2984b4b67474'}]",20,0,0,True
update_2026-08-09__rec_000138,update_2026-08-09,update_2026-08-09__rec_000138,"OCellus: A Language-Model Framework for Single-Cell, Spatial, and Perturbation Biology with Natural-Language Reasoning",10.64898/2026.07.08.737248,INCLUDE,pdf_downloaded,/Users/bogdan.didenko/lpnu/review/data/living_catalog_updates/update_2026-08-09/05_fulltext/workers/worker_04/update_2026-08-09__rec_000138__OCellus_A_Language-Model_Framework_for_Single-Cell_Spatial_and_Perturb,"[{'source': 'openalex_content_pdf', 'file': '/Users/bogdan.didenko/lpnu/review/data/living_catalog_updates/update_2026-08-09/05_fulltext/workers/worker_04/update_2026-08-09__rec_000138__OCellus_A_Language-Model_Framework_for_Single-Cell_Spatial_and_Perturb/full_text_05_openalex_content_pdf.pdf', 'filename': 'full_text_05_openalex_content_pdf.pdf', 'content_type': 'application/pdf', 'bytes': 2196648, 'sha256': 'f41aa6b7f12245f349f7f621bb0a0774579acd419aa8d6e21e77aaca44865e8a'}]",24,7,0,True
update_2026-08-09__rec_000219,update_2026-08-09,update_2026-08-09__rec_000219,Building Knowledge-Enhanced AI Co-Scientists for Biomedical Discovery,,UNCERTAIN,pdf_downloaded,/Users/bogdan.didenko/lpnu/review/data/living_catalog_updates/update_2026-08-09/05_fulltext/workers/worker_04/update_2026-08-09__rec_000219__Building_Knowledge-Enhanced_AI_Co-Scientists_for_Biomedical_Discovery,"[{'source': 'landing_pdf_link', 'file': '/Users/bogdan.didenko/lpnu/review/data/living_catalog_updates/update_2026-08-09/05_fulltext/workers/worker_04/update_2026-08-09__rec_000219__Building_Knowledge-Enhanced_AI_Co-Scientists_for_Biomedical_Discovery/full_text_02_landing_pdf_link.pdf', 'filename': 'full_text_02_landing_pdf_link.pdf', 'content_type': 'application/pdf', 'bytes': 97981405, 'sha256': '3ae0960de1e4f8e0e46328937ea1ca38d8f89ff1c6f40a57d827a62dc2c010c2'}]",21,0,0,
