"id","label","type","__class__","route_label","model_name","lifecycle_phase_verbatim","task_or_configuration_verbatim","source_object_verbatim","transformation_chain_verbatim","model_visible_form_verbatim","insertion_or_fusion_verbatim","text_role_verbatim","input_status_verbatim","evidence_quote","section_heading","supporting_figure_or_table","uncertainty","__provenance__","title","doi","input_routes"
"InputRouteDiscovery_3ef590cdb11f7958","InputRouteDiscovery","entity","InputRouteDiscovery","PubMed abstract continual pretraining","XunZi-R","continual pretraining","causal language modelling (CLM) framework","all available abstracts from published papers in PubMed before 2025","['retrieved all available abstracts from published papers in PubMed before 2025', 'constructed a pretraining corpus', 'continual pretraining']","tokenized sequence","backbone model pretraining","actual input","actual model input","we retrieved all available abstracts from published papers in PubMed before 2025, resulting in a corpus of over 24,411,924 biomedical publications.","","","","{""document_id"": ""dd6b2cf29401178599b6b618bbf5399a"", ""match"": ""verbatim"", ""chunks"": [31], ""pages"": [10], ""refs"": [""#/texts/1349"", ""#/texts/1350""], ""spans"": [{""chunk"": 31, ""start"": 297, ""end"": 444}]}","","",""
"InputRouteDiscovery_3dd28ca5625ce77e","InputRouteDiscovery","entity","InputRouteDiscovery","Structured biological corpus pretraining","XunZi-R","continual pretraining","causal language modelling (CLM) framework","2,054,130 structured biological corpora","['incorporated 2,054,130 structured biological corpora', 'used gene functional descriptions, Disease Ontology definitions and Gene Ontology definitions', 'continual pretraining']","structured text corpus","backbone model pretraining","actual input","actual model input","We also incorporated 2,054,130 structured biological corpora to enhance the domain-specific understanding of XunZi-R.","","","","{""document_id"": ""dd6b2cf29401178599b6b618bbf5399a"", ""match"": ""verbatim"", ""chunks"": [36], ""pages"": [11, 12], ""refs"": [""#/texts/1377"", ""#/texts/1378"", ""#/texts/1382"", ""#/texts/1383"", ""#/texts/1384"", ""#/texts/1385"", ""#/texts/1386"", ""#/texts/1387""], ""spans"": [{""chunk"": 36, ""start"": 715, ""end"": 756}]}","","",""
"InputRouteDiscovery_7cd6f08d6737c8a9","InputRouteDiscovery","entity","InputRouteDiscovery","Gene-disease mechanistic CoT fine-tuning","XunZi-R","instruction fine-tuning","supervised fine-tuning (SFT) strategy","gene-disease associations from DisGeNET and CTD","['collected gene-disease associations from DisGeNET and CTD', 'retrieved corresponding PubMed abstracts', 'used GPT-4 to transform raw gene-disease associations into detailed mechanistic interpretations', 'manually checked each entry and corrected errors', 'formatted the verified interpretations into a CoT mechanistic interpretation corpus']","structured input-output pair","instruction fine-tuning","paired training supervision","paired training supervision","we formatted the verified interpretations into a CoT mechanistic interpretation corpus.","","","","{""document_id"": ""dd6b2cf29401178599b6b618bbf5399a"", ""match"": ""verbatim"", ""chunks"": [33], ""pages"": [10, 11], ""refs"": [""#/texts/1361"", ""#/texts/1362"", ""#/texts/1366"", ""#/texts/1367"", ""#/texts/1368"", ""#/texts/1369"", ""#/texts/1370"", ""#/texts/1371""], ""spans"": [{""chunk"": 33, ""start"": 1671, ""end"": 1758}]}","","",""
"InputRouteDiscovery_7c3c38f0451a1b20","InputRouteDiscovery","entity","InputRouteDiscovery","Gene-disease question prompting","XunZi-R","inference","Is gene [X] involved in disease [Y] in a functional way? Start with Yes or No.","a natural language instruction prompt","['formatted as a natural language instruction', 'prompted XunZi-R to answer Yes or No', 'generated mechanistic interpretation']","natural language instruction prompt","prompted into XunZi-R","actual input","actual model input","'Is gene [X] involved in disease [Y] in a functional way? Start with Yes or No.'","","","","{""document_id"": ""dd6b2cf29401178599b6b618bbf5399a"", ""match"": ""verbatim"", ""chunks"": [37], ""pages"": [12], ""refs"": [""#/texts/1389"", ""#/texts/1390"", ""#/texts/1391"", ""#/texts/1392"", ""#/texts/1393"", ""#/texts/1394"", ""#/texts/1395"", ""#/texts/1396""], ""spans"": [{""chunk"": 37, ""start"": 1481, ""end"": 1561}]}","","",""
"InputRouteDiscovery_6aa2751f525e6e10","InputRouteDiscovery","entity","InputRouteDiscovery","Multi-omics feature learning","XunZi-M","disease-specific molecular pretrain models","pan-cancer and neurodegenerative disease","transcriptomic, proteomic or phosphoproteomic measurements under different biological conditions","['derived an expression vector from transcriptomic, proteomic or phosphoproteomic measurements', 'embedded each node in the graph', 'employed a GCN to propagate features across the heterogeneous graph structure']","expression vector","node embedding in a GCN","actual input","actual model input","each node in the graph, representing a gene, was embedded with an expression vector derived from the corresponding transcriptomic, proteomic or phosphoproteomic measurements under different biological conditions.","","","","{""document_id"": ""dd6b2cf29401178599b6b618bbf5399a"", ""match"": ""verbatim"", ""chunks"": [39], ""pages"": [13], ""refs"": [""#/texts/1415"", ""#/texts/1416"", ""#/texts/1417"", ""#/texts/1418"", ""#/texts/1419"", ""#/texts/1420"", ""#/texts/1421"", ""#/texts/1422""], ""spans"": [{""chunk"": 39, ""start"": 339, ""end"": 551}]}","","",""
"InputRouteDiscovery_387c5022a28d66fb","InputRouteDiscovery","entity","InputRouteDiscovery","Knowledge-graph node embedding","XunZi-M","graph-based representation learning","pan-cancer and neurodegenerative disease","the complete knowledge graph comprising 621,152 nodes and 6,094,282 edges","['collected protein entries from UniProt', 'compiled PPI edges from public databases', 'retrieved GO terms from the GO database', 'constructed the complete knowledge graph', 'embedded each node in a 4,096-dimensional vector']","graph nodes and edges","GCN over the heterogeneous graph structure","actual input","actual model input","we constructed the complete knowledge graph comprising 621,152 nodes and 6,094,282 edges.","","","","{""document_id"": ""dd6b2cf29401178599b6b618bbf5399a"", ""match"": ""verbatim"", ""chunks"": [35], ""pages"": [11], ""refs"": [""#/texts/1375""], ""spans"": [{""chunk"": 35, ""start"": 1079, ""end"": 1168}]}","","",""
"InputRouteDiscovery_589902ef3af3d444","InputRouteDiscovery","entity","InputRouteDiscovery","NCBI gene_info entries","XunZi-R","continual pretraining","causal language modelling (CLM) framework","297,098 gene entries from the gene_info dataset","['extracted 297,098 gene entries from the gene_info dataset', 'built structured biological corpora', 'continual pretraining']","structured text corpus","backbone model pretraining","actual input","actual model input","We extracted 297,098 gene entries from the gene_info dataset","Preparation of the biomedical knowledge data","","","{""document_id"": ""dd6b2cf29401178599b6b618bbf5399a"", ""match"": ""verbatim"", ""chunks"": [31], ""pages"": [10], ""refs"": [""#/texts/1349"", ""#/texts/1350""], ""spans"": [{""chunk"": 31, ""start"": 723, ""end"": 783}]}","","",""
"InputRouteDiscovery_98956b0d41e80784","InputRouteDiscovery","entity","InputRouteDiscovery","GeneRIF functional descriptions","XunZi-R","continual pretraining","causal language modelling (CLM) framework","1,694,980 literature-derived functional descriptions from the GeneRIF dataset","['extracted 1,694,980 literature-derived functional descriptions from the GeneRIF dataset', 'built structured biological corpora', 'continual pretraining']","structured text corpus","backbone model pretraining","actual input","actual model input","and 1,694,980 literature-derived functional descriptions from the GeneRIF dataset","Preparation of the biomedical knowledge data","","","{""document_id"": ""dd6b2cf29401178599b6b618bbf5399a"", ""match"": ""verbatim"", ""chunks"": [31], ""pages"": [10], ""refs"": [""#/texts/1349"", ""#/texts/1350""], ""spans"": [{""chunk"": 31, ""start"": 784, ""end"": 865}]}","","",""
"InputRouteDiscovery_247513174efb33cc","InputRouteDiscovery","entity","InputRouteDiscovery","Disease Ontology definitions","XunZi-R","continual pretraining","causal language modelling (CLM) framework","14,132 disease terms from the Disease Ontology database","['collected 14,132 disease terms from the Disease Ontology database', 'compiled standardized identifiers, synonyms, hierarchical classifications and curated descriptions', 'built structured biological corpora', 'continual pretraining']","structured text corpus","backbone model pretraining","actual input","actual model input","A total of 14,132 disease terms were collected","Preparation of the biomedical knowledge data","","","{""document_id"": ""dd6b2cf29401178599b6b618bbf5399a"", ""match"": ""verbatim"", ""chunks"": [31], ""pages"": [10], ""refs"": [""#/texts/1349"", ""#/texts/1350""], ""spans"": [{""chunk"": 31, ""start"": 1279, ""end"": 1325}]}","","",""
"InputRouteDiscovery_36e4f881da72ec60","InputRouteDiscovery","entity","InputRouteDiscovery","GO definition texts","XunZi-R","continual pretraining","causal language modelling (CLM) framework","47,920 GO definitions on biological processes, molecular functions and cellular components","['integrated 47,920 GO definitions', 'built structured biological corpora', 'continual pretraining']","structured text corpus","backbone model pretraining","actual input","actual model input","We also integrated the texts of 47,920 GO definitions","Preparation of the biomedical knowledge data","","","{""document_id"": ""dd6b2cf29401178599b6b618bbf5399a"", ""match"": ""verbatim"", ""chunks"": [31], ""pages"": [10], ""refs"": [""#/texts/1349"", ""#/texts/1350""], ""spans"": [{""chunk"": 31, ""start"": 1519, ""end"": 1609}]}","","",""
