action,reason,cluster_id,source_db,title,doi,matched_with_db,matched_with_title
NEW,No match found,0,pubmed,The translational paradox of AI in hepatocellular carcinoma: from algorithmic over-engineering to re,10.3389/fonc.2026.1848190,,
NEW,No match found,1,pubmed,Evaluating the Role of AI Assistants in Accelerating Neurodegenerative Disease Research: Opportuniti,10.2147/NDT.S614952,,
NEW,No match found,2,pubmed,Cycle-consistent deep generative modeling unifies cellular states across unpaired spatial and single,10.64898/2026.05.25.727736,,
NEW,No match found,3,pubmed,Molecular Characterization of T-Lineage Acute Lymphoblastic Leukemia by an Optimal-Transport Based M,10.64898/2026.05.22.727257,,
NEW,No match found,4,pubmed,Pathogenicity prediction for noncanonical splice-altering variants based on multimodal feature fusio,10.1093/bib/bbag291,,
NEW,No match found,5,pubmed,Decoding Occult Cervical Lymph Node Metastasis in Head and Neck Squamous Cell Carcinoma: From AI-Dri,10.1007/s11912-026-01802-6,,
NEW,No match found,6,pubmed,THC-net: an attention-based deep learning model for chromatin compartment prediction from histone mo,10.1186/s12859-026-06504-1,,
NEW,No match found,7,pubmed,Network Methods for Diagonal Integration of Unpaired Single-Cell Multi-Omics Data: A Review.,10.1093/bioinformatics/btag353,,
NEW,No match found,8,pubmed,Listeria Genome Identification Using DNABERT Embedding With LightGBM and SHAP-Based Explainable Clas,10.1177/11779322261457840,,
NEW,No match found,9,pubmed,Decoding Treatment Response in Hepatocellular Carcinoma: The Era of Radiomics and Radiogenomics.,10.2147/JHC.S595928,,
NEW,No match found,10,pubmed,Transformer-based operon prediction using textual representations of gene pairs.,10.1093/bioadv/vbag140,,
NEW,No match found,11,pubmed,DeepCas12a: a hybrid deep learning framework for accurate AsCas12a efficiency prediction from sequen,10.1186/s12864-026-13003-3,,
NEW,No match found,12,pubmed,HisCMCL: Cross-Modal Contrastive Learning with Hierarchical Multi-Scale Fusion for Spatial Expressio,10.1093/bioinformatics/btag342,,
NEW,No match found,13,pubmed,"Generative artificial intelligence in animal genomics for smart agriculture: Applications, challenge",10.1016/j.vas.2026.100702,,
NEW,No match found,14,pubmed,KRAS,10.1186/s11658-026-00947-3,,
NEW,No match found,15,pubmed,AI-driven insights into protein misfolding and innate immunity in neurodegenerative diseases.,10.3389/fimmu.2026.1814357,,
NEW,No match found,16,pubmed,Toward a Molecular Reclassification of Myalgic Encephalomyelitis/Chronic Fatigue Syndrome: Integrati,10.3390/ijms27104436,,
NEW,No match found,17,pubmed,"Pathology Foundation Models: Evolution, Current Landscape, Challenges and Opportunities from a Techn",10.3390/bioengineering13050577,,
NEW,No match found,18,pubmed,Ligand-Receptor Interaction Combined with Histopathology Improves Glioma Prognostic Model.,10.3390/biomedicines14051110,,
NEW,No match found,19,pubmed,mmContext: an open framework for multimodal contrastive learning of omics and text data.,10.1093/bioinformatics/btag338,,
NEW,No match found,20,pubmed,Identifying batch-integrated domains from spatial transcriptomics via graph autoencoder with contras,10.1093/bib/bbag248,,
NEW,No match found,21,pubmed,A fine-tuned genomic language model adds complementary nucleotide-context information to missense va,10.64898/2026.05.06.723362,,
NEW,No match found,22,pubmed,From undruggable to degradable: A deep learning-enabled framework for precision orthopaedic protein ,10.1016/j.jot.2026.101118,,
NEW,No match found,23,pubmed,Modeling strategies for,10.1093/bioadv/vbag123,,
NEW,No match found,24,pubmed,Representation learning for multi-modal spatially resolved transcriptomics data.,10.1093/bioinformatics/btag316,,
NEW,No match found,25,pubmed,Semantic embedding of variant effect annotations enables rapid and accurate pathogenicity prediction,10.1038/s41598-026-54844-y,,
NEW,No match found,26,pubmed,Multimodal data-driven prediction of postoperative recurrence and survival in hepatocellular carcino,10.21037/jgo-2025-aw-848,,
NEW,No match found,27,pubmed,A generative framework for predicting cellular morphological and transcriptomic perturbation respons,10.1016/j.crmeth.2026.101459,,
NEW,No match found,28,pubmed,Workflow for Fine-Tuning and Evaluating DNA Language Models for Specific Genomics Issues.,10.21769/BioProtoc.5676,,
NEW,No match found,29,pubmed,"Machine Learning in Nonischemic Cardiomyopathy: Phenotyping, Mechanism Discovery, and Clinical Appli",10.1097/CRD.0000000000001281,,
NEW,No match found,30,pubmed,Current trends and future directions of artificial intelligence in lung cancer diagnosis.,10.21147/j.issn.1000-9604.2026.02.03,,
NEW,No match found,31,pubmed,"Artificial Intelligence in genomics: a comprehensive survey of methods, resources, challenges, and p",10.1093/bib/bbag229,,
NEW,No match found,32,pubmed,Multimodal interpretable deep learning for transcriptome-informed precision oncology and drug mechan,10.1038/s41746-026-02735-x,,
NEW,No match found,33,pubmed,Next-Generation Artificial Intelligence Strategies for Mechanistic Cancer Target Discovery and Drug ,10.3390/ijms27094028,,
