candidate_id,source_record_id,title,doi,recovery_status,canonical_pdf,sha256,historical_sha256,bytes,pages,selected_recovery_source,selected_recovery_method,historical_source_pdf,candidate_copy_count
full_2026-07-06__rec_000060,rec_000060,Query-driven generative AI synthesizes multi-modal spatial omics from histology.,10.64898/2025.12.11.693669,historical_version_url_recovered_hash_differs,data/source_pdf_recovery_52_2026-07-29/canonical_pdfs/full_2026-07-06__rec_000060.pdf,4cb4e838fd67c4539aa25e5ff18da6714e3006fec3647976df7c771e35308a7a,727e224e366bee5bf5c766a2207e66caadfc43c9de4140fa06e3a9b4b74ae426,1770063,26,data/source_pdf_recovery_52_2026-07-29/direct_biorxiv_retry/full_2026-07-06__rec_000060.pdf,direct_versioned_biorxiv_retry,data/full_text_include_missing_retry_2026-07-09/pass2_direct_pdf_links/full_2026-07-06__rec_000060__Query-driven_generative_AI_synthesizes_multi-modal_spatial_omics_from_/full_text_pass2_01_pattern_biorxiv_versioned.pdf,1
full_2026-07-06__rec_000063,rec_000063,TissueNarrator: Generative Modeling of Spatial Transcriptomics with Large Language Models.,10.1101/2025.11.24.690325,exact_historical_pdf,data/source_pdf_recovery_52_2026-07-29/canonical_pdfs/full_2026-07-06__rec_000063.pdf,5378f64150bf2420c580e665e5047a3433514e18d33ed647af0db1841e050870,5378f64150bf2420c580e665e5047a3433514e18d33ed647af0db1841e050870,3410675,17,data/source_pdf_recovery_52_2026-07-29/retry_with_keys/shard_0/full_2026-07-06__rec_000063__TissueNarrator_Generative_Modeling_of_Spatial_Transcriptomics_with_Lar/full_text_05_openalex_content_pdf.pdf,retry_with_keys:data/source_pdf_recovery_52_2026-07-29/retry_with_keys/shard_0/batch_manifest.json,data/full_text_include_missing_retry_2026-07-09/pass1_existing_downloader/full_2026-07-06__rec_000063__TissueNarrator_Generative_Modeling_of_Spatial_Transcriptomics_with_Lar/full_text_05_openalex_content_pdf.pdf,1
full_2026-07-06__rec_000086,rec_000086,ProCyon: A multimodal foundation model for protein phenotypes.,10.1101/2024.12.10.627665,historical_version_url_recovered_hash_differs,data/source_pdf_recovery_52_2026-07-29/canonical_pdfs/full_2026-07-06__rec_000086.pdf,cf1a1ae26c070c5024f3b3e33c7c0307c64e9b3babb4da9073e065af7fecf1e2,9ccfdf1edd0bf30dda9b6c33e09baa836bf3e544827cd3bdb5e5b00bc08e53d2,26292832,21,data/source_pdf_recovery_52_2026-07-29/direct_biorxiv_retry/full_2026-07-06__rec_000086.pdf,direct_versioned_biorxiv_retry,data/full_text_include_missing_retry_2026-07-09/pass2_direct_pdf_links/full_2026-07-06__rec_000086__ProCyon_A_multimodal_foundation_model_for_protein_phenotypes./full_text_pass2_01_html_full_text_05_openalex_landi.pdf,1
full_2026-07-06__rec_000090,rec_000090,Scaling Large Language Models for Next-Generation Single-Cell Analysis.,10.1101/2025.04.14.648850,historical_version_url_recovered_hash_differs,data/source_pdf_recovery_52_2026-07-29/canonical_pdfs/full_2026-07-06__rec_000090.pdf,7feb044738e63ad52310e767655551d81b625b5d9fe0a32ab4c5426669a2604b,6ad24f17f0fb33e53ee3c6ff5f85538087b3cdb953031b580915380545510cee,12996044,46,data/source_pdf_recovery_52_2026-07-29/direct_biorxiv_retry/full_2026-07-06__rec_000090.pdf,direct_versioned_biorxiv_retry,data/full_text_include_missing_retry_2026-07-09/pass1_existing_downloader/full_2026-07-06__rec_000090__Scaling_Large_Language_Models_for_Next-Generation_Single-Cell_Analysis/full_text_01_biorxiv_medrxiv_pdf.pdf,2
full_2026-07-06__rec_000771,rec_000771,"A multimodal conversational agent for DNA, RNA and protein tasks",10.1038/s42256-025-01047-1,exact_historical_pdf,data/source_pdf_recovery_52_2026-07-29/canonical_pdfs/full_2026-07-06__rec_000771.pdf,05b2a6f45ed228ae808e33bd371b922fff6595f2d80be7e11e0642b085dcdd55,05b2a6f45ed228ae808e33bd371b922fff6595f2d80be7e11e0642b085dcdd55,1929922,14,data/source_pdf_recovery_52_2026-07-29/shard_0/full_2026-07-06__rec_000771__A_multimodal_conversational_agent_for_DNA_RNA_and_protein_tasks/full_text_03_openalex_pdf_url.pdf,initial:data/source_pdf_recovery_52_2026-07-29/shard_0/batch_manifest.json,data/full_text_downloads_2026-07-07/batch_000_049/full_2026-07-06__rec_000771__A_multimodal_conversational_agent_for_DNA_RNA_and_protein_tasks/full_text_01_openalex_pdf_url.pdf,1
full_2026-07-06__rec_000827,rec_000827,Multimodal learning enables chat-based exploration of single-cell data,10.1038/s41587-025-02857-9,valid_pdf_no_historical_hash,data/source_pdf_recovery_52_2026-07-29/canonical_pdfs/full_2026-07-06__rec_000827.pdf,b43f07094f4a145d94c2bf7fb4dae4f10922a92b9ad910fc099db775a67bd866,,4489114,25,data/source_pdf_recovery_52_2026-07-29/shard_0/full_2026-07-06__rec_000827__Multimodal_learning_enables_chat-based_exploration_of_single-cell_data/full_text_03_openalex_pdf_url.pdf,initial:data/source_pdf_recovery_52_2026-07-29/shard_0/batch_manifest.json,data/full_text_downloads_2026-07-07/batch_000_049/full_2026-07-06__rec_000827__Multimodal_learning_enables_chat-based_exploration_of_single-cell_data/full_text_01_openalex_pdf_url.pdf,1
full_2026-07-06__rec_000950,rec_000950,Illuminating protein space with a programmable generative model,10.1038/s41586-023-06728-8,exact_historical_pdf,data/source_pdf_recovery_52_2026-07-29/canonical_pdfs/full_2026-07-06__rec_000950.pdf,0f5f8dde81269db8b6ce534b31815091814c8c8c1d4a86d1e1e93930ef55c431,0f5f8dde81269db8b6ce534b31815091814c8c8c1d4a86d1e1e93930ef55c431,8449404,15,data/source_pdf_recovery_52_2026-07-29/shard_0/full_2026-07-06__rec_000950__Illuminating_protein_space_with_a_programmable_generative_model/full_text_02_openalex_pdf_url.pdf,initial:data/source_pdf_recovery_52_2026-07-29/shard_0/batch_manifest.json,data/full_text_downloads_2026-07-07/batch_000_049/full_2026-07-06__rec_000950__Illuminating_protein_space_with_a_programmable_generative_model/full_text_01_openalex_pdf_url.pdf,1
full_2026-07-06__rec_001074,rec_001074,BioReason: Incentivizing Multimodal Biological Reasoning within a DNA-LLM Model,10.48550/arXiv.2505.23579,exact_historical_pdf,data/source_pdf_recovery_52_2026-07-29/canonical_pdfs/full_2026-07-06__rec_001074.pdf,39ded784548345d94b112d018eedfeca6c2351e37127d49805b436e72e123fe1,39ded784548345d94b112d018eedfeca6c2351e37127d49805b436e72e123fe1,5108887,28,data/source_pdf_recovery_52_2026-07-29/shard_1/full_2026-07-06__rec_001074__BioReason_Incentivizing_Multimodal_Biological_Reasoning_within_a_DNA-L/full_text_01_arxiv_pdf.pdf,initial:data/source_pdf_recovery_52_2026-07-29/shard_1/batch_manifest.json,data/full_text_downloads_2026-07-07/batch_000_049/full_2026-07-06__rec_001074__BioReason_Incentivizing_Multimodal_Biological_Reasoning_within_a_DNA-L/full_text_01_arxiv_pdf.pdf,1
full_2026-07-06__rec_001126,rec_001126,Language may be all omics needs: Harmonizing multimodal data for omics understanding with CellHermes,10.1101/2025.11.07.687322,exact_historical_pdf,data/source_pdf_recovery_52_2026-07-29/canonical_pdfs/full_2026-07-06__rec_001126.pdf,bea67b7405d50674b748c724a4ad412de7f3df58eba357b18e208ad54378637b,bea67b7405d50674b748c724a4ad412de7f3df58eba357b18e208ad54378637b,3283878,32,data/source_pdf_recovery_52_2026-07-29/retry_with_keys/shard_0/full_2026-07-06__rec_001126__Language_may_be_all_omics_needs_Harmonizing_multimodal_data_for_omics_/full_text_05_openalex_content_pdf.pdf,retry_with_keys:data/source_pdf_recovery_52_2026-07-29/retry_with_keys/shard_0/batch_manifest.json,data/full_text_downloads_2026-07-07/openalex_content_pass_26/full_2026-07-06__rec_001126__Language_may_be_all_omics_needs_Harmonizing_multimodal_data_for_omics_/full_text_05_openalex_content_pdf.pdf,1
full_2026-07-06__rec_001187,rec_001187,Precious3GPT: Multimodal Multi-Species Multi-Omics Multi-Tissue Transformer for Aging Research and Drug Discovery,10.1101/2024.07.25.605062,valid_pdf_no_historical_hash,data/source_pdf_recovery_52_2026-07-29/canonical_pdfs/full_2026-07-06__rec_001187.pdf,cc8abbfdab22c6c670d4203e0897cc9fc47653795a12ccb60d8315f9ea8dfac3,,2935296,39,data/source_pdf_recovery_52_2026-07-29/retry_with_keys/shard_0/full_2026-07-06__rec_001187__Precious3GPT_Multimodal_Multi-Species_Multi-Omics_Multi-Tissue_Transfo/full_text_05_openalex_content_pdf.pdf,retry_with_keys:data/source_pdf_recovery_52_2026-07-29/retry_with_keys/shard_0/batch_manifest.json,data/full_text_downloads_2026-07-07/openalex_content_pass_26/full_2026-07-06__rec_001187__Precious3GPT_Multimodal_Multi-Species_Multi-Omics_Multi-Tissue_Transfo/full_text_05_openalex_content_pdf.pdf,1
