record_id,candidate_id,source_record_id,source_corpus,docling_markdown,title,doi,final_decision,final_code,uncertainty_reason,final_source,final_rationale,evidence_snippet,scope_primary_exclusion_code,scope_uncertainty_reason,architecture_primary_exclusion_code,architecture_uncertainty_reason
full_2026-07-06__rec_000003,full_2026-07-06__rec_000003,rec_000003,include,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000003.md,Short-Context Regulatory DNA Language Models with Motif-Discovery Regularization.,10.64898/2026.02.05.703637,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,none,none
full_2026-07-06__rec_000607,full_2026-07-06__rec_000607,rec_000607,include,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000607.md,Modeling aspects of the language of life through transfer-learning protein sequences.,10.1186/s12859-019-3220-8,EXCLUDE,EC2_no_text_component,none,adjudicator,"This is a primary protein-sequence embedding paper built around SeqVec/ELMo transfer learning, with biology central but no substantive natural-language text component. The evidence supports exclusion on the missing text criterion rather than on generation.",“each protein was treated as a sentence and each amino acid was interpreted as a single word”; “trained ELMo on UniRef50”,EC2_no_text_component,none,none,generative_status_unclear
full_2026-07-06__rec_000981,full_2026-07-06__rec_000981,rec_000981,uncertain,data/docling_uncertain_no_vlm_2026-07-08/markdown/full_2026_07_06_rec_000981.md,DNA language models are powerful predictors of genome-wide variant effects,10.1073/pnas.2311219120,EXCLUDE,EC2_no_text_component,none,adjudicator,"This is a primary DNA language model paper, but the provided sections only show nucleotide/DNA token modeling and variant scoring, not natural-language text. With no substantive text component or text-bio bridge, it is excluded under EC2.","""we used bare nucleotides as tokens""; ""masked language modeling task""; ""predict masked nucleotides conditioned on their local genomic context""; ""masked DNA sequence""; ""variant effect prediction""; ""pretrain a language model based on a convolutional neural network""; ""multispecies DNA Language Model""; ""trained on 8 reference genomes""; ""contextual embeddings""; ""score variants""",EC2_no_text_component,none,EC3_not_generative,mixed_signals
full_2026-07-06__rec_001161,full_2026-07-06__rec_001161,rec_001161,include,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_001161.md,Towards Applying Large Language Models to Complement Single-Cell Foundation Models,10.48550/arXiv.2507.10039,EXCLUDE,EC3_not_generative,mixed_signals,adjudicator,"This is a primary model paper on single-cell data, but the record supports classification/fusion rather than a generative text-bio model. The LLM text role is present in prompt-based cell classification and LLM-derived representations, but the candidate model is not described as generative.","""pass in the cell sentence ... instruct the model to output the most likely cell type""; ""leverages synergies between scGPT, and single-cell representations from LLMs""",none,text_component_unclear,application_wrapper,none
full_2026-07-06__rec_001519,full_2026-07-06__rec_001519,rec_001519,include,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_001519.md,BioGPT: A Generative Transformer-Based Framework for Personalized Genomic Medicine and Rare Disease Diagnosis,10.58496/mjaih/2025/015,INCLUDE,none,none,python_gate,All first-pass criteria were positive without unresolved uncertainty.,,none,none,none,none
full_2026-07-06__rec_001735,full_2026-07-06__rec_001735,rec_001735,include,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_001735.md,"Learning from Gene Names, Expression Values and Images: Contrastive Masked Text-Image Pretraining for Spatial Transcriptomics Representation Learning",10.48550/arXiv.2509.16892,UNCERTAIN,none,mixed_signals,adjudicator,"The record describes a new pretraining framework, CoMTIP, not a review, benchmark, or wrapper. It explicitly aligns histology images with gene-expression sentences in a shared latent space, but the provided sections do not describe a generative decoder or other generative mechanism.","""Contrastive Masked Text-Image Pretraining""; ""receives ... histology images ... together with corresponding collections of gene-expression sentences""; ""Image and text representations are aligned in a shared InfoNCE-optimised space""; ""Masked Feature Modeling""; ""text branch applies a scalable Gene-Text Encoder""; ""generalizable representations""; ""large-scale pre-training""; ""foundation_model_evidence"": ""yes""; ""first-pass architecture reviewer: generative_model_present=no""; ""first-pass scope reviewer: text_component_present=yes""; ""The framework receives ... gene-expression sentences""; ""The textual branch feeds the sentence collections""; ""enriching the gene token ... and the value token ...""; ""PAAT teaches the encoder to distinguish sentences that contain correct gene-value pairs""; ""Image and text representations are aligned""; ""shared latent space""; ""zero-shot potential""; ""pre-trained""; ""transfer ability""; ""generalizable representations""; ""large-scale pre-training""}]}】}#!/bin/final ിലുള്ള)}]}]}}] ૫",none,none,none,none
full_2026-07-06__rec_001858,full_2026-07-06__rec_001858,rec_001858,uncertain,data/docling_uncertain_no_vlm_2026-07-08/markdown/full_2026_07_06_rec_001858.md,Central Dogma Transformer: Towards Mechanism-Oriented AI for Cellular Understanding,10.48550/arXiv.2601.01089,EXCLUDE,EC2_no_text_component,none,adjudicator,"Primary model paper with DNA, RNA, and protein inputs, but the provided evidence only shows biological token/embedding modeling and cross-attention between biological modalities. No natural-language text component or generative mechanism is evidenced.",“Genes as tokens in a vocabulary”; “DNA-to-RNA attention ... RNA-to-Protein attention”; “producing a unified Virtual Cell Embedding”,EC2_no_text_component,none,EC3_not_generative,generative_status_unclear
full_2026-07-06__rec_002459,full_2026-07-06__rec_002459,rec_002459,include,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_002459.md,"Bio-xLSTM: Generative modeling, representation and in-context learning of biological and chemical sequences",10.48550/arXiv.2411.04165,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,none,none
full_2026-07-06__rec_002990,full_2026-07-06__rec_002990,rec_002990,uncertain,data/docling_uncertain_no_vlm_2026-07-08/markdown/full_2026_07_06_rec_002990.md,Enhancing recognition and interpretation of functional phenotypic sequences through fine-tuning pre-trained genomic models,10.1186/s12967-024-05567-z,EXCLUDE,EC2_no_text_component,none,adjudicator,"This is a primary study on fine-tuning pre-trained genomic models for DNA sequence classification and benchmarking. The evidence supports biological sequence modeling only; it does not show a natural-language text component, a text-bio bridge, or a generative mechanism.","“fine-tuning pre-trained genomic models like DNA_bert_6 and human_gpt2-v1” for “DNA sequence classification”; input is “6-mer strings” / “phenotype-related sequence data” processed into tokens, with no natural-language text descriptions or prompts described in the candidate model context. [not_assessed]",EC2_no_text_component,none,application_wrapper,none
full_2026-07-06__rec_003081,full_2026-07-06__rec_003081,rec_003081,include,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_003081.md,scMulan: a multitask generative pre-trained language model for single-cell analysis,,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,none,none
full_2026-07-06__rec_003227,full_2026-07-06__rec_003227,rec_003227,uncertain,data/docling_uncertain_chrome_remaining_no_vlm_2026-07-08/markdown/rec_003227_biorxiv_2024_05_08_593094v1_full.md,CELLama: cell embedding leveraging language model abilities for analyzing cell types and spatial relationship in tumor,,EXCLUDE,application_wrapper,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,application_wrapper,none,application_wrapper,none
full_2026-07-06__rec_003429,full_2026-07-06__rec_003429,rec_003429,include,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_003429.md,BOTANIC-0: a series of foundation models for plant genomic data,10.64898/2026.02.23.706817,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,none,none
full_2026-07-06__rec_003620,full_2026-07-06__rec_003620,rec_003620,uncertain,data/docling_uncertain_manual_downloads2_no_vlm_2026-07-08/markdown/rec_003620_st_align_multi_scale_image_gene_foundation_modeling.md,ST-Align: Multi-Scale Image-Gene Foundation Modeling for Spatial Transcriptomics via Spot-Niche Alignment,,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
july_update_2026-07-06__rec_000060,july_update_2026-07-06__rec_000060,rec_000060,include,data/docling_include_no_vlm_2026-07-09/markdown/july_update_2026_07_06_rec_000060.md,CellTosg2Sequence: A Unified Text-Omics-Signaling-Graph Large Language Model for Single-Cell Analysis,10.64898/2026.06.16.732397,INCLUDE,none,none,python_gate,All first-pass criteria were positive without unresolved uncertainty.,,none,none,none,none
june_update_2026-06-10__rec_000092,june_update_2026-06-10__rec_000092,rec_000092,include,data/docling_include_no_vlm_2026-07-09/markdown/june_update_2026_06_10_rec_000092.md,PlantGFM: A Genomic Foundation Model for Discovery and Creation of Plant Genes,10.1002/advs.75772,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,none,none
full_2026-07-06__rec_000060,full_2026-07-06__rec_000060,rec_000060,include,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000060.md,Query-driven generative AI synthesizes multi-modal spatial omics from histology.,10.64898/2025.12.11.693669,INCLUDE,none,none,python_gate,All first-pass criteria were positive without unresolved uncertainty.,,none,none,none,none
full_2026-07-06__rec_000619,full_2026-07-06__rec_000619,rec_000619,include,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000619.md,Large-scale multi-omic biosequence transformers for modeling protein–nucleic acid interactions,10.1371/journal.pone.0341501,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
full_2026-07-06__rec_001187,full_2026-07-06__rec_001187,rec_001187,uncertain,data/docling_uncertain_no_vlm_2026-07-08/markdown/full_2026_07_06_rec_001187.md,Precious3GPT: Multimodal Multi-Species Multi-Omics Multi-Tissue Transformer for Aging Research and Drug Discovery,10.1101/2024.07.25.605062,INCLUDE,none,none,python_gate,All first-pass criteria were positive without unresolved uncertainty.,,none,none,none,none
full_2026-07-06__rec_001218,full_2026-07-06__rec_001218,rec_001218,include,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_001218.md,Any-to-Any Learning in Computational Pathology via Triplet Multimodal Pretraining,10.48550/arXiv.2505.12711,UNCERTAIN,none,generative_status_unclear,adjudicator,"This is a primary tri-modal pretraining paper over WSIs, genomics, and pathology reports, with explicit tokenization of reports and modality alignment. The record mentions report generation, but it does not clearly specify a generative architecture, so generation remains unresolved.","“an any-to-any tri-modal pretraining framework that integrates WSIs, genomics, and pathology reports”; “tokenize R into a sequence”; “align the modalities effectively”",none,none,none,generative_status_unclear
full_2026-07-06__rec_001534,full_2026-07-06__rec_001534,rec_001534,include,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_001534.md,GENERator: A Long-Context Generative Genomic Foundation Model,10.48550/arXiv.2502.07272,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,none,none
full_2026-07-06__rec_001761,full_2026-07-06__rec_001761,rec_001761,include,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_001761.md,Generative design and construction of functional plasmids with a DNA language model,10.64898/2025.12.06.692736,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,none,none
full_2026-07-06__rec_001881,full_2026-07-06__rec_001881,rec_001881,uncertain,data/docling_uncertain_no_vlm_2026-07-08/markdown/full_2026_07_06_rec_001881.md,"End-to-end multitask learning, from protein language to protein features without alignments",10.1101/864405,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,none,none
full_2026-07-06__rec_002483,full_2026-07-06__rec_002483,rec_002483,include,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_002483.md,Generative single-cell transcriptomics via large language models,10.64898/2026.01.12.699186,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,none,none
full_2026-07-06__rec_003072,full_2026-07-06__rec_003072,rec_003072,uncertain,data/docling_uncertain_no_vlm_2026-07-08/markdown/full_2026_07_06_rec_003072.md,Pre-training of single-cell language models through genetic pathway learning,,EXCLUDE,EC2_no_text_component,none,adjudicator,"This is a primary single-cell model on scRNA-seq with pretraining and downstream transfer, but the provided evidence only shows gene/cell token modeling, not natural-language text. No explicit generative mechanism is described, so it is excluded for lacking a text component.","""represents gene information with a reduced token count""; ""progressively aggregates cell representations""; ""superior performance on various downstream tasks""",EC2_no_text_component,none,none,generative_status_unclear
full_2026-07-06__rec_003083,full_2026-07-06__rec_003083,rec_003083,include,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_003083.md,scWGBS-GPT: a foundation model for capturing long-range CPG dependencies in single-cell whole-genome bisulfite sequencing to enhance epigenetic analysis,,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,none,none
full_2026-07-06__rec_003466,full_2026-07-06__rec_003466,rec_003466,include,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_003466.md,ELISA: An Interpretable Hybrid Generative AI Agent for Expression-Grounded Discovery in Single-Cell Genomics,,EXCLUDE,application_wrapper,mixed_signals,adjudicator,"The record describes a hybrid retrieval/analysis system over scGPT and BioBERT embeddings with an LLM chat interface, which reads as a wrapper around existing models rather than a new multimodal generator. The title’s ""generative AI agent"" framing conflicts with the methods evidence, so the conservative call is application_wrapper.","""unifies scGPT expression embeddings with BioBERT-based semantic retrieval and LLM-mediated interpretation""; ""an LLM chat interface operating on a shared serialized PyTorch embedding file""; ""natural language concept""",application_wrapper,none,application_wrapper,mixed_signals
