record_id,study_id,model_id,model_name,title
full_2026-07-06__rec_000060,study_b4bb1defb3cb,model_ff0ac12f6b2a,TissueCraftAI,Query-driven generative AI synthesizes multi-modal spatial omics from histology.
full_2026-07-06__rec_000063,study_b53ceb5b4db2,model_df8ed6559ceb,TISSUENARRATOR,TISSUENARRATOR: Generative Modeling of Spatial Transcriptomics with Large Language Models.
full_2026-07-06__rec_000086,study_f6eff70c6863,model_f8e766fddf66,PROCYON,PROCYON: A multimodal foundation model for protein phenotypes.
full_2026-07-06__rec_000086,study_f6eff70c6863,model_b1f724b128da,PROCYON-SPLIT,PROCYON: A multimodal foundation model for protein phenotypes.
full_2026-07-06__rec_000090,study_c2885aa81441,model_79e042109d33,C2S-Scale,SCALING LARGE LANGUAGE MODELS FOR NEXT-GENERATION SINGLE-CELL ANALYSIS
full_2026-07-06__rec_000090,study_c2885aa81441,model_9ead93555f87,C2S-Scale perturbation model,SCALING LARGE LANGUAGE MODELS FOR NEXT-GENERATION SINGLE-CELL ANALYSIS
full_2026-07-06__rec_000771,study_35ae37a7f86c,model_6f7f8cee95d1,ChatNT,"A multimodal conversational agent for DNA, RNA and protein tasks"
full_2026-07-06__rec_000827,study_f500772cfe83,model_073c1a9ed6a3,Mixtral 8x7b,Multimodal learning enables chat-based exploration of single-cell data
full_2026-07-06__rec_000827,study_f500772cfe83,model_f1bf6497dcf0,Mistral 7B,Multimodal learning enables chat-based exploration of single-cell data
full_2026-07-06__rec_000827,study_f500772cfe83,model_36c6451d1b55,GPT-4o,Multimodal learning enables chat-based exploration of single-cell data
full_2026-07-06__rec_000827,study_f500772cfe83,model_2b474a3814ef,GPT-4,Multimodal learning enables chat-based exploration of single-cell data
full_2026-07-06__rec_000950,study_6a2c72fbcaf1,model_efc702564a41,Chroma,Illuminating protein space with a programmable generative model
full_2026-07-06__rec_001074,study_08046f30aead,model_9d05ddb97916,Qwen3,BIOREASON: Incentivizing Multimodal Biological Reasoning within a DNA-LLM Model
full_2026-07-06__rec_001074,study_08046f30aead,model_0e0c28b60ee7,BIOREASON,BIOREASON: Incentivizing Multimodal Biological Reasoning within a DNA-LLM Model
full_2026-07-06__rec_001126,study_9444a1483055,model_c0a097206f2c,CellHermes,Language may be all omics needs: Harmonizing multimodal data for omics understanding with CellHermes
full_2026-07-06__rec_001187,study_9645a7bdccf5,model_860d9511b312,P3GPT,Precious3GPT: Multimodal Multi-Species Multi-Omics Multi-Tissue Transformer for Aging Research and Drug Discovery
full_2026-07-06__rec_001187,study_9645a7bdccf5,model_0dc740f11cc3,CatBoost,Precious3GPT: Multimodal Multi-Species Multi-Omics Multi-Tissue Transformer for Aging Research and Drug Discovery
full_2026-07-06__rec_001200,study_ceeeabf3583a,model_d3d6352d5bcb,Shusi,Systematic discovery of single-cell protein networks in cancer with Shusi
full_2026-07-06__rec_001218,study_ea83dc2e6084,model_a45de7f446e9,ALTER,Any-to-Any Learning in Computational Pathology via Triplet Multimodal Pretraining
full_2026-07-06__rec_001277,study_55720b9d7702,model_5f2f0ba1126a,OKR-CELL,WITHDRAWN: OKR-Cell: Open World Knowledge Aided Single-Cell Foundation Model with Robust Cross-Modal Cell-Language Pre-training
full_2026-07-06__rec_001277,study_55720b9d7702,model_cc36a8d0a233,Deepseek-V3,WITHDRAWN: OKR-Cell: Open World Knowledge Aided Single-Cell Foundation Model with Robust Cross-Modal Cell-Language Pre-training
full_2026-07-06__rec_001277,study_55720b9d7702,model_422e09e03da5,Clinical-LongFormer,WITHDRAWN: OKR-Cell: Open World Knowledge Aided Single-Cell Foundation Model with Robust Cross-Modal Cell-Language Pre-training
full_2026-07-06__rec_001319,study_40ede81c16fd,model_867ffa020512,InstructCell,A Multi-Modal AI Copilot for Single-Cell Analysis with Instruction Following
full_2026-07-06__rec_001343,study_7bc6678864bf,model_2a4d0a37a0ad,scDiff,A General Single-Cell Analysis Framework via Conditional Diffusion Generative Models
full_2026-07-06__rec_001352,study_c985a0111a3c,model_23ffab302d6b,Med-PaLM M,Towards Generalist Biomedical AI
full_2026-07-06__rec_001381,study_d0e026b8e9c9,model_58c5ce11b66a,scGPT,Language-Enhanced Representation Learning for Single-Cell Transcriptomics
full_2026-07-06__rec_001381,study_d0e026b8e9c9,model_0ea0b64c5788,LLaMA-2 7B,Language-Enhanced Representation Learning for Single-Cell Transcriptomics
full_2026-07-06__rec_001381,study_d0e026b8e9c9,model_ffaa8b52273c,scMMGPT,Language-Enhanced Representation Learning for Single-Cell Transcriptomics
full_2026-07-06__rec_001381,study_d0e026b8e9c9,model_b4a92e5e540d,text LLM,Language-Enhanced Representation Learning for Single-Cell Transcriptomics
full_2026-07-06__rec_001519,study_ff0e5e9d25b9,model_5421186d4cbe,BioGPT,BioGPT: A Generative Transformer-Based Framework for Personalized Genomic Medicine and Rare Disease Diagnosis
full_2026-07-06__rec_001617,study_4f442dcf4ed4,model_b47a3fca0d58,OpenAI's o1,Cell-o1: Training LLMs to Solve Single-Cell Reasoning Puzzles with Reinforcement Learning
full_2026-07-06__rec_001617,study_4f442dcf4ed4,model_a0f67b1880c7,Cell-o1,Cell-o1: Training LLMs to Solve Single-Cell Reasoning Puzzles with Reinforcement Learning
full_2026-07-06__rec_001617,study_4f442dcf4ed4,model_61aa6fc79089,Llama3.1-8B-Instruct,Cell-o1: Training LLMs to Solve Single-Cell Reasoning Puzzles with Reinforcement Learning
full_2026-07-06__rec_001617,study_4f442dcf4ed4,model_ca02cecd45be,Qwen2.5-7B-Instruct,Cell-o1: Training LLMs to Solve Single-Cell Reasoning Puzzles with Reinforcement Learning
full_2026-07-06__rec_001617,study_4f442dcf4ed4,model_a62125696693,GPT-4o-mini,Cell-o1: Training LLMs to Solve Single-Cell Reasoning Puzzles with Reinforcement Learning
full_2026-07-06__rec_001617,study_4f442dcf4ed4,model_cabb39a8d967,GPT-4o,Cell-o1: Training LLMs to Solve Single-Cell Reasoning Puzzles with Reinforcement Learning
full_2026-07-06__rec_001617,study_4f442dcf4ed4,model_c47c8bf166d6,o3-mini,Cell-o1: Training LLMs to Solve Single-Cell Reasoning Puzzles with Reinforcement Learning
full_2026-07-06__rec_001617,study_4f442dcf4ed4,model_a95b39ba55bc,o1,Cell-o1: Training LLMs to Solve Single-Cell Reasoning Puzzles with Reinforcement Learning
full_2026-07-06__rec_001687,study_d75a5cb4cc6a,model_fcda05dbbcd5,CaLMFlow,CaLMFlow: Volterra Flow Matching using Causal Language Models
full_2026-07-06__rec_001773,study_c438b06dcc03,model_b4d1be45d2bb,Omni-DNA,Omni-DNA: A Unified Genomic Foundation Model for Cross-Modal and Multi-Task Learning
full_2026-07-06__rec_001830,study_4162fc52fa19,model_1bf0ccb8259f,OpticalDNA,Rethinking Genomic Modeling Through Optical Character Recognition
full_2026-07-06__rec_001838,study_4250fe0b5a77,model_9c283f71363e,Cell2Text-Llama-1B-LoRA,Cell2Text: Multimodal LLM for Generating Single-Cell Descriptions from RNA-Seq Data
