record_id,candidate_id,source_corpus,title,status,section_count,missing_targets,rejected_full_document_sections,data_source_headings,input_representation_headings,data_source_chars,input_representation_chars,selected_full_text_sections_chars,provenance_unresolved,graph_summary
full_2026-07-06__rec_000003,full_2026-07-06__rec_000003,include,Short-Context Regulatory DNA Language Models with Motif-Discovery Regularization.,ok,2,,0,4 Methods > 4.1 Pretraining Data,1 Introduction,867,4890,5846,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_00/full_2026-07-06__rec_000003/screening_evidence_summary.json
full_2026-07-06__rec_000607,full_2026-07-06__rec_000607,include,Modeling aspects of the language of life through transfer-learning protein sequences.,ok,1,,0,Methods > Data,,5779,0,5831,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_00/full_2026-07-06__rec_000607/screening_evidence_summary.json
full_2026-07-06__rec_000981,full_2026-07-06__rec_000981,uncertain,DNA language models are powerful predictors of genome-wide variant effects,ok,2,,0,DNA language models are powerful predictors of genome-wide variant effects > Results,Materials and Methods,14798,20413,35359,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_00/full_2026-07-06__rec_000981/screening_evidence_summary.json
full_2026-07-06__rec_001161,full_2026-07-06__rec_001161,include,Towards Applying Large Language Models to Complement Single-Cell Foundation Models,ok,2,,0,2 Related work > 2.2 Single-cell foundation models,"A Technical Appendices and Supplementary Material > A.3 Generative LLM prompts, and additional results > A.3.1 Evaluating the performance of generative LLMs for zero-shot cell type classification",448,3204,3940,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_00/full_2026-07-06__rec_001161/screening_evidence_summary.json
full_2026-07-06__rec_001519,full_2026-07-06__rec_001519,include,BioGPT: A Generative Transformer-Based Framework for Personalized Genomic Medicine and Rare Disease Diagnosis,ok,2,,0,Research Article > A B S T R A C T,3. PROPOSED SYSTEM: BIOGPT FRAMEWORK > 3.1 System Overview,1404,1340,2879,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_00/full_2026-07-06__rec_001519/screening_evidence_summary.json
full_2026-07-06__rec_001735,full_2026-07-06__rec_001735,include,"Learning from Gene Names, Expression Values and Images: Contrastive Masked Text-Image Pretraining for Spatial Transcriptomics Representation Learning",ok,2,,0,"LEARNING FROM GENE NAMES, EXPRESSION VALUES AND IMAGES: Contrastive Masked Text-Image Pretraining for Spatial Transcriptomics Representation Learning > Experiments > Tasks","LEARNING FROM GENE NAMES, EXPRESSION VALUES AND IMAGES: Contrastive Masked Text-Image Pretraining for Spatial Transcriptomics Representation Learning > Method > Overall Pipeline of CoMTIP",2144,2136,4681,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_00/full_2026-07-06__rec_001735/screening_evidence_summary.json
full_2026-07-06__rec_001858,full_2026-07-06__rec_001858,uncertain,Central Dogma Transformer: Towards Mechanism-Oriented AI for Cellular Understanding,ok,1,,0,7. Methods > 7.2 Foundation Model Embeddings,,2342,0,2424,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_00/full_2026-07-06__rec_001858/screening_evidence_summary.json
full_2026-07-06__rec_002459,full_2026-07-06__rec_002459,include,"Bio-xLSTM: Generative modeling, representation and in-context learning of biological and chemical sequences",ok,1,,0,C DNA-XLSTM: DETAILS AND ADDITIONAL RESULTS > C.1 PRE-TRAINING,,2751,0,2851,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_00/full_2026-07-06__rec_002459/screening_evidence_summary.json
full_2026-07-06__rec_002990,full_2026-07-06__rec_002990,uncertain,Enhancing recognition and interpretation of functional phenotypic sequences through fine-tuning pre-trained genomic models,ok,2,,0,Enhancing recognition and interpretation of functional phenotypic sequences through fine-tuning pre-trained genomic models > Background,Enhancing recognition and interpretation of functional phenotypic sequences through fine-tuning pre-trained genomic models > Binary classification of functional phenotypic sequences,4632,1581,6572,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_00/full_2026-07-06__rec_002990/screening_evidence_summary.json
full_2026-07-06__rec_003081,full_2026-07-06__rec_003081,include,scMulan: a multitask generative pre-trained language model for single-cell analysis,ok,2,,0,Methods > hECA-10M dataset for pre-training and validation,Results > Overview of scMulan,736,8097,8963,0,data/docling_graph_screening_evidence_full_2026-07-10_gpt54mini_direct_nolimits_16shards/shard_00/full_2026-07-06__rec_003081/screening_evidence_summary.json
