candidate_id,source_run,record_id,decision,status,doi,title,folder,attempt_count
full_2026-07-06__rec_000003,full_2026-07-06,rec_000003,INCLUDE,non_pdf_full_text_downloaded,10.64898/2026.02.05.703637,Short-Context Regulatory DNA Language Models with Motif-Discovery Regularization.,data/full_text_include_missing_retry_2026-07-09/pass1_existing_downloader/full_2026-07-06__rec_000003__Short-Context_Regulatory_DNA_Language_Models_with_Motif-Discovery_Regu,20
full_2026-07-06__rec_000060,full_2026-07-06,rec_000060,INCLUDE,non_pdf_full_text_downloaded,10.64898/2025.12.11.693669,Query-driven generative AI synthesizes multi-modal spatial omics from histology.,data/full_text_include_missing_retry_2026-07-09/pass1_existing_downloader/full_2026-07-06__rec_000060__Query-driven_generative_AI_synthesizes_multi-modal_spatial_omics_from_,19
full_2026-07-06__rec_000063,full_2026-07-06,rec_000063,INCLUDE,pdf_downloaded,10.1101/2025.11.24.690325,TissueNarrator: Generative Modeling of Spatial Transcriptomics with Large Language Models.,data/full_text_include_missing_retry_2026-07-09/pass1_existing_downloader/full_2026-07-06__rec_000063__TissueNarrator_Generative_Modeling_of_Spatial_Transcriptomics_with_Lar,16
full_2026-07-06__rec_000086,full_2026-07-06,rec_000086,INCLUDE,non_pdf_full_text_downloaded,10.1101/2024.12.10.627665,ProCyon: A multimodal foundation model for protein phenotypes.,data/full_text_include_missing_retry_2026-07-09/pass1_existing_downloader/full_2026-07-06__rec_000086__ProCyon_A_multimodal_foundation_model_for_protein_phenotypes.,19
full_2026-07-06__rec_000090,full_2026-07-06,rec_000090,INCLUDE,pdf_downloaded,10.1101/2025.04.14.648850,Scaling Large Language Models for Next-Generation Single-Cell Analysis.,data/full_text_include_missing_retry_2026-07-09/pass1_existing_downloader/full_2026-07-06__rec_000090__Scaling_Large_Language_Models_for_Next-Generation_Single-Cell_Analysis,12
full_2026-07-06__rec_000160,full_2026-07-06,rec_000160,INCLUDE,pdf_downloaded,10.1101/2025.08.27.672609,PlantCAD2: A Long-Context DNA Language Model for Cross-Species Functional Annotation in Angiosperms.,data/full_text_include_missing_retry_2026-07-09/pass1_existing_downloader/full_2026-07-06__rec_000160__PlantCAD2_A_Long-Context_DNA_Language_Model_for_Cross-Species_Function,16
full_2026-07-06__rec_001263,full_2026-07-06,rec_001263,INCLUDE,pdf_downloaded,10.1101/2024.10.10.617568,A Suite of Foundation Models Captures the Contextual Interplay Between Codons,data/full_text_include_missing_retry_2026-07-09/pass1_existing_downloader/full_2026-07-06__rec_001263__A_Suite_of_Foundation_Models_Captures_the_Contextual_Interplay_Between,18
full_2026-07-06__rec_001546,full_2026-07-06,rec_001546,INCLUDE,no_full_text_found,10.1158/1538-7445.genfunc25-b041,Abstract B041: Predicting T-cell receptor specificity and phenotype using transfer learning models,data/full_text_include_missing_retry_2026-07-09/pass1_existing_downloader/full_2026-07-06__rec_001546__Abstract_B041_Predicting_T-cell_receptor_specificity_and_phenotype_usi,13
full_2026-07-06__rec_001633,full_2026-07-06,rec_001633,INCLUDE,pdf_downloaded,10.1101/2022.10.10.511571,GenSLMs: Genome-scale language models reveal SARS-CoV-2 evolutionary dynamics,data/full_text_include_missing_retry_2026-07-09/pass1_existing_downloader/full_2026-07-06__rec_001633__GenSLMs_Genome-scale_language_models_reveal_SARS-CoV-2_evolutionary_dy,24
full_2026-07-06__rec_002120,full_2026-07-06,rec_002120,INCLUDE,pdf_downloaded,10.1101/2025.05.29.656907,Extending Protein Language Models to a Viral Genomic Scale Using Biologically Induced Sparse Attention,data/full_text_include_missing_retry_2026-07-09/pass1_existing_downloader/full_2026-07-06__rec_002120__Extending_Protein_Language_Models_to_a_Viral_Genomic_Scale_Using_Biolo,16
full_2026-07-06__rec_002283,full_2026-07-06,rec_002283,INCLUDE,no_full_text_found,10.1158/1538-7445.genfunc25-b037,Abstract B037: Revolutionizing stem cell classification and genotypic profiling with large language models: scGPT-driven advances in single-cell genomics,data/full_text_include_missing_retry_2026-07-09/pass1_existing_downloader/full_2026-07-06__rec_002283__Abstract_B037_Revolutionizing_stem_cell_classification_and_genotypic_p,13
full_2026-07-06__rec_002517,full_2026-07-06,rec_002517,INCLUDE,non_pdf_full_text_downloaded,10.48550/arXiv.2402.08303,ChatCell: Facilitating Single-Cell Analysis with Natural Language,data/full_text_include_missing_retry_2026-07-09/pass1_existing_downloader/full_2026-07-06__rec_002517__ChatCell_Facilitating_Single-Cell_Analysis_with_Natural_Language,19
full_2026-07-06__rec_002581,full_2026-07-06,rec_002581,INCLUDE,pdf_downloaded,10.1101/2025.05.20.655112,CellReasoner: A reasoning-enhanced large language model for cell type annotation,data/full_text_include_missing_retry_2026-07-09/pass1_existing_downloader/full_2026-07-06__rec_002581__CellReasoner_A_reasoning-enhanced_large_language_model_for_cell_type_a,18
full_2026-07-06__rec_003081,full_2026-07-06,rec_003081,INCLUDE,non_pdf_full_text_downloaded,,scMulan: a multitask generative pre-trained language model for single-cell analysis,data/full_text_include_missing_retry_2026-07-09/pass1_existing_downloader/full_2026-07-06__rec_003081__scMulan_a_multitask_generative_pre-trained_language_model_for_single-c,9
full_2026-07-06__rec_003121,full_2026-07-06,rec_003121,INCLUDE,no_full_text_found,,A long range foundation model for zero-shot predictions in single-cell and spatial transcriptomics data,data/full_text_include_missing_retry_2026-07-09/pass1_existing_downloader/full_2026-07-06__rec_003121__A_long_range_foundation_model_for_zero-shot_predictions_in_single-cell,5
full_2026-07-06__rec_003351,full_2026-07-06,rec_003351,INCLUDE,no_full_text_found,,scgpt-spatial: Continual pretraining of single-cell foundation model for spatial transcriptomics. bioRxiv,data/full_text_include_missing_retry_2026-07-09/pass1_existing_downloader/full_2026-07-06__rec_003351__scgpt-spatial_Continual_pretraining_of_single-cell_foundation_model_fo,9
full_2026-07-06__rec_003554,full_2026-07-06,rec_003554,INCLUDE,no_full_text_found,10.1158/1538-7445.am2026-2754,Abstract 2754: VGL: Vision-Gene-Language multimodal LLM integrating histopathology and gene expression for cell type classification in lung cancer.,data/full_text_include_missing_retry_2026-07-09/pass1_existing_downloader/full_2026-07-06__rec_003554__Abstract_2754_VGL_Vision-Gene-Language_multimodal_LLM_integrating_hist,13
full_2026-07-06__rec_003609,full_2026-07-06,rec_003609,INCLUDE,non_pdf_full_text_downloaded,,evoCancerGPT: Generating Zero-Shot Single-Cell and Single-Sample Cancer Progression Through Transfer Learning,data/full_text_include_missing_retry_2026-07-09/pass1_existing_downloader/full_2026-07-06__rec_003609__evoCancerGPT_Generating_Zero-Shot_Single-Cell_and_Single-Sample_Cancer,10
full_2026-07-06__rec_003629,full_2026-07-06,rec_003629,INCLUDE,no_full_text_found,,Phenotype-Guided In Silico Molecular Generation Using Large Language Models,data/full_text_include_missing_retry_2026-07-09/pass1_existing_downloader/full_2026-07-06__rec_003629__Phenotype-Guided_In_Silico_Molecular_Generation_Using_Large_Language_M,10
full_2026-07-06__rec_003641,full_2026-07-06,rec_003641,INCLUDE,no_full_text_found,,Generating and decoding methylated DNA with a Human Epigenetic Foundation Model,data/full_text_include_missing_retry_2026-07-09/pass1_existing_downloader/full_2026-07-06__rec_003641__Generating_and_decoding_methylated_DNA_with_a_Human_Epigenetic_Foundat,5
full_2026-07-06__rec_003726,full_2026-07-06,rec_003726,INCLUDE,no_full_text_found,,Temporal AI model predicts drivers of cell state trajectories across human aging,data/full_text_include_missing_retry_2026-07-09/pass1_existing_downloader/full_2026-07-06__rec_003726__Temporal_AI_model_predicts_drivers_of_cell_state_trajectories_across_h,8
full_2026-07-06__rec_003902,full_2026-07-06,rec_003902,INCLUDE,no_full_text_found,,CellSwarm: LLM-Driven Cell Agents Recapitulate Tumor Microenvironment Dynamics and Sense Indirect Genetic Perturbations,data/full_text_include_missing_retry_2026-07-09/pass1_existing_downloader/full_2026-07-06__rec_003902__CellSwarm_LLM-Driven_Cell_Agents_Recapitulate_Tumor_Microenvironment_D,10
full_2026-07-06__rec_003963,full_2026-07-06,rec_003963,INCLUDE,no_full_text_found,,Phenotypic Bioactivity Prediction as Open-set Biological Assay Querying,data/full_text_include_missing_retry_2026-07-09/pass1_existing_downloader/full_2026-07-06__rec_003963__Phenotypic_Bioactivity_Prediction_as_Open-set_Biological_Assay_Queryin,9
june_update_2026-06-10__rec_000092,june_update_2026-06-10,rec_000092,INCLUDE,non_pdf_full_text_downloaded,10.1002/advs.75772,PlantGFM: A Genomic Foundation Model for Discovery and Creation of Plant Genes,data/full_text_include_missing_retry_2026-07-09/pass1_existing_downloader/june_update_2026-06-10__rec_000092__PlantGFM_A_Genomic_Foundation_Model_for_Discovery_and_Creation_of_Plan,15
june_update_2026-06-10__rec_000308,june_update_2026-06-10,rec_000308,INCLUDE,pdf_downloaded,10.1093/bib/bbag079,MT-ConBiFormer-GPT: multi-target molecular generation for low-data drug discovery via a contrastive BiFormer-GPT architecture and curriculum learning with cross …,data/full_text_include_missing_retry_2026-07-09/pass1_existing_downloader/june_update_2026-06-10__rec_000308__MT-ConBiFormer-GPT_multi-target_molecular_generation_for_low-data_drug,18
