candidate_id,source_record_id,title,doi,source_document,source_document_sha256,source_document_kind,source_pdf,profile_status,document_identity_status,document_identity_evidence,profile_kind,docling_json,docling_json_sha256,markdown,markdown_sha256,figures_manifest,figures_manifest_sha256,figure_count,picture_description_count,scientific_figure_count,non_scientific_image_count,chunks,chunks_status,picture_description_backend,picture_description_model,picture_description_area_threshold,picture_description_max_tokens,picture_description_scale
update_2026-08-09__rec_000001,rec_000001,PlantCAD2: A DNA foundation model for interpreting genomes across flowering plants.,10.1016/j.xgen.2026.101329,/Users/bogdan.didenko/lpnu/review/data/living_catalog_updates/update_2026-08-09/05_fulltext/workers/worker_00/update_2026-08-09__rec_000001__PlantCAD2_A_DNA_foundation_model_for_interpreting_genomes_across_flowe/full_text_05_openalex_title_content_pdf.pdf,7ad86f33d5d1812e5d3bd6109758c69d85e6045be940922f767766f99492f6b0,pdf,/Users/bogdan.didenko/lpnu/review/data/living_catalog_updates/update_2026-08-09/05_fulltext/workers/worker_00/update_2026-08-09__rec_000001__PlantCAD2_A_DNA_foundation_model_for_interpreting_genomes_across_flowe/full_text_05_openalex_title_content_pdf.pdf,complete,verified,"{""status"": ""verified"", ""doi_match"": false, ""exact_normalized_title_in_first_20000_chars"": false, ""best_heading_title_similarity"": 0.443243, ""title_token_coverage_in_first_20000_chars"": 1.0, ""front_heading_candidates"": [""PlantCAD2: A Long-Context DNA Language 1 Model  for  Cross-Species  Functional  Annotation 2 in Angiosperms 3"", ""Abstract"", ""Introduction"", ""Results""]}",native_docling_full_conversion,data/living_catalog_updates/update_2026-08-09/06_docling_screening/profiles/documents/update_2026_08_09_rec_000001_504e0db4e1fd.docling.json,c4ba931c02f59c36e586e2115f4e4421239a577abe93ac37570c81081c79e18a,data/living_catalog_updates/update_2026-08-09/06_docling_screening/profiles/markdown/update_2026_08_09_rec_000001_504e0db4e1fd.md,bd6210bf9ad95c15c19c8cefe133e48f251bb418b2c90e04b1e8042464cc3b41,data/living_catalog_updates/update_2026-08-09/06_docling_screening/profiles/figures/update_2026_08_09_rec_000001_504e0db4e1fd/figures_manifest.json,e06e18f8386e720f91eeb7742d78401029cbe7c7a77e9c50272c86cd9b0ae68a,12,0,0,0,,not_generated: no-limit VLM profile intentionally skips HybridChunker; derive a RAG chunk view separately when a retrieval token budget is explicitly chosen,none,gpt-5.5,0.0,,2
update_2026-08-09__rec_000003,rec_000003,GEM-GPT Enables Personalized Cell Type-Resolved Therapeutic Design for Systems Pharmacology.,10.64898/2026.07.17.739269,/Users/bogdan.didenko/lpnu/review/data/living_catalog_updates/update_2026-08-09/05_fulltext/workers/worker_00/update_2026-08-09__rec_000003__GEM-GPT_Enables_Personalized_Cell_Type-Resolved_Therapeutic_Design_for/full_text_05_openalex_content_pdf.pdf,ad7eec31489aa0d286722873ed130563d25256f35844c9c9abf35d8c19830cec,pdf,/Users/bogdan.didenko/lpnu/review/data/living_catalog_updates/update_2026-08-09/05_fulltext/workers/worker_00/update_2026-08-09__rec_000003__GEM-GPT_Enables_Personalized_Cell_Type-Resolved_Therapeutic_Design_for/full_text_05_openalex_content_pdf.pdf,complete,verified,"{""status"": ""verified"", ""doi_match"": false, ""exact_normalized_title_in_first_20000_chars"": true, ""best_heading_title_similarity"": 1.0, ""title_token_coverage_in_first_20000_chars"": 1.0, ""front_heading_candidates"": [""GEM-GPT Enables Personalized Cell Type-Resolved Therapeutic Design for Systems Pharmacology"", ""Abstract"", ""1 Introduction"", ""2 Results"", ""2.1 Overview of GEM-GPT"", ""2.2 GEM-GPT enables cell type-specific hit-like molecule generation from gene expression profiles across seen and unseen cell lines""]}",native_docling_full_conversion,data/living_catalog_updates/update_2026-08-09/06_docling_screening/profiles/documents/update_2026_08_09_rec_000003_7190b7bf028f.docling.json,ca4f7a65fdc53f419118512cf81cc67fcd636e47f93f0e026d002f564e5d1a97,data/living_catalog_updates/update_2026-08-09/06_docling_screening/profiles/markdown/update_2026_08_09_rec_000003_7190b7bf028f.md,8624c7a7b45c92d4f034ee53954119f74dee785a03c448cd447c6580c3ff106f,data/living_catalog_updates/update_2026-08-09/06_docling_screening/profiles/figures/update_2026_08_09_rec_000003_7190b7bf028f/figures_manifest.json,4353d1fd28b8f7d47cdfaf052857460b9fc881a425b4c867729810f31fded5c4,4,0,0,0,,not_generated: no-limit VLM profile intentionally skips HybridChunker; derive a RAG chunk view separately when a retrieval token budget is explicitly chosen,none,gpt-5.5,0.0,,2
update_2026-08-09__rec_000025,rec_000025,scDifformer: diffusion-based post-training for virtual cell modeling across large-scale single-cell data,10.1093/nar/gkag706,/Users/bogdan.didenko/lpnu/review/data/living_catalog_updates/update_2026-08-09/05_fulltext/workers/worker_01/update_2026-08-09__rec_000025__scDifformer_diffusion-based_post-training_for_virtual_cell_modeling_ac/full_text_03_openalex_location_landing_page.html,e8a90c75702b475a9e7aaf0da0d7f441ecf021926551b5fbb02673ff02f0359a,html,,complete,verified,"{""status"": ""verified"", ""doi_match"": true, ""exact_normalized_title_in_first_20000_chars"": true, ""best_heading_title_similarity"": 1.0, ""title_token_coverage_in_first_20000_chars"": 1.0, ""front_heading_candidates"": [""scDifformer: diffusion-based post-training for virtual cell modeling across large-scale single-cell data"", ""Abstract"", ""Graphical Abstract"", ""Introduction"", ""Materials and methods"", ""Standardizing pre-training corpus for accurate transcriptomic profiling"", ""Three-stage training paradigm of scDifformer"", ""scDifformer architecture and pre-training"", ""Post-training of scDifformer""]}",native_docling_full_conversion,data/living_catalog_updates/update_2026-08-09/06_docling_screening/profiles/documents/update_2026_08_09_rec_000025_4e38718c00c4.docling.json,89aaaa76e36555e8869f77c46022377a3f049f044b517be04dc1d5d8d61fcb67,data/living_catalog_updates/update_2026-08-09/06_docling_screening/profiles/markdown/update_2026_08_09_rec_000025_4e38718c00c4.md,81ea85f6f6d6d7216b008f86b0ea73bfb7addbc101165bea96019cba4ac4ecca,data/living_catalog_updates/update_2026-08-09/06_docling_screening/profiles/figures/update_2026_08_09_rec_000025_4e38718c00c4/figures_manifest.json,85e9d5f31cbd60d064b433af600ab9c0ded70f4a92ef7db1d7d07a41e413e764,52,0,0,0,,not_generated: no-limit VLM profile intentionally skips HybridChunker; derive a RAG chunk view separately when a retrieval token budget is explicitly chosen,none,gpt-5.5,0.0,,2
update_2026-08-09__rec_000039,rec_000039,Lineage-Independent Structural Risk Detection in SARS- CoV-2 Spike Protein via Zero-Shot Protein Language Modeling,10.5281/zenodo.21381359,/Users/bogdan.didenko/lpnu/review/data/living_catalog_updates/update_2026-08-09/05_fulltext/workers/worker_01/update_2026-08-09__rec_000039__Lineage-Independent_Structural_Risk_Detection_in_SARS-_CoV-2_Spike_Pro/full_text_02_landing_pdf_link.pdf,b6aec85291a2aa9b78dc28b0ebfa9efdc30c7f16674b4ad005c706ce75c01b1d,pdf,/Users/bogdan.didenko/lpnu/review/data/living_catalog_updates/update_2026-08-09/05_fulltext/workers/worker_01/update_2026-08-09__rec_000039__Lineage-Independent_Structural_Risk_Detection_in_SARS-_CoV-2_Spike_Pro/full_text_02_landing_pdf_link.pdf,complete,verified,"{""status"": ""verified"", ""doi_match"": false, ""exact_normalized_title_in_first_20000_chars"": false, ""best_heading_title_similarity"": 0.995556, ""title_token_coverage_in_first_20000_chars"": 1.0, ""front_heading_candidates"": [""Lineage-Independent Structural Risk Detection in SARSCoV-2 Spike Protein via Zero-Shot Protein Language Modeling"", ""Richard Armuelles"", ""Abstract"", ""1. Introduction"", ""1.1 The Problem: The High Cost of Reactive Surveillance"", ""1.2 The Opportunity: Structural Biology as Early Warning"", ""2. Methods"", ""2.1 System Architecture"", ""2.2 Sequence Ingestion and Quality Control"", ""2.3 Biological Coordinate Anchoring"", ""2.4 Aggression Score"", ""2.4.1 Aggression Score Formulation"", ""Where:"", ""2.4.2 Biological Zone Classification"", ""Table 1. Biological zone weighting coefficients as implemented in the current pipeline."", ""2.5 Evolutionary Forecasting"", ""2.5.1 Rationale: From Classification to Trajectory Projection"", ""2.5.2 Methodology"", ""2.5.3 The \""Clean-Context\"" Exclusion Protocol"", ""2.6 Validation Dataset""]}",native_docling_full_conversion,data/living_catalog_updates/update_2026-08-09/06_docling_screening/profiles/documents/update_2026_08_09_rec_000039_9faa86d20831.docling.json,1a03ff5523ecdf58e78782deeb0c546689910859bf3b566236a738f69cb2e7f3,data/living_catalog_updates/update_2026-08-09/06_docling_screening/profiles/markdown/update_2026_08_09_rec_000039_9faa86d20831.md,555bf5665ddc5dea985c0323dbda63a3cadeee780b68113549f81d12c5d195a8,data/living_catalog_updates/update_2026-08-09/06_docling_screening/profiles/figures/update_2026_08_09_rec_000039_9faa86d20831/figures_manifest.json,8fac73c4737038a72218cc4c9da7a1f639320b92262d4654e4206e4c628adc62,1,0,0,0,,not_generated: no-limit VLM profile intentionally skips HybridChunker; derive a RAG chunk view separately when a retrieval token budget is explicitly chosen,none,gpt-5.5,0.0,,2
update_2026-08-09__rec_000076,rec_000076,Miniaturizing and modifying natural proteins with Raygun,10.1038/s41586-026-10842-8,/Users/bogdan.didenko/lpnu/review/data/living_catalog_updates/update_2026-08-09/05_fulltext/workers/worker_02/update_2026-08-09__rec_000076__Miniaturizing_and_modifying_natural_proteins_with_Raygun/full_text_01_openalex_landing_page_url.html,e2c93368a564cd2ceb2550c59fe12a09417fa2d2291f3c822a3749690c9f6260,html,,complete,verified,"{""status"": ""verified"", ""doi_match"": true, ""exact_normalized_title_in_first_20000_chars"": true, ""best_heading_title_similarity"": 1.0, ""title_token_coverage_in_first_20000_chars"": 1.0, ""front_heading_candidates"": [""Miniaturizing and modifying natural proteins with Raygun"", ""Abstract"", ""Similar content being viewed by others"", ""[Learning functional properties of proteins with language models](https://www.nature.com/articles/s42256-022-00457-9?fromPaywallRec=false)"", ""[Large language models generate functional protein sequences across diverse families](https://www.nature.com/articles/s41587-022-01618-2?fromPaywallRec=false)"", ""[Protein engineering using variational free energy approximation](https://www.nature.com/articles/s41467-024-54814-w?fromPaywallRec=false)"", ""Explore related subjects"", ""Main"", ""Proteins as probability distributions"", ""The Raygun architecture"", ""Structure preservation across sizes""]}",native_docling_full_conversion,data/living_catalog_updates/update_2026-08-09/06_docling_screening/profiles/documents/update_2026_08_09_rec_000076_7f0f74d0e84a.docling.json,f371cedc68eba38ae511c96ea1984b5f210b9e01bd126eba07ff33cad36e82c9,data/living_catalog_updates/update_2026-08-09/06_docling_screening/profiles/markdown/update_2026_08_09_rec_000076_7f0f74d0e84a.md,1475d69879583ce35267800d3ef7ead1443751e0469085a2bb7094c0bdeb0545,data/living_catalog_updates/update_2026-08-09/06_docling_screening/profiles/figures/update_2026_08_09_rec_000076_7f0f74d0e84a/figures_manifest.json,39ed6f574d656988eb7f5ff6a7e9afdb27111b83e56da8fefda74aa46f94837f,11,0,0,0,,not_generated: no-limit VLM profile intentionally skips HybridChunker; derive a RAG chunk view separately when a retrieval token budget is explicitly chosen,none,gpt-5.5,0.0,,2
update_2026-08-09__rec_000082,rec_000082,Unify learns cellular evolution with universal multimodal embeddings,10.1038/s41467-026-76230-y,/Users/bogdan.didenko/lpnu/review/data/living_catalog_updates/update_2026-08-09/05_fulltext/workers/worker_02/update_2026-08-09__rec_000082__Unify_learns_cellular_evolution_with_universal_multimodal_embeddings/full_text_01_openalex_landing_page_url.html,2798f6d8326817e7d12864599d07c02ddecbda084a69336a9dacd4914c7586a1,html,,complete,verified,"{""status"": ""verified"", ""doi_match"": true, ""exact_normalized_title_in_first_20000_chars"": true, ""best_heading_title_similarity"": 1.0, ""title_token_coverage_in_first_20000_chars"": 1.0, ""front_heading_candidates"": [""Unify learns cellular evolution with universal multimodal embeddings"", ""Abstract"", ""Explore related subjects"", ""Acknowledgements"", ""Funding"", ""Author information"", ""Authors and Affiliations"", ""Corresponding authors"", ""Ethics declarations"", ""Competing interests"", ""Additional information"", ""Supplementary information"", ""[Supplementary Information (download PDF )](https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41467-026-76230-y/MediaObjects/41467_2026_76230_MOESM1_ESM.pdf)"", ""[Peer Review file (download PDF )](https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41467-026-76230-y/MediaObjects/41467_2026_76230_MOESM2_ESM.pdf)"", ""[Description of Additional Supplementary Files (download PDF )](https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41467-026-76230-y/MediaObjects/41467_2026_76230_MOESM3_ESM.pdf)"", ""[Supplementary Data 1 (download XLSX )](https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41467-026-76230-y/MediaObjects/41467_2026_76230_MOESM4_ESM.xlsx)"", ""[Supplementary Data 2 (download XLSX )](https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41467-026-76230-y/MediaObjects/41467_2026_76230_MOESM5_ESM.xlsx)"", ""[Supplementary Data 3 (download XLSX )](https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41467-026-76230-y/MediaObjects/41467_2026_76230_MOESM6_ESM.xlsx)"", ""[Supplementary Data 4 (download XLSX )](https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41467-026-76230-y/MediaObjects/41467_2026_76230_MOESM7_ESM.xlsx)"", ""[Supplementary Data 5 (download XLSX )](https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41467-026-76230-y/MediaObjects/41467_2026_76230_MOESM8_ESM.xlsx)""]}",native_docling_full_conversion,data/living_catalog_updates/update_2026-08-09/06_docling_screening/profiles/documents/update_2026_08_09_rec_000082_8a50cb96e707.docling.json,0f6a3a2ca4d86376dab69b8a52bfba8ae41671c9714f041b9e9c6b306e84a241,data/living_catalog_updates/update_2026-08-09/06_docling_screening/profiles/markdown/update_2026_08_09_rec_000082_8a50cb96e707.md,bab0c9e7c113d3c6e833837d4539def45003ef2fc2b5461702ed3a1021b075ab,data/living_catalog_updates/update_2026-08-09/06_docling_screening/profiles/figures/update_2026_08_09_rec_000082_8a50cb96e707/figures_manifest.json,b0c3f9a8b9c70b7d3486bd16449a469d7dffbf25931a04358a2e6a5060ffcfda,4,0,0,0,,not_generated: no-limit VLM profile intentionally skips HybridChunker; derive a RAG chunk view separately when a retrieval token budget is explicitly chosen,none,gpt-5.5,0.0,,2
update_2026-08-09__rec_000106,rec_000106,scMIR: a vision-language foundation model for single-cell light microscopy image representation,,/Users/bogdan.didenko/lpnu/review/data/living_catalog_updates/update_2026-08-09/05_fulltext/workers/worker_03/update_2026-08-09__rec_000106__scMIR_a_vision-language_foundation_model_for_single-cell_light_microsc/full_text_01_openalex_title_pdf_url.pdf,cbc5eb91814eed0e3e4ec26f101a77b6f544d3bf9b4f32db58cc639b00f02b25,pdf,/Users/bogdan.didenko/lpnu/review/data/living_catalog_updates/update_2026-08-09/05_fulltext/workers/worker_03/update_2026-08-09__rec_000106__scMIR_a_vision-language_foundation_model_for_single-cell_light_microsc/full_text_01_openalex_title_pdf_url.pdf,complete,verified,"{""status"": ""verified"", ""doi_match"": false, ""exact_normalized_title_in_first_20000_chars"": true, ""best_heading_title_similarity"": 1.0, ""title_token_coverage_in_first_20000_chars"": 1.0, ""front_heading_candidates"": [""scMIR: a vision-language foundation model for single-cell light microscopy image representation"", ""Introduction"", ""Results"", ""Overview of framework"", ""scMIR enables robust cell classification across diverse microscopy datasets"", ""scMIR enables unsupervised semantic alignment of heterogeneous data""]}",native_docling_full_conversion,data/living_catalog_updates/update_2026-08-09/06_docling_screening/profiles/documents/update_2026_08_09_rec_000106_c9bc52778731.docling.json,e2416aa894704d1b8e7a00f9a9f88864c7f7e78c5207e5db187e376e253bb6d8,data/living_catalog_updates/update_2026-08-09/06_docling_screening/profiles/markdown/update_2026_08_09_rec_000106_c9bc52778731.md,5b0fc934408ea4f1d7660cb04273afba5a407db76fdaecb3a200b91e84ac2715,data/living_catalog_updates/update_2026-08-09/06_docling_screening/profiles/figures/update_2026_08_09_rec_000106_c9bc52778731/figures_manifest.json,a502488668f1085a95c7a8566efddb7322b9bc56a61100b46eeadbab75c57749,18,0,0,0,,not_generated: no-limit VLM profile intentionally skips HybridChunker; derive a RAG chunk view separately when a retrieval token budget is explicitly chosen,none,gpt-5.5,0.0,,2
update_2026-08-09__rec_000131,rec_000131,CellDuality: Unlocking Biological Reasoning in LLMs with Self-Supervised RLVR.,,/Users/bogdan.didenko/lpnu/review/data/living_catalog_updates/update_2026-08-09/05_fulltext/workers/worker_03/update_2026-08-09__rec_000131__CellDuality_Unlocking_Biological_Reasoning_in_LLMs_with_Self-Supervise/full_text_05_openalex_title_landing_page_ur.html,ec7fcd375dec655bc3e0c4c809fedb4c0fc4f6af669fb5bfd03c2984b4b67474,html,,complete,verified,"{""status"": ""verified"", ""doi_match"": false, ""exact_normalized_title_in_first_20000_chars"": true, ""best_heading_title_similarity"": 1.0, ""title_token_coverage_in_first_20000_chars"": 1.0, ""front_heading_candidates"": [""CellDuality : Unlocking Biological Reasoning in LLMs with Self-Supervised RLVR"", ""Abstract"", ""1. Introduction"", ""2. Related Work"", ""Foundation Models in Single-Cell Biology."", ""Reinforcement Learning from Verifiable Rewards ."", ""3. Methodology"", ""3.1. Preliminaries and Task Formulation"", ""3.2. The Principle of Complementary Task Duality"", ""**Definition 3.1 (Complementary Task Duality).**"", ""3.3. Training Stage 1: Supervised Fine-Tuning for Capability Cold-Start"", ""3.3.1. Chain-of-Thought Reasoning Dataset Generation"", ""Primal Task SFT Data."", ""Dual Task SFT Data."", ""3.3.2. Supervised Fine-tuning Objective""]}",native_docling_full_conversion,data/living_catalog_updates/update_2026-08-09/06_docling_screening/profiles/documents/update_2026_08_09_rec_000131_47b518c005c5.docling.json,c8fdbb805ddce79e9ec6ce6f06f15f2e175a696f22f80ed60b5b91f6bf90ea10,data/living_catalog_updates/update_2026-08-09/06_docling_screening/profiles/markdown/update_2026_08_09_rec_000131_47b518c005c5.md,f82090453c4c3b5e521e4aa62e0f73afb7638e5270e11ca015c9bd4a9841df30,data/living_catalog_updates/update_2026-08-09/06_docling_screening/profiles/figures/update_2026_08_09_rec_000131_47b518c005c5/figures_manifest.json,9b4923dc9f42090f7ef86b5520e22c75daadec1b231bf492d84f09c456fde7fa,12,0,0,0,,not_generated: no-limit VLM profile intentionally skips HybridChunker; derive a RAG chunk view separately when a retrieval token budget is explicitly chosen,none,gpt-5.5,0.0,,2
update_2026-08-09__rec_000138,rec_000138,"OCellus: A Language-Model Framework for Single-Cell, Spatial, and Perturbation Biology with Natural-Language Reasoning",10.64898/2026.07.08.737248,/Users/bogdan.didenko/lpnu/review/data/living_catalog_updates/update_2026-08-09/05_fulltext/workers/worker_04/update_2026-08-09__rec_000138__OCellus_A_Language-Model_Framework_for_Single-Cell_Spatial_and_Perturb/full_text_05_openalex_content_pdf.pdf,f41aa6b7f12245f349f7f621bb0a0774579acd419aa8d6e21e77aaca44865e8a,pdf,/Users/bogdan.didenko/lpnu/review/data/living_catalog_updates/update_2026-08-09/05_fulltext/workers/worker_04/update_2026-08-09__rec_000138__OCellus_A_Language-Model_Framework_for_Single-Cell_Spatial_and_Perturb/full_text_05_openalex_content_pdf.pdf,complete,verified,"{""status"": ""verified"", ""doi_match"": false, ""exact_normalized_title_in_first_20000_chars"": true, ""best_heading_title_similarity"": 1.0, ""title_token_coverage_in_first_20000_chars"": 1.0, ""front_heading_candidates"": [""OCellus: A Language-Model Framework for Single-Cell, Spatial, and Perturbation Biology with Natural-Language Reasoning"", ""* Corresponding Authors:"", ""Abstract"", ""Introduction"", ""Results"", ""The OCellus framework"", ""Multi-task competence across twenty-two biological tasks 7""]}",native_docling_full_conversion,data/living_catalog_updates/update_2026-08-09/06_docling_screening/profiles/documents/update_2026_08_09_rec_000138_796e32b2faec.docling.json,6c948126053decc3147edf22cd5aadefe280c0c22f23469a5f6f158850213ffa,data/living_catalog_updates/update_2026-08-09/06_docling_screening/profiles/markdown/update_2026_08_09_rec_000138_796e32b2faec.md,1e9d0564be32a8403b5da453ee20c1c8c7fdd51d872fe25412b0701b1e3891b9,data/living_catalog_updates/update_2026-08-09/06_docling_screening/profiles/figures/update_2026_08_09_rec_000138_796e32b2faec/figures_manifest.json,18b8c6f2c250d44a2b2bc50500eb8d21f3b6aa4c2978401750e4295c23e4aa74,11,0,0,0,,not_generated: no-limit VLM profile intentionally skips HybridChunker; derive a RAG chunk view separately when a retrieval token budget is explicitly chosen,none,gpt-5.5,0.0,,2
update_2026-08-09__rec_000219,rec_000219,Building Knowledge-Enhanced AI Co-Scientists for Biomedical Discovery,,/Users/bogdan.didenko/lpnu/review/data/living_catalog_updates/update_2026-08-09/05_fulltext/workers/worker_04/update_2026-08-09__rec_000219__Building_Knowledge-Enhanced_AI_Co-Scientists_for_Biomedical_Discovery/full_text_02_landing_pdf_link.pdf,3ae0960de1e4f8e0e46328937ea1ca38d8f89ff1c6f40a57d827a62dc2c010c2,pdf,/Users/bogdan.didenko/lpnu/review/data/living_catalog_updates/update_2026-08-09/05_fulltext/workers/worker_04/update_2026-08-09__rec_000219__Building_Knowledge-Enhanced_AI_Co-Scientists_for_Biomedical_Discovery/full_text_02_landing_pdf_link.pdf,complete,verified,"{""status"": ""verified"", ""doi_match"": false, ""exact_normalized_title_in_first_20000_chars"": true, ""best_heading_title_similarity"": 0.285714, ""title_token_coverage_in_first_20000_chars"": 1.0, ""front_heading_candidates"": [""Abstract"", ""Tianyu Liu 2026"", ""Acknowledgments"", ""Contents""]}",native_docling_full_conversion,data/living_catalog_updates/update_2026-08-09/06_docling_screening/profiles/documents/update_2026_08_09_rec_000219_90320ec9eb06.docling.json,403a4a78f03358b62d6358856b6f943d342441a7899e57f16a9c314105e2dc6b,data/living_catalog_updates/update_2026-08-09/06_docling_screening/profiles/markdown/update_2026_08_09_rec_000219_90320ec9eb06.md,09e21b55c4faa732614194c478706cf940d666d3a6fbc5fb452bc46e31ec66a8,data/living_catalog_updates/update_2026-08-09/06_docling_screening/profiles/figures/update_2026_08_09_rec_000219_90320ec9eb06/figures_manifest.json,af75b1f236b34f925ecdcc4bcc370eb669d17fbef1df0d3909d61c41cc5a9ce7,103,0,0,0,,not_generated: no-limit VLM profile intentionally skips HybridChunker; derive a RAG chunk view separately when a retrieval token budget is explicitly chosen,none,gpt-5.5,0.0,,2
