record_id,title,doi,final_decision,final_code,uncertainty_reason,final_source,final_rationale,evidence_snippet,scope_primary_exclusion_code,scope_uncertainty_reason,architecture_primary_exclusion_code,architecture_uncertainty_reason
rec_000001,Artificial Intelligence and the Expanding Universe of Cardio-Oncology: Beyond Detection Toward Prediction and Prevention of Therapy-Related Cardiotoxicity-A Comprehensive Review.,10.3390/diagnostics16030488,EXCLUDE,review_editorial,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,review_editorial,none,review_editorial,none
rec_000002,GATCL: graph attention network meets contrastive learning for spatial domain identification.,10.1093/bib/bbag043,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
rec_000003,Short-Context Regulatory DNA Language Models with Motif-Discovery Regularization.,10.64898/2026.02.05.703637,INCLUDE,none,none,python_gate,All first-pass criteria were positive without unresolved uncertainty.,,none,none,none,none
rec_000004,Integrative Single-Cell Epigenomic Atlas Annotates the Regulatory Genome of the Adult Mouse Brain.,10.64898/2026.02.07.704075,EXCLUDE,benchmark_resource,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,benchmark_resource,none,benchmark_resource,none
rec_000005,Single-Cell Atlas of Transcription and Chromatin States Reveals Regulatory Programs in the Human Brain.,10.64898/2026.02.02.703166,EXCLUDE,benchmark_resource,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,benchmark_resource,none,benchmark_resource,none
rec_000006,Structure-aware Graph Learning Predicts RNA Editability Across Tissues and Species.,10.64898/2026.02.02.703375,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
rec_000007,"Risk prediction in IgA nephropathy: from conventional models to machine learning, deep learning, and precision nephrology.",10.1080/0886022X.2026.2613606,EXCLUDE,review_editorial,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,review_editorial,none,review_editorial,none
rec_000008,CeLLTra: aligning cell names with gene expression via a pathway-informed transformer.,10.1093/bioinformatics/btaf655,EXCLUDE,application_wrapper,none,adjudicator,"CeLLTra combines scRNA-seq modeling with a pretrained domain-specific language model, but the language model is used as an auxiliary component for alignment. The abstract does not show a substantive generative text-bio foundation model.","""combining this pathway-informed Transformer with a pretrained domain-specific language model""",application_wrapper,none,EC3_not_generative,none
rec_000009,MultiSP deciphers tissue structure and multicellular communication from spatial multi-omics data.,10.1016/j.xgen.2026.101141,EXCLUDE,EC2_no_text_component,foundation_model_evidence_unclear,adjudicator,"MultiSP is a spatial multi-omics deep learning framework with generative modeling, but no text or language component is described. Any foundation-model-like status is not established in the abstract.","""spatial multi-omics data""; ""modality-specific probabilistic generative modeling""; ""cross-modality adversarial learning""",EC2_no_text_component,none,none,foundation_model_evidence_unclear
rec_000010,"Spatial proteomics in precision medicine: technologies, bioinformatics, and translational applications.",10.1093/pcmedi/pbaf040,EXCLUDE,review_editorial,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,review_editorial,none,review_editorial,none
rec_000011,Cosynllm: predicting drug combination synergy with LLM-generated descriptions.,10.1186/s13321-026-01158-w,EXCLUDE,application_wrapper,none,adjudicator,"CoSynLLM is an LLM-assisted synergy predictor that uses LLM-generated chemical descriptions as features. That is a wrapper around a downstream bio prediction task, not a substantive text-bio generative model.","""LLM-assisted predictive framework""; ""LLMs are employed to generate chemical information""",application_wrapper,none,application_wrapper,none
rec_000012,Forensic Transcriptomics: Research Progress of the Past Two Decades.,10.1093/gpbjnl/qzag007,EXCLUDE,review_editorial,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,review_editorial,none,review_editorial,none
rec_000013,A systematic review on the generative AI applications in human medical genetics.,10.3389/fgene.2025.1694070,EXCLUDE,review_editorial,none,adjudicator,"This is explicitly a systematic review of generative AI applications in human medical genetics, not a primary model paper. The abstract summarizes existing studies rather than proposing a new model.","""This systematic review examines the role of generative Artificial Intelligence (AI) methods""; ""A total of 195 studies were analyzed""",review_editorial,none,review_editorial,none
rec_000014,spRefine denoises and imputes spatial transcriptomics with a reference-free framework powered by genomic language model.,10.1101/2025.04.22.649977,EXCLUDE,application_wrapper,none,adjudicator,"spRefine is a denoising and imputation framework powered by an existing genomic language model. The abstract supports an application wrapper, not a new generative text-bio foundation model.","""reference-free framework powered by genomic language model""; ""jointly denoise and impute spatial transcriptomic data""",application_wrapper,none,application_wrapper,none
rec_000015,Deep learning framework for RNA 5hmC prediction using RNA language model embeddings.,10.1371/journal.pone.0341649,EXCLUDE,application_wrapper,none,adjudicator,"InTrans-RNA5hmC uses RNA language model embeddings as input features for a dual-branch predictor. That is an embedding-based wrapper for a bio prediction task, not a substantive generative text-bio model.","""RNA language model embeddings""; ""used as the finalized feature descriptors""",application_wrapper,none,application_wrapper,none
rec_000016,AI and Big Data in Oncology: A Physician-Centered Perspective on Emerging Clinical and Research Applications.,10.1002/cai2.70047,EXCLUDE,review_editorial,none,adjudicator,"Explicit review of AI and big data in oncology; LLMs are mentioned only as surveyed methodology, not as a new text-bio model. The abstract does not support a substantive bridge or a foundation model contribution.","""In this review, we synthesize the core AI methodologies... large language models""",review_editorial,none,review_editorial,none
rec_000017,Federated multimodal AI for precision-equitable diabetes care.,10.3389/fdgth.2025.1678047,EXCLUDE,review_editorial,none,adjudicator,"This is a narrative review of multimodal AI for diabetes care. ""Future directions"" mention multimodal large language models, but no candidate text-bio generative model is presented.","""Future directions centre on multimodal large language models""",review_editorial,mixed_signals,review_editorial,none
rec_000018,Artificial intelligence for colposcopic and cytological image analysis in early cervical cancer detection.,10.1016/j.isci.2026.114627,EXCLUDE,review_editorial,none,adjudicator,"The abstract is a review of cervical cancer image-analysis methods and deployment. Large language models appear only as a future-direction mention, not as a studied text-bio model.","""This review synthesizes advances"" in colposcopic and cytological image analysis; ""hybrid explainable AI with large language models""",review_editorial,mixed_signals,review_editorial,none
rec_000019,Advances and challenges in single-cell RNA sequencing data analysis: a comprehensive review.,10.1093/bib/bbaf723,EXCLUDE,review_editorial,none,adjudicator,"This is explicitly a comprehensive review of scRNA-seq analysis. It cites transformer-based tools pretrained on 33 million cells, but the abstract does not describe a text component or a generative model in the paper itself.","""This review outlines emerging computational strategies""; ""transformer-based annotation tools such as scGPT... pretrained on 33 million cells""",review_editorial,mixed_signals,review_editorial,generative_status_unclear
rec_000020,Chemical genomics language model toward reliable and explainable compound-protein interaction exploration.,10.1186/s13321-026-01155-z,EXCLUDE,EC3_not_generative,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,none,none,EC3_not_generative,none
