record_id,candidate_id,source_record_id,source_corpus,docling_markdown,title,doi,final_decision,final_code,uncertainty_reason,final_source,final_rationale,evidence_snippet,scope_primary_exclusion_code,scope_uncertainty_reason,architecture_primary_exclusion_code,architecture_uncertainty_reason
update_2026-08-09__rec_000001,update_2026-08-09__rec_000001,rec_000001,canonical_vlm_include,,PlantCAD2: A DNA foundation model for interpreting genomes across flowering plants.,,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
update_2026-08-09__rec_000138,update_2026-08-09__rec_000138,rec_000138,canonical_vlm_include,,"OCellus: A Language-Model Framework for Single-Cell, Spatial, and Perturbation Biology with Natural-Language Reasoning",,INCLUDE,none,none,adjudicator,"OCellus is presented as a new multimodal language-model framework with a shared backbone, natural-language interface, and generated explanations. The evidence supports a primary model paper rather than a wrapper.",multi-task language model; Planner-Router-Verifier natural-language interface; generates natural-language explanations of its own outputs,none,none,application_wrapper,none
update_2026-08-09__rec_000003,update_2026-08-09__rec_000003,rec_000003,canonical_vlm_include,,GEM-GPT Enables Personalized Cell Type-Resolved Therapeutic Design for Systems Pharmacology.,,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,none,none
update_2026-08-09__rec_000219,update_2026-08-09__rec_000219,rec_000219,canonical_vlm_include,,Building Knowledge-Enhanced AI Co-Scientists for Biomedical Discovery,,EXCLUDE,application_wrapper,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,application_wrapper,none,application_wrapper,none
update_2026-08-09__rec_000025,update_2026-08-09__rec_000025,rec_000025,canonical_vlm_include,,scDifformer: diffusion-based post-training for virtual cell modeling across large-scale single-cell data,,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,none,none
update_2026-08-09__rec_000227,update_2026-08-09__rec_000227,rec_000227,canonical_vlm_include,,Geometric Representations of Knowledge Inside Biological Large Language Models: an Empirical Analysis,,EXCLUDE,review_editorial,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,review_editorial,none,review_editorial,none
update_2026-08-09__rec_000039,update_2026-08-09__rec_000039,rec_000039,canonical_vlm_include,,Lineage-Independent Structural Risk Detection in SARS- CoV-2 Spike Protein via Zero-Shot Protein Language Modeling,,EXCLUDE,application_wrapper,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,application_wrapper,none,application_wrapper,none
update_2026-08-09__rec_000231,update_2026-08-09__rec_000231,rec_000231,canonical_vlm_include,,"Literature-derived, context-aware gene",,EXCLUDE,application_wrapper,mixed_signals,adjudicator,"The visible record is a literature-derived network/ODE pipeline using PubTator3 publications plus an LLM, but it does not show a central generative text-bio model. Wrapper-style use is the safest reading.",gene regulatory relationships were obtained from the pre-annotated PubTator3 table; integrated with a large language model (LLM),none,paper_type_unclear,EC4_no_foundation_model_evidence,paper_type_unclear
update_2026-08-09__rec_000076,update_2026-08-09__rec_000076,rec_000076,canonical_vlm_include,,Miniaturizing and modifying natural proteins with Raygun,,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,none,none
update_2026-08-09__rec_000082,update_2026-08-09__rec_000082,rec_000082,canonical_vlm_include,,Unify learns cellular evolution with universal multimodal embeddings,,EXCLUDE,application_wrapper,none,adjudicator,Unify combines scRNA-seq with language-model embeddings as auxiliary features for transfer learning and perturbation prediction. That is wrapper-style feature fusion rather than a generative text-bio model.,combining RNA expression with embeddings from protein language models and general-purpose language models; prediction of perturbation responses across species,application_wrapper,none,EC3_not_generative,none
update_2026-08-09__rec_000106,update_2026-08-09__rec_000106,rec_000106,canonical_vlm_include,,scMIR: a vision-language foundation model for single-cell light microscopy image representation,,UNCERTAIN,none,generative_status_unclear,adjudicator,scMIR is a vision-language foundation model with paired microscopy images and structured textual captions plus text-guided alignment. The generative mechanism is not explicit enough to resolve beyond unclear.,paired single-cell images and structured textual captions; text-guided cross-modal alignment; self-supervised image reconstruction,none,none,none,generative_status_unclear
update_2026-08-09__rec_000131,update_2026-08-09__rec_000131,rec_000131,canonical_vlm_include,,CellDuality: Unlocking Biological Reasoning in LLMs with Self-Supervised RLVR.,,EXCLUDE,application_wrapper,none,adjudicator,CellDuality fine-tunes an existing LLM with SFT and self-supervised RLVR over textual biological prompts and outputs. That fits an application wrapper rather than a new foundation model.,"all inputs to the LLM are constructed as textual prompts; output is a textual response y, generated autoregressively according to the policy",none,none,application_wrapper,none
