record_id,candidate_id,source_corpus,title,status,section_count,missing_targets,rejected_document_level_sections,rejected_non_evidence_sections,data_source_headings,input_representation_headings,data_source_chars,input_representation_chars,selected_full_text_sections_chars,provenance_unresolved,graph_summary
update_2026-08-09__rec_000001,update_2026-08-09__rec_000001,canonical_vlm_include,PlantCAD2: A DNA foundation model for interpreting genomes across flowering plants.,ok,1,,0,4,PlantCAD2: A Long-Context DNA Language 1 Model  for  Cross-Species  Functional  Annotation 2 in Angiosperms 3 > Results,PlantCAD2: A Long-Context DNA Language 1 Model  for  Cross-Species  Functional  Annotation 2 in Angiosperms 3 > Results,35782,35782,35939,0,data/living_catalog_updates/update_2026-08-09/07_graph_sections/shard_00/update_2026-08-09__rec_000001_504e0db4e1fd/screening_evidence_summary.json
update_2026-08-09__rec_000138,update_2026-08-09__rec_000138,canonical_vlm_include,"OCellus: A Language-Model Framework for Single-Cell, Spatial, and Perturbation Biology with Natural-Language Reasoning",ok,1,,0,0,"OCellus: A Language-Model Framework for Single-Cell, Spatial, and Perturbation Biology with Natural-Language Reasoning > Results > The OCellus framework","OCellus: A Language-Model Framework for Single-Cell, Spatial, and Perturbation Biology with Natural-Language Reasoning > Results > The OCellus framework",7858,7858,8048,0,data/living_catalog_updates/update_2026-08-09/07_graph_sections/shard_00/update_2026-08-09__rec_000138_796e32b2faec/screening_evidence_summary.json
update_2026-08-09__rec_000003,update_2026-08-09__rec_000003,canonical_vlm_include,GEM-GPT Enables Personalized Cell Type-Resolved Therapeutic Design for Systems Pharmacology.,ok,1,,0,0,2 Results > 2.4 GEM-GPT generates personalized and cell type-specific therapeutic candidates for OUD using patient and healthy single-cell transcriptomic profiles,2 Results > 2.4 GEM-GPT generates personalized and cell type-specific therapeutic candidates for OUD using patient and healthy single-cell transcriptomic profiles,6054,6054,6254,0,data/living_catalog_updates/update_2026-08-09/07_graph_sections/shard_01/update_2026-08-09__rec_000003_7190b7bf028f/screening_evidence_summary.json
update_2026-08-09__rec_000219,update_2026-08-09__rec_000219,canonical_vlm_include,Building Knowledge-Enhanced AI Co-Scientists for Biomedical Discovery,ok,1,,0,1,Leveraging Multi-Modal Foundation Models for Analyzing Spatial Multi-Omic and Histopathology Data > 2.2 Results,Leveraging Multi-Modal Foundation Models for Analyzing Spatial Multi-Omic and Histopathology Data > 2.2 Results,35452,35452,35601,0,data/living_catalog_updates/update_2026-08-09/07_graph_sections/shard_01/update_2026-08-09__rec_000219_90320ec9eb06/screening_evidence_summary.json
update_2026-08-09__rec_000025,update_2026-08-09__rec_000025,canonical_vlm_include,scDifformer: diffusion-based post-training for virtual cell modeling across large-scale single-cell data,ok,1,,0,0,scDifformer: diffusion-based post-training for virtual cell modeling across large-scale single-cell data > Materials and methods > Standardizing pre-training corpus for accurate transcriptomic profiling,scDifformer: diffusion-based post-training for virtual cell modeling across large-scale single-cell data > Materials and methods > Standardizing pre-training corpus for accurate transcriptomic profiling,2245,2245,2485,0,data/living_catalog_updates/update_2026-08-09/07_graph_sections/shard_02/update_2026-08-09__rec_000025_4e38718c00c4/screening_evidence_summary.json
update_2026-08-09__rec_000227,update_2026-08-09__rec_000227,canonical_vlm_include,Geometric Representations of Knowledge Inside Biological Large Language Models: an Empirical Analysis,ok,2,,0,0,3 Methods > 3.2 Evaluation corpus and metadata,2 Related Work,1136,3562,4801,0,data/living_catalog_updates/update_2026-08-09/07_graph_sections/shard_02/update_2026-08-09__rec_000227_3c81c4cfabb4/screening_evidence_summary.json
update_2026-08-09__rec_000039,update_2026-08-09__rec_000039,canonical_vlm_include,Lineage-Independent Structural Risk Detection in SARS- CoV-2 Spike Protein via Zero-Shot Protein Language Modeling,ok,1,,0,0,2. Methods > 2.6 Validation Dataset,2. Methods > 2.6 Validation Dataset,2429,2429,2502,0,data/living_catalog_updates/update_2026-08-09/07_graph_sections/shard_03/update_2026-08-09__rec_000039_9faa86d20831/screening_evidence_summary.json
update_2026-08-09__rec_000231,update_2026-08-09__rec_000231,canonical_vlm_include,"Literature-derived, context-aware gene",ok,1,,0,1,2. Methods > 2.1. Data preparation and preprocessing > Construction of gene regulatory networks,2. Methods > 2.1. Data preparation and preprocessing > Construction of gene regulatory networks,911,911,1044,0,data/living_catalog_updates/update_2026-08-09/07_graph_sections/shard_03/update_2026-08-09__rec_000231_1109e2746a8b/screening_evidence_summary.json
update_2026-08-09__rec_000076,update_2026-08-09__rec_000076,canonical_vlm_include,Miniaturizing and modifying natural proteins with Raygun,ok,1,,0,0,Miniaturizing and modifying natural proteins with Raygun > The Raygun architecture,Miniaturizing and modifying natural proteins with Raygun > The Raygun architecture,4715,4715,4835,0,data/living_catalog_updates/update_2026-08-09/07_graph_sections/shard_04/update_2026-08-09__rec_000076_7f0f74d0e84a/screening_evidence_summary.json
update_2026-08-09__rec_000082,update_2026-08-09__rec_000082,canonical_vlm_include,Unify learns cellular evolution with universal multimodal embeddings,ok,1,,0,0,Unify learns cellular evolution with universal multimodal embeddings > Abstract,Unify learns cellular evolution with universal multimodal embeddings > Abstract,1388,1388,1505,0,data/living_catalog_updates/update_2026-08-09/07_graph_sections/shard_05/update_2026-08-09__rec_000082_8a50cb96e707/screening_evidence_summary.json
