candidate_type,route_id,configuration_id,model_id,study_id,record_id,title,route_label,model_name,lifecycle_phase,task_or_configuration_verbatim,source_object_verbatim,source_object_normalized,source_modality_normalized,transformation_chain_verbatim,transformation_chain_normalized,model_visible_form_verbatim,carrier_family,carrier_subtype,insertion_or_fusion_verbatim,fusion_topology,text_role,input_status,evidence_quote,section_heading,supporting_figure_or_table,evidence_status,uncertainty,source_candidate_refs,dense_candidate_refs,pages,doc_item_refs,provenance_match,picture_only_provenance,candidate_quote_match,quote_verified_in_canonical_markdown,quote_verified_in_native_items,taxonomy_consistent,final_grounding_valid
accepted_input_route,route_9d00565233f0,config_859006a41462,model_0b0332ce2b16,study_db50018753cc,update_2026-08-09__manual_recall_xunzi,"XunZi, an AI biologist, reveals disease-modifying targets",PubMed abstract continual pretraining,XunZi-R,pretraining,causal language modelling (CLM) framework,all available abstracts from published papers in PubMed before 2025,PubMed abstracts published before 2025,text,"[""retrieved all available abstracts from published papers in PubMed before 2025"", ""constructed a pretraining corpus"", ""continual pretraining""]","[""retrieve PubMed abstracts"", ""construct a pretraining corpus"", ""continue pretraining""]",tokenized sequence,text_native_token_stream,serialized_biological_context_or_ordered_profile,backbone model pretraining,tokenizer_sequence,biological_payload,actual_model_input,"To build a comprehensive knowledge base for expert-level biomedical research, we constructed a pretraining corpus for XunZi-R by integrating diverse biological knowledge sources. First, we retrieved all available abstracts from published papers in PubMed before 2025, resulting in a corpus of over 24,411,924 biomedical publications. This corpus serves as the foundation for capturing scientific language patterns, terminologies and hypothesis structures commonly used in biological research.",Preparation of the biomedical knowledge data,,explicit_text,,"[""update_2026-08-09__manual_recall_xunzi::route_001""]","[""dense::update_2026-08-09__manual_recall_xunzi::0001"", ""dense::update_2026-08-09__manual_recall_xunzi::0066"", ""dense::update_2026-08-09__manual_recall_xunzi::0074""]","[2, 10, 11, 12]","[""#/texts/1349"", ""#/texts/1350"", ""#/texts/1377"", ""#/texts/1378"", ""#/texts/1382"", ""#/texts/1383"", ""#/texts/1384"", ""#/texts/1385"", ""#/texts/1386"", ""#/texts/1387"", ""#/texts/22"", ""#/texts/23""]","[""verbatim""]",False,True,True,True,True,True
accepted_input_route,route_2eb362a0a34d,config_859006a41462,model_0b0332ce2b16,study_db50018753cc,update_2026-08-09__manual_recall_xunzi,"XunZi, an AI biologist, reveals disease-modifying targets",NCBI gene_info entries,XunZi-R,pretraining,causal language modelling (CLM) framework,"297,098 gene entries from the gene_info dataset",gene_info gene entries,text,"[""extracted 297,098 gene entries from the gene_info dataset"", ""built structured biological corpora"", ""continual pretraining""]","[""extract gene_info entries"", ""build structured biological corpora"", ""continue pretraining""]",structured text corpus,text_native_token_stream,serialized_biological_context_or_ordered_profile,backbone model pretraining,tokenizer_sequence,biological_payload,actual_model_input,"Also, we incorporated 2,054,130 structured biological corpora to enhance the domain-specific understanding of XunZi-R. We extracted 297,098 gene entries from the gene_info dataset and 1,694,980 literature-derived functional descriptions from the GeneRIF dataset, both of which were obtained from the National Center for Biotechnology Information (NCBI) 58 . These datasets provide concise insights into gene identity, function, related pathways and biological roles across a wide range of organisms. Furthermore, we incorporated disease definitions from the DO database (https://disease-ontology.org/) 11 , which provides hierarchically structured vocabularies for diseases. A total of 14,132 disease terms were collected, each containing standardized identifiers, synonyms, hierarchical classifications and curated descriptions of disease characteristics and underlying mechanisms. We also integrated the texts of 47,920 GO definitions on biological processes, molecular functions and cellular components from the GO knowledgebase (https://geneontology.org/) 28 .",Preparation of the biomedical knowledge data,,explicit_text,,"[""update_2026-08-09__manual_recall_xunzi::route_007""]","[""dense::update_2026-08-09__manual_recall_xunzi::0066""]",[10],"[""#/texts/1349"", ""#/texts/1350""]","[""verbatim""]",False,True,True,True,True,True
accepted_input_route,route_00365777b76a,config_859006a41462,model_0b0332ce2b16,study_db50018753cc,update_2026-08-09__manual_recall_xunzi,"XunZi, an AI biologist, reveals disease-modifying targets",GeneRIF functional descriptions,XunZi-R,pretraining,causal language modelling (CLM) framework,"1,694,980 literature-derived functional descriptions from the GeneRIF dataset",GeneRIF functional descriptions,text,"[""extracted 1,694,980 literature-derived functional descriptions from the GeneRIF dataset"", ""built structured biological corpora"", ""continual pretraining""]","[""extract GeneRIF functional descriptions"", ""build structured biological corpora"", ""continue pretraining""]",structured text corpus,text_native_token_stream,serialized_biological_context_or_ordered_profile,backbone model pretraining,tokenizer_sequence,biological_payload,actual_model_input,"Also, we incorporated 2,054,130 structured biological corpora to enhance the domain-specific understanding of XunZi-R. We extracted 297,098 gene entries from the gene_info dataset and 1,694,980 literature-derived functional descriptions from the GeneRIF dataset, both of which were obtained from the National Center for Biotechnology Information (NCBI) 58 . These datasets provide concise insights into gene identity, function, related pathways and biological roles across a wide range of organisms. Furthermore, we incorporated disease definitions from the DO database (https://disease-ontology.org/) 11 , which provides hierarchically structured vocabularies for diseases. A total of 14,132 disease terms were collected, each containing standardized identifiers, synonyms, hierarchical classifications and curated descriptions of disease characteristics and underlying mechanisms. We also integrated the texts of 47,920 GO definitions on biological processes, molecular functions and cellular components from the GO knowledgebase (https://geneontology.org/) 28 .",Preparation of the biomedical knowledge data,,explicit_text,,"[""update_2026-08-09__manual_recall_xunzi::route_008""]","[""dense::update_2026-08-09__manual_recall_xunzi::0066""]",[10],"[""#/texts/1349"", ""#/texts/1350""]","[""verbatim""]",False,True,True,True,True,True
accepted_input_route,route_ce3cf6bd4114,config_859006a41462,model_0b0332ce2b16,study_db50018753cc,update_2026-08-09__manual_recall_xunzi,"XunZi, an AI biologist, reveals disease-modifying targets",Disease Ontology definitions,XunZi-R,pretraining,causal language modelling (CLM) framework,"14,132 disease terms from the Disease Ontology database",Disease Ontology terms,text,"[""collected 14,132 disease terms from the Disease Ontology database"", ""compiled standardized identifiers, synonyms, hierarchical classifications and curated descriptions"", ""built structured biological corpora"", ""continual pretraining""]","[""collect Disease Ontology terms"", ""compile structured disease descriptions"", ""continue pretraining""]",structured text corpus,text_native_token_stream,serialized_biological_context_or_ordered_profile,backbone model pretraining,tokenizer_sequence,biological_payload,actual_model_input,"Also, we incorporated 2,054,130 structured biological corpora to enhance the domain-specific understanding of XunZi-R. We extracted 297,098 gene entries from the gene_info dataset and 1,694,980 literature-derived functional descriptions from the GeneRIF dataset, both of which were obtained from the National Center for Biotechnology Information (NCBI) 58 . These datasets provide concise insights into gene identity, function, related pathways and biological roles across a wide range of organisms. Furthermore, we incorporated disease definitions from the DO database (https://disease-ontology.org/) 11 , which provides hierarchically structured vocabularies for diseases. A total of 14,132 disease terms were collected, each containing standardized identifiers, synonyms, hierarchical classifications and curated descriptions of disease characteristics and underlying mechanisms. We also integrated the texts of 47,920 GO definitions on biological processes, molecular functions and cellular components from the GO knowledgebase (https://geneontology.org/) 28 .",Preparation of the biomedical knowledge data,,explicit_text,,"[""update_2026-08-09__manual_recall_xunzi::route_009""]","[""dense::update_2026-08-09__manual_recall_xunzi::0066""]",[10],"[""#/texts/1349"", ""#/texts/1350""]","[""verbatim""]",False,True,True,True,True,True
accepted_input_route,route_cb00e88776b5,config_859006a41462,model_0b0332ce2b16,study_db50018753cc,update_2026-08-09__manual_recall_xunzi,"XunZi, an AI biologist, reveals disease-modifying targets",GO definition texts,XunZi-R,pretraining,causal language modelling (CLM) framework,"47,920 GO definitions on biological processes, molecular functions and cellular components",Gene Ontology definitions,text,"[""integrated 47,920 GO definitions"", ""built structured biological corpora"", ""continual pretraining""]","[""integrate GO definitions"", ""build structured biological corpora"", ""continue pretraining""]",structured text corpus,text_native_token_stream,serialized_biological_context_or_ordered_profile,backbone model pretraining,tokenizer_sequence,biological_payload,actual_model_input,"Also, we incorporated 2,054,130 structured biological corpora to enhance the domain-specific understanding of XunZi-R. We extracted 297,098 gene entries from the gene_info dataset and 1,694,980 literature-derived functional descriptions from the GeneRIF dataset, both of which were obtained from the National Center for Biotechnology Information (NCBI) 58 . These datasets provide concise insights into gene identity, function, related pathways and biological roles across a wide range of organisms. Furthermore, we incorporated disease definitions from the DO database (https://disease-ontology.org/) 11 , which provides hierarchically structured vocabularies for diseases. A total of 14,132 disease terms were collected, each containing standardized identifiers, synonyms, hierarchical classifications and curated descriptions of disease characteristics and underlying mechanisms. We also integrated the texts of 47,920 GO definitions on biological processes, molecular functions and cellular components from the GO knowledgebase (https://geneontology.org/) 28 .",Preparation of the biomedical knowledge data,,explicit_text,,"[""update_2026-08-09__manual_recall_xunzi::route_010""]","[""dense::update_2026-08-09__manual_recall_xunzi::0066""]",[10],"[""#/texts/1349"", ""#/texts/1350""]","[""verbatim""]",False,True,True,True,True,True
accepted_input_route,route_d6c759ffcb10,config_b5a5ffd4ec51,model_0b0332ce2b16,study_db50018753cc,update_2026-08-09__manual_recall_xunzi,"XunZi, an AI biologist, reveals disease-modifying targets",Gene-disease mechanistic CoT fine-tuning,XunZi-R,fine_tuning,supervised fine-tuning (SFT) strategy,gene-disease associations from DisGeNET and CTD,gene-disease associations,text,"[""collected gene-disease associations from DisGeNET and CTD"", ""retrieved corresponding PubMed abstracts"", ""used GPT-4 to transform raw gene-disease associations into detailed mechanistic interpretations"", ""manually checked each entry and corrected errors"", ""formatted the verified interpretations into a CoT mechanistic interpretation corpus""]","[""collect gene-disease associations"", ""retrieve supporting abstracts"", ""generate mechanistic interpretations"", ""manual verification"", ""format into a CoT corpus""]",structured input-output pair,text_native_token_stream,structured_biological_prompt_or_task_scaffold,instruction fine-tuning,tokenizer_sequence,paired_alignment_supervision,paired_alignment_input,Each instance comprises three components:,Construction and curation of the gene-disease mechanistic corpus,,explicit_text,,"[""update_2026-08-09__manual_recall_xunzi::route_003""]","[""dense::update_2026-08-09__manual_recall_xunzi::0001"", ""dense::update_2026-08-09__manual_recall_xunzi::0066"", ""dense::update_2026-08-09__manual_recall_xunzi::0067"", ""dense::update_2026-08-09__manual_recall_xunzi::0068"", ""dense::update_2026-08-09__manual_recall_xunzi::0070"", ""dense::update_2026-08-09__manual_recall_xunzi::0075""]","[2, 10, 11, 12]","[""#/texts/1349"", ""#/texts/1350"", ""#/texts/1352"", ""#/texts/1353"", ""#/texts/1354"", ""#/texts/1355"", ""#/texts/1356"", ""#/texts/1357"", ""#/texts/1358"", ""#/texts/1359"", ""#/texts/1361"", ""#/texts/1362"", ""#/texts/1366"", ""#/texts/1367"", ""#/texts/1368"", ""#/texts/1369"", ""#/texts/1370"", ""#/texts/1371"", ""#/texts/1377"", ""#/texts/1378"", ""#/texts/1382"", ""#/texts/1383"", ""#/texts/1384"", ""#/texts/1385"", ""#/texts/1386"", ""#/texts/1387"", ""#/texts/22"", ""#/texts/23""]","[""verbatim""]",False,True,True,False,True,True
accepted_input_route,route_f94f770b9ce6,config_31813af15ed5,model_0b0332ce2b16,study_db50018753cc,update_2026-08-09__manual_recall_xunzi,"XunZi, an AI biologist, reveals disease-modifying targets",Gene-disease question prompting,XunZi-R,inference,Is gene [X] involved in disease [Y] in a functional way? Start with Yes or No.,a natural language instruction prompt,natural language instruction prompt,text,"[""formatted as a natural language instruction"", ""prompted XunZi-R to answer Yes or No"", ""generated mechanistic interpretation""]","[""format as an instruction prompt"", ""prompt the model"", ""generate a binary answer""]",natural language instruction prompt,text_native_token_stream,plain_language_prompt_or_question,prompted into XunZi-R,tokenizer_sequence,instruction_or_query,actual_model_input,'Is gene [X] involved in disease [Y] in a functional way? Start with Yes or No.',Classification of functional gene-disease associations task,,explicit_text,,"[""update_2026-08-09__manual_recall_xunzi::route_004""]","[""dense::update_2026-08-09__manual_recall_xunzi::0076""]","[12, 13, 16]","[""#/texts/1389"", ""#/texts/1390"", ""#/texts/1391"", ""#/texts/1392"", ""#/texts/1393"", ""#/texts/1394"", ""#/texts/1395"", ""#/texts/1396""]","[""verbatim""]",False,True,True,True,True,True
accepted_input_route,route_3c5e5e61f611,config_6fd5156aba32,model_0b0332ce2b16,study_db50018753cc,update_2026-08-09__manual_recall_xunzi,"XunZi, an AI biologist, reveals disease-modifying targets",Mechanistic interpretation generation task,XunZi-R,evaluation,generate structured mechanistic interpretations and facilitate systematic evaluation,the functional role of a specific gene in a given disease,gene-disease mechanistic relationship,text,"[""prompt template"", ""structured mechanistic interpretation"", ""Impacted Genes list"", ""Impacted Pathways list""]","[""prompt scaffold"", ""mechanistic explanation"", ""gene/pathway extraction""]","Is Gene [X] involved in disease [Y] in a functional way? Start your answer with Yes or No. Then describe in two sentences how the gene influences the disease, including direct and indirect biological effects. Finally, list the Impacted Genes and Impacted Pathways as shown below:",text_native_token_stream,structured_biological_prompt_or_task_scaffold,The prompt template was as follows:,tokenizer_sequence,instruction_or_query,actual_model_input,'Is gene [X] involved in disease [Y] in a functional way? Start with Yes or No.',Mechanistic interpretation generation task,,explicit_text,,[],"[""dense::update_2026-08-09__manual_recall_xunzi::0078""]",[12],"[""#/texts/1389"", ""#/texts/1390"", ""#/texts/1391"", ""#/texts/1392"", ""#/texts/1393"", ""#/texts/1394"", ""#/texts/1395"", ""#/texts/1396""]","[""verbatim""]",False,True,True,True,True,True
accepted_input_route,route_6ccccc72d8fe,config_2ff26fab502d,model_d3b03caa65b1,study_db50018753cc,update_2026-08-09__manual_recall_xunzi,"XunZi, an AI biologist, reveals disease-modifying targets",Pan-cancer multi-omics feature learning,XunZi-M,pretraining,pan-cancer,"TCGA, CPTAC, GEO and literature-derived multi-omics datasets for pan-cancer",pan-cancer multi-omics datasets,multi-omics,"[""derived a feature vector from its expression profiles across 33 cancer types"", ""embedded each gene node in the graph"", ""trained a GCN to propagate features across the heterogeneous graph structure""]","[""derive expression vectors from pan-cancer profiles"", ""embed gene nodes"", ""propagate features with a GCN""]",gene-level expression vectors,dense_continuous_carrier,direct_projected_embedding,embedded with a feature vector derived from its expression profiles across 33 cancer types,other_explicit,no_text_on_this_route,actual_model_input,"For pan-cancer, each gene node was embedded with a feature vector derived from its expression profiles across 33 cancer types. For each cancer type, we obtained transcriptomic, proteomic and phosphoproteomic measurements under both tumour and matched normal conditions. Expression values were standardized within each study and averaged across samples under the same condition. Let x i ∈ ℝ d denote the feature vector of gene i , where each dimension corresponds to the averaged expression value under a specific cancer type and condition. Specifically, for gene i , its expression in one cancer type is represented as:",Implementation of XunZi-M,,explicit_text,,"[""update_2026-08-09__manual_recall_xunzi::route_005""]","[""dense::update_2026-08-09__manual_recall_xunzi::0079""]",[13],"[""#/texts/1415"", ""#/texts/1416"", ""#/texts/1417"", ""#/texts/1418"", ""#/texts/1419"", ""#/texts/1420"", ""#/texts/1421"", ""#/texts/1422""]","[""verbatim""]",False,True,True,True,True,True
accepted_input_route,route_964334ebad2f,config_1b47bff37f88,model_d3b03caa65b1,study_db50018753cc,update_2026-08-09__manual_recall_xunzi,"XunZi, an AI biologist, reveals disease-modifying targets",Neurodegenerative disease multi-omics feature learning,XunZi-M,pretraining,neurodegenerative disease,"AMP-AD, MSBB, ROSMAP, GEO and literature-derived multi-omics datasets for neurodegenerative diseases",neurodegenerative disease multi-omics datasets,multi-omics,"[""derived the feature vector from its expression across distinct brain regions under different disease states"", ""embedded each gene node in the graph"", ""trained a GCN to propagate features across the heterogeneous graph structure""]","[""derive expression vectors from neurodegenerative profiles"", ""embed gene nodes"", ""propagate features with a GCN""]",gene-level expression vectors,dense_continuous_carrier,direct_projected_embedding,"embedded with an expression vector derived from the corresponding transcriptomic, proteomic or phosphoproteomic measurements under different biological conditions",other_explicit,no_text_on_this_route,actual_model_input,"Building on the curated multi-omics datasets and the constructed knowledge graph, we developed disease-specific molecular pretrain models for pan-cancer and neurodegenerative diseases through graph-based representation learning. In both contexts, each node in the graph, representing a gene, was embedded with an expression vector derived from the corresponding transcriptomic, proteomic or phosphoproteomic measurements under different biological conditions. For each molecule identified in omics analyses, we calculated the following features: normalized transcriptomic expression denoted by fragments per kilobase of transcript per million mapped reads (FPKM) or transcripts per million (TPM) values for RNA sequencing (RNA-seq), normalized proteomic intensity (mass spectrometry-based protein quantification), mean phosphosite intensities (in cases where multiple p-sites were mapped to the same protein).",Implementation of XunZi-M,,explicit_text,,"[""update_2026-08-09__manual_recall_xunzi::route_005""]","[""dense::update_2026-08-09__manual_recall_xunzi::0079""]",[13],"[""#/texts/1415"", ""#/texts/1416"", ""#/texts/1417"", ""#/texts/1418"", ""#/texts/1419"", ""#/texts/1420"", ""#/texts/1421"", ""#/texts/1422""]","[""verbatim""]",False,True,True,True,True,True
