category,run_label,path,bytes,sha256,description
README.md,,analysis/codex_screening_run_artifacts_20260706/README.md,3123,c2c5d8dd2436825b7cc43253a7e5804d4a75762b9ed17a393c74de21c1db3832,Top-level artifact bundle README.
full_runs,codex_gpt54mini_all4027_20260706,analysis/codex_screening_run_artifacts_20260706/full_runs/codex_gpt54mini_all4027_20260706/adjudication_queue.json,2364078,0edd7ddc6f4248235b84098d5c538cab2713a45a3b7cbfcbd44c5e2d1aeb4570,Python gate and adjudication trace artifact.
full_runs,codex_gpt54mini_all4027_20260706,analysis/codex_screening_run_artifacts_20260706/full_runs/codex_gpt54mini_all4027_20260706/adjudicator.jsonl,908880,25e5432fb3f54f872fc2a75a6b3b1d4308d596716f8cf4e577008bd2305f1b20,Structured per-record role output JSONL.
full_runs,codex_gpt54mini_all4027_20260706,analysis/codex_screening_run_artifacts_20260706/full_runs/codex_gpt54mini_all4027_20260706/architecture_reviewer.jsonl,2304946,91b841cae1fc053e827cdd47c8a6c737cb7412960fab108f7a469915c7af6120,Structured per-record role output JSONL.
full_runs,codex_gpt54mini_all4027_20260706,analysis/codex_screening_run_artifacts_20260706/full_runs/codex_gpt54mini_all4027_20260706/artifact_summary.json,2028,76edd26a73bf46c4e0982232272abd971d22f6730ddf706e838b1830e317864e,"Generated artifact summary with record count, decision counts, adjudication count, and source files."
full_runs,codex_gpt54mini_all4027_20260706,analysis/codex_screening_run_artifacts_20260706/full_runs/codex_gpt54mini_all4027_20260706/final_screening_results.csv,1588322,816691ae415549ad1e6e53b0cee8d4239b66f89b1cdacb25d134e2f8757f655e,Final row-level screening decisions.
full_runs,codex_gpt54mini_all4027_20260706,analysis/codex_screening_run_artifacts_20260706/full_runs/codex_gpt54mini_all4027_20260706/final_screening_results.json,3195418,ad0d3ac07dd965c6aad3cfa98447b9bc0e62eaf630bca037d6885cd3e1094a7f,Final row-level screening decisions.
full_runs,codex_gpt54mini_all4027_20260706,analysis/codex_screening_run_artifacts_20260706/full_runs/codex_gpt54mini_all4027_20260706/input_records.json,7649405,8c2466ba5cae406bfe88c93c1b8676b7d2dc307bc0dc0c052cce4f87c5f88b1e,Curated screening artifact.
full_runs,codex_gpt54mini_all4027_20260706,analysis/codex_screening_run_artifacts_20260706/full_runs/codex_gpt54mini_all4027_20260706/pipeline.log,170383,1a55f9009905a45a1418ea4c3de66a12f05575db24b5389e1df9fcc0eba45d9e,Runner progress log with batch completion and timing.
full_runs,codex_gpt54mini_all4027_20260706,analysis/codex_screening_run_artifacts_20260706/full_runs/codex_gpt54mini_all4027_20260706/python_gate_outputs.json,7733491,59856ec39a0a92d6a8c18437df6e91320fe3315b9e1da17160480c5fdf823984,Python gate and adjudication trace artifact.
full_runs,codex_gpt54mini_all4027_20260706,analysis/codex_screening_run_artifacts_20260706/full_runs/codex_gpt54mini_all4027_20260706/role_logs.tar.gz,39197327,a44647acf530a610c8e9c5a5673c22568858608c5b29d7af7f826e14a4ebc75c,"Compressed per-batch prompt, raw response, parsed output, metadata, stdout, and stderr logs for role agents."
full_runs,codex_gpt54mini_all4027_20260706,analysis/codex_screening_run_artifacts_20260706/full_runs/codex_gpt54mini_all4027_20260706/run_metadata.json,1018,20ee127a2d28f294ab34acdf71c46f27157d75cce7bd92003563894560e13103,Curated screening artifact.
full_runs,codex_gpt54mini_all4027_20260706,analysis/codex_screening_run_artifacts_20260706/full_runs/codex_gpt54mini_all4027_20260706/scope_reviewer.jsonl,2335817,616c6e9b0e2bbfdf0539e6f46ee6503466c4eb83b7328a24c8ae9b7a6d2c58b2,Structured per-record role output JSONL.
full_runs,codex_gpt54mini_all4027_20260706,analysis/codex_screening_run_artifacts_20260706/full_runs/codex_gpt54mini_all4027_20260706/summary.json,696,56f2e3197c6e5d37e43fc6cd7427b09e0e499dd4b7636b8f679602af9d6cfead,Curated screening artifact.
inputs,,analysis/codex_screening_run_artifacts_20260706/inputs/dedup_update_2026-06-10/cross_dedup_matches.json,193170,bf0e74421d5aebd9f8ecd5b66301f57340801f62d2617ce32ab289543ddfe9d0,"Search, deduplication, Crossref audit, or screening input artifact for an update cohort."
inputs,,analysis/codex_screening_run_artifacts_20260706/inputs/dedup_update_2026-06-10/cross_dedup_stats.json,418,70da7f22060138a14c10eb3436024680a77670ca9727c1dc0c4211a6c160e726,"Search, deduplication, Crossref audit, or screening input artifact for an update cohort."
inputs,,analysis/codex_screening_run_artifacts_20260706/inputs/dedup_update_2026-06-10/crossref_checked_stats.json,586,0ee0f98f8fe5e033b40f92c4d069f3d7c20a82a952e07f178d2958d96e1c3696,"Search, deduplication, Crossref audit, or screening input artifact for an update cohort."
inputs,,analysis/codex_screening_run_artifacts_20260706/inputs/dedup_update_2026-06-10/crossref_duplicate_audit.json,174680,c8ecbb96102bbce598123bf2a9422960a372aad22dbd7af1452a83d6ca34f983,"Search, deduplication, Crossref audit, or screening input artifact for an update cohort."
inputs,,analysis/codex_screening_run_artifacts_20260706/inputs/dedup_update_2026-06-10/crossref_hidden_duplicates.csv,994,3af2a681aec1a4f14f62e0934c672e7deb3a3943e87a900d47b7ad3580857e7c,"Search, deduplication, Crossref audit, or screening input artifact for an update cohort."
inputs,,analysis/codex_screening_run_artifacts_20260706/inputs/dedup_update_2026-06-10/deduplicated_records.json,1140094,3d7a9bccd84a79ba91738c0d67a38b7f27af5d27d711e77af27eeabc8fa6755d,"Search, deduplication, Crossref audit, or screening input artifact for an update cohort."
inputs,,analysis/codex_screening_run_artifacts_20260706/inputs/dedup_update_2026-06-10/deduplication_log.csv,148713,2bf85e9cf24a02c63882b2394e785cec16c37797ed96c58658920618ef8b58cd,"Search, deduplication, Crossref audit, or screening input artifact for an update cohort."
inputs,,analysis/codex_screening_run_artifacts_20260706/inputs/dedup_update_2026-06-10/deduplication_stats.json,595,ea869a02f45213befef2a102596bd324b13b6ce3c42d1f5559c8192c08364dbc,"Search, deduplication, Crossref audit, or screening input artifact for an update cohort."
inputs,,analysis/codex_screening_run_artifacts_20260706/inputs/dedup_update_2026-06-10/enrichment_log.json,11767,9b6c895666f031a65e5003e084deac5d5fcc02ce34e699f2ab1a24a61b6c9dd3,"Search, deduplication, Crossref audit, or screening input artifact for an update cohort."
inputs,,analysis/codex_screening_run_artifacts_20260706/inputs/dedup_update_2026-06-10/enrichment_short_abstracts_log.json,27505,f918091a8169844e6376b3717a61da7427ded540d4fc86954524d4f0608ac5b5,"Search, deduplication, Crossref audit, or screening input artifact for an update cohort."
inputs,,analysis/codex_screening_run_artifacts_20260706/inputs/dedup_update_2026-06-10/excluded_no_abstract.json,11694,acf924cb7d25bffa314a468eef8233bef9518e58b37bbd3836e6250958de1e15,"Search, deduplication, Crossref audit, or screening input artifact for an update cohort."
inputs,,analysis/codex_screening_run_artifacts_20260706/inputs/dedup_update_2026-06-10/new_records_after_cross_dedup.json,782825,04b7b611880de3b8bb3626b250b5b7138feb9bc397cb889f6e1b0e9022cab1a8,"Search, deduplication, Crossref audit, or screening input artifact for an update cohort."
inputs,,analysis/codex_screening_run_artifacts_20260706/inputs/dedup_update_2026-06-10/new_records_after_cross_dedup_crossref_checked.json,817462,f208cbdd6d6367edd8f0fea5948a70e8e9baabbbdfc9475429ff61e4fdc77c62,"Search, deduplication, Crossref audit, or screening input artifact for an update cohort."
