record_id,source_corpus,title,section_index,section_type,heading,heading_level,line_start,line_end,original_chars,markdown
full_2026-07-06__rec_000003,include,Short-Context Regulatory DNA Language Models with Motif-Discovery Regularization.,1,abstract,Abstract,5,7,12,1328,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000003.md
full_2026-07-06__rec_000003,include,Short-Context Regulatory DNA Language Models with Motif-Discovery Regularization.,2,introduction,Introduction,2,13,26,4890,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000003.md
full_2026-07-06__rec_000003,include,Short-Context Regulatory DNA Language Models with Motif-Discovery Regularization.,3,discussion_conclusion,Discussion,2,118,129,3577,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000003.md
full_2026-07-06__rec_000003,include,Short-Context Regulatory DNA Language Models with Motif-Discovery Regularization.,4,data_representation,Pretraining Data,3,132,137,867,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000003.md
full_2026-07-06__rec_000003,include,Short-Context Regulatory DNA Language Models with Motif-Discovery Regularization.,5,data_representation,Architecture and Pretraining,3,164,185,2097,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000003.md
full_2026-07-06__rec_000003,include,Short-Context Regulatory DNA Language Models with Motif-Discovery Regularization.,6,data_representation,Methods,2,130,286,14760,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000003.md
full_2026-07-06__rec_000060,include,Query-driven generative AI synthesizes multi-modal spatial omics from histology.,1,abstract,Abstract,3,114,207,1567,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000060.md
full_2026-07-06__rec_000060,include,Query-driven generative AI synthesizes multi-modal spatial omics from histology.,2,introduction,Introduction,3,208,299,5405,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000060.md
full_2026-07-06__rec_000060,include,Query-driven generative AI synthesizes multi-modal spatial omics from histology.,3,discussion_conclusion,Discussion,3,804,815,2857,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000060.md
full_2026-07-06__rec_000060,include,Query-driven generative AI synthesizes multi-modal spatial omics from histology.,4,data_representation,"Large-Scale, Multi-Modal Dataset for Computational Pathology",3,302,307,1664,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000060.md
full_2026-07-06__rec_000060,include,Query-driven generative AI synthesizes multi-modal spatial omics from histology.,5,data_representation,Dataset partitioning for model training and testing,3,1026,1029,766,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000060.md
full_2026-07-06__rec_000060,include,Query-driven generative AI synthesizes multi-modal spatial omics from histology.,6,data_representation,Online Methods,3,816,911,577,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000060.md
full_2026-07-06__rec_000063,include,TissueNarrator: Generative Modeling of Spatial Transcriptomics with Large Language Models.,1,abstract,Abstract,4,13,18,1951,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000063.md
full_2026-07-06__rec_000063,include,TissueNarrator: Generative Modeling of Spatial Transcriptomics with Large Language Models.,2,introduction,Introduction,3,19,30,4606,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000063.md
full_2026-07-06__rec_000063,include,TissueNarrator: Generative Modeling of Spatial Transcriptomics with Large Language Models.,3,discussion_conclusion,Discussion,3,102,105,543,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000063.md
full_2026-07-06__rec_000063,include,TissueNarrator: Generative Modeling of Spatial Transcriptomics with Large Language Models.,4,data_representation,Methods,3,143,198,6959,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000063.md
full_2026-07-06__rec_000086,include,ProCyon: A multimodal foundation model for protein phenotypes.,1,discussion_conclusion,Discussion,2,147,317,18543,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000086.md
full_2026-07-06__rec_000086,include,ProCyon: A multimodal foundation model for protein phenotypes.,2,data_representation,PROCYON-INSTRUCT dataset with 33 million protein-phenotype instructions,3,81,88,3094,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000086.md
full_2026-07-06__rec_000086,include,ProCyon: A multimodal foundation model for protein phenotypes.,3,data_representation,model architecture,2,73,146,23604,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000086.md
full_2026-07-06__rec_000090,include,Scaling Large Language Models for Next-Generation Single-Cell Analysis.,1,abstract,ABSTRACT,3,46,145,2151,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000090.md
full_2026-07-06__rec_000090,include,Scaling Large Language Models for Next-Generation Single-Cell Analysis.,2,introduction,Introduction,2,146,157,3971,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000090.md
full_2026-07-06__rec_000090,include,Scaling Large Language Models for Next-Generation Single-Cell Analysis.,3,discussion_conclusion,Discussion,2,698,817,4057,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000090.md
full_2026-07-06__rec_000090,include,Scaling Large Language Models for Next-Generation Single-Cell Analysis.,4,data_representation,Input representation,4,1140,1145,808,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000090.md
full_2026-07-06__rec_000090,include,Scaling Large Language Models for Next-Generation Single-Cell Analysis.,5,data_representation,Data Collection,3,822,829,2215,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000090.md
full_2026-07-06__rec_000090,include,Scaling Large Language Models for Next-Generation Single-Cell Analysis.,6,data_representation,Multi-Task Dataset Creation,3,946,1135,2789,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000090.md
