record_id,candidate_id,source_record_id,source_corpus,docling_markdown,title,doi,final_decision,final_code,uncertainty_reason,final_source,final_rationale,evidence_snippet,scope_primary_exclusion_code,scope_uncertainty_reason,architecture_primary_exclusion_code,architecture_uncertainty_reason
full_2026-07-06__rec_000003,full_2026-07-06__rec_000003,rec_000003,include,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000003.md,Short-Context Regulatory DNA Language Models with Motif-Discovery Regularization.,10.64898/2026.02.05.703637,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,none,none
full_2026-07-06__rec_000060,full_2026-07-06__rec_000060,rec_000060,include,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000060.md,Query-driven generative AI synthesizes multi-modal spatial omics from histology.,10.64898/2025.12.11.693669,INCLUDE,none,none,python_gate,All first-pass criteria were positive without unresolved uncertainty.,,none,none,none,none
full_2026-07-06__rec_000063,full_2026-07-06__rec_000063,rec_000063,include,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000063.md,TissueNarrator: Generative Modeling of Spatial Transcriptomics with Large Language Models.,10.1101/2025.11.24.690325,INCLUDE,none,none,python_gate,All first-pass criteria were positive without unresolved uncertainty.,,none,none,none,none
full_2026-07-06__rec_000086,full_2026-07-06__rec_000086,rec_000086,include,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000086.md,ProCyon: A multimodal foundation model for protein phenotypes.,10.1101/2024.12.10.627665,INCLUDE,none,none,python_gate,All first-pass criteria were positive without unresolved uncertainty.,,none,none,none,none
full_2026-07-06__rec_000090,full_2026-07-06__rec_000090,rec_000090,include,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000090.md,Scaling Large Language Models for Next-Generation Single-Cell Analysis.,10.1101/2025.04.14.648850,INCLUDE,none,none,python_gate,All first-pass criteria were positive without unresolved uncertainty.,,none,none,none,none
full_2026-07-06__rec_000099,full_2026-07-06__rec_000099,rec_000099,include,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000099.md,Semantic design of functional de novo genes from a genomic language model.,10.1038/s41586-025-09749-7,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,none,none
full_2026-07-06__rec_000160,full_2026-07-06__rec_000160,rec_000160,include,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000160.md,PlantCAD2: A Long-Context DNA Language Model for Cross-Species Functional Annotation in Angiosperms.,10.1101/2025.08.27.672609,EXCLUDE,EC2_no_text_component,generative_status_unclear,adjudicator,"This is a primary model paper on plant DNA sequences, but the record only shows genomic sequence pretraining and no natural-language text component or text-bio bridge. Generative status is not explicit despite the phrase ""DNA language model,"" so it remains unclear.","""pre-training DNA language models""; ""pre-trained on 65 angiosperm genomes""; ""genomic sequences""; ""single-nucleotide resolution""; no natural-language text described",EC2_no_text_component,none,none,generative_status_unclear
full_2026-07-06__rec_000184,full_2026-07-06__rec_000184,rec_000184,include,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000184.md,TRAFICA: an open chromatin language model to improve transcription factor binding affinity prediction.,10.1093/bioinformatics/btaf469,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
full_2026-07-06__rec_000246,full_2026-07-06__rec_000246,rec_000246,include,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000246.md,Cross-species modeling of plant genomes at single-nucleotide resolution using a pretrained DNA language model.,10.1073/pnas.2421738122,EXCLUDE,EC2_no_text_component,generative_status_unclear,adjudicator,"This is a primary model paper on plant DNA sequence modeling, but the provided evidence is biological sequence only and does not include natural-language text or a text-bio bridge. The model is described as pretrained, but a clearly generative mechanism is not explicit enough to resolve that criterion.","""a multispecies plant DNA LM pretrained on a curated set of 16 evolutionarily distant angiosperm genomes""; ""self-supervised pretraining on large-scale genomic datasets""; ""cross-species prediction of functional annotations""; ""captured broad evolutionary conservation and DNA sequence grammar""",EC2_no_text_component,none,none,generative_status_unclear
full_2026-07-06__rec_000313,full_2026-07-06__rec_000313,rec_000313,include,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000313.md,GENA-LM: a family of open-source foundational DNA language models for long sequences.,10.1093/nar/gkae1310,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,none,none
