category,run_label,path,bytes,sha256,description
full_runs,deepseek_v4_review_pipeline_all4027_current_rep1_watchdog_20260510T013948Z,analysis/screening_run_artifacts_after_prompt_update_20260511/full_runs/deepseek_v4_review_pipeline_all4027_current_rep1_watchdog_20260510T013948Z/agent_outputs_dedup.parquet,6788147,95354bce2b64a7a98b2282bcf394d0cf1385d5422a3643d98426055db03432c6,"Deduplicated full row-level agent outputs, including per-stage reviewer JSON fields and final decisions."
full_runs,deepseek_v4_review_pipeline_all4027_current_rep1_watchdog_20260510T013948Z,analysis/screening_run_artifacts_after_prompt_update_20260511/full_runs/deepseek_v4_review_pipeline_all4027_current_rep1_watchdog_20260510T013948Z/artifact_summary.json,1165,e0d270f78f63aa58cf9eafed73b6682c542be22cb8f0829e8415c37bbbfa21b1,"Generated artifact summary with record count, decision counts, and source result files."
full_runs,deepseek_v4_review_pipeline_all4027_current_rep1_watchdog_20260510T013948Z,analysis/screening_run_artifacts_after_prompt_update_20260511/full_runs/deepseek_v4_review_pipeline_all4027_current_rep1_watchdog_20260510T013948Z/guideline_pilot_results_all_completed_dedup.parquet,6785203,e668336b9dd54db2af570a2323d98c22d478ffe41edf2ad4a40a92a4c555ba7c,Original run-level parquet generated by watchdog/runner.
full_runs,deepseek_v4_review_pipeline_all4027_current_rep1_watchdog_20260510T013948Z,analysis/screening_run_artifacts_after_prompt_update_20260511/full_runs/deepseek_v4_review_pipeline_all4027_current_rep1_watchdog_20260510T013948Z/job_11499/api_check.json,587,e9950fd75258ce1a99dd02d17b794b9abaa7b33fddbf2c4fa25d969f236ef631,Original pipeline trace file job_11499/api_check.json.
full_runs,deepseek_v4_review_pipeline_all4027_current_rep1_watchdog_20260510T013948Z,analysis/screening_run_artifacts_after_prompt_update_20260511/full_runs/deepseek_v4_review_pipeline_all4027_current_rep1_watchdog_20260510T013948Z/job_11499/continuation_job.txt,26,3f6fcfd6495f4327eaaa6adac2feda13f35c471d9dae6fbb1b4a4558fed1e965,Original pipeline trace file job_11499/continuation_job.txt.
full_runs,deepseek_v4_review_pipeline_all4027_current_rep1_watchdog_20260510T013948Z,analysis/screening_run_artifacts_after_prompt_update_20260511/full_runs/deepseek_v4_review_pipeline_all4027_current_rep1_watchdog_20260510T013948Z/job_11499/guideline_pilot_raw_completed.csv,2824468,a811e9ecc094e8e3e8ee0ee05c7fc71a5ebf64eb5d2c06acc034a78f69f6e200,Original pipeline trace file job_11499/guideline_pilot_raw_completed.csv.
full_runs,deepseek_v4_review_pipeline_all4027_current_rep1_watchdog_20260510T013948Z,analysis/screening_run_artifacts_after_prompt_update_20260511/full_runs/deepseek_v4_review_pipeline_all4027_current_rep1_watchdog_20260510T013948Z/job_11499/guideline_pilot_raw_completed.jsonl,3947638,60debae8553facecef4b16a15f46a3a2494ac15507ea08cbc17858d657186a38,Original pipeline trace file job_11499/guideline_pilot_raw_completed.jsonl.
full_runs,deepseek_v4_review_pipeline_all4027_current_rep1_watchdog_20260510T013948Z,analysis/screening_run_artifacts_after_prompt_update_20260511/full_runs/deepseek_v4_review_pipeline_all4027_current_rep1_watchdog_20260510T013948Z/job_11499/guideline_pilot_results_partial.csv,3179352,1331c9d755ec1e0a930702cd8712cbcd9546dc155e57694048690e8226acb85e,Original pipeline trace file job_11499/guideline_pilot_results_partial.csv.
full_runs,deepseek_v4_review_pipeline_all4027_current_rep1_watchdog_20260510T013948Z,analysis/screening_run_artifacts_after_prompt_update_20260511/full_runs/deepseek_v4_review_pipeline_all4027_current_rep1_watchdog_20260510T013948Z/job_11499/post_run_watchdog_summary.json,182,792eed02c418416c4b168181f8e522008dc183704756ad8e9b90a58fc77e0ab6,Original pipeline trace file job_11499/post_run_watchdog_summary.json.
full_runs,deepseek_v4_review_pipeline_all4027_current_rep1_watchdog_20260510T013948Z,analysis/screening_run_artifacts_after_prompt_update_20260511/full_runs/deepseek_v4_review_pipeline_all4027_current_rep1_watchdog_20260510T013948Z/job_11499/pre_run_watchdog_summary.json,110,3eafefb67bcb2d94ad2300f4e3391c7312a701c460a00a1262d3479aa5ff0f37,Original pipeline trace file job_11499/pre_run_watchdog_summary.json.
