"id","label","type","__class__","route_label","model_name","lifecycle_phase","task_or_configuration_verbatim","source_object_verbatim","source_object_normalized","source_modality_normalized","transformation_chain_verbatim","transformation_chain_normalized","model_visible_form_verbatim","carrier_family","carrier_subtype","insertion_or_fusion_verbatim","fusion_topology","text_role","input_status","evidence_quote","section_heading","supporting_figure_or_table","evidence_status","uncertainty","__provenance__","merged_aliases","taxonomy_version","title","doi","input_routes"
"TaxonomyCodedRoute_61db1c980e00e2d0","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","EvenClock","OCellus","inference","text-only spatial reasoning","continuous 2D cell coordinates","cell coordinates","spatial transcriptomics","['continuous 2D cell coordinates are discretized into 18 sectors', 'each sector contributes top-N genes as a text prefix']","['continuous 2D cell coordinates', '18-sector clockface discretization', 'top-N neighboring genes as a text prefix']","EvenClock text encoding","text_native_token_stream","serialized_biological_context_or_ordered_profile","each sector contributes top-N genes as a text prefix","prefix","biological_payload","actual_model_input","each sector contributes top-N genes as a text prefix","EvenClock: text-only spatial reasoning","Figure 4a-d","text_plus_figure","","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [22], ""pages"": [19, 20], ""refs"": [""#/texts/386"", ""#/texts/389"", ""#/texts/390"", ""#/texts/391"", ""#/texts/392"", ""#/texts/393"", ""#/texts/394"", ""#/pictures/6""], ""spans"": [{""chunk"": 22, ""start"": 1963, ""end"": 2015}]}","","","","",""
"TaxonomyCodedRoute_06286629d786c7bd","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","per-gene language-model embeddings","OCellus","inference","replace the Gene Ontology annotations that GEARS depends on, serving as node features for a plug-in graph neural network over the STRING v12 protein-interaction graph","per-gene language-model embeddings","gene-level language-model embeddings","protein-protein interaction graph","['per-gene language-model embeddings extracted from the frozen OCellus backbone', 'node features for a plug-in graph neural network', 'over the STRING v12 protein-interaction graph']","['per-gene embeddings from the frozen OCellus backbone', 'node features for a plug-in GNN', 'STRING v12 protein-interaction graph']","per-gene language-model embeddings","dense_continuous_carrier","direct_projected_embedding","replace the Gene Ontology annotations that GEARS depends on","side_or_generative_conditioning","no_text_on_this_route","actual_model_input","per-gene language-model embeddings extracted from the frozen OCellus backbone replace the Gene Ontology annotations that GEARS depends on","Introduction","Figure 1b","text_plus_figure","Carrier subtype and fusion topology are inferred from the description of embeddings as node features for a plug-in GNN.","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [3, 6], ""pages"": [1, 2, 5, 6], ""refs"": [""#/tables/0"", ""#/texts/39"", ""#/texts/40"", ""#/texts/41"", ""#/texts/42"", ""#/texts/43"", ""#/texts/44"", ""#/texts/45""], ""spans"": [{""chunk"": 3, ""start"": 1718, ""end"": 1752}, {""chunk"": 6, ""start"": 977, ""end"": 1011}]}","","","","",""
"TaxonomyCodedRoute_a4377776f712355e","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","OCellus-Agent","OCellus-Agent","inference","Planner-Router-Verifier system","natural-language biological queries","biological queries","natural language","['natural-language biological queries', 'Planner-Router-Verifier system', 'executable directed acyclic graphs of typed tool calls']","['natural-language biological queries', 'Planner-Router-Verifier system', 'typed tool-call DAGs']","natural-language biological queries","text_native_token_stream","plain_language_prompt_or_question","accepts natural-language biological queries and produces executable directed acyclic graphs of typed tool calls","retrieval_or_tool_context","instruction_or_query","actual_model_input","accepts natural-language biological queries and produces executable directed acyclic graphs of typed tool calls","Introduction","","explicit_text","","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [6], ""pages"": [5, 6], ""refs"": [""#/texts/117"", ""#/texts/120"", ""#/texts/121"", ""#/texts/122"", ""#/texts/123"", ""#/texts/124"", ""#/texts/125"", ""#/texts/126""], ""spans"": [{""chunk"": 6, ""start"": 1323, ""end"": 1434}]}","","","","",""
"TaxonomyCodedRoute_3d2f13c6171e25c7","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","scRNA-seq","OCellus","pretraining","Training from multi-modal single-cell data","scRNA-seq","single-cell RNA sequencing data","single-cell transcriptomics","['scRNA-seq', 'fed into an OCellus Transformer Encoder', 'Multi-modal Cell Embedding']","['scRNA-seq data', 'OCellus Transformer Encoder', 'multi-modal cell embedding']","scRNA-seq","other_evidence_grounded","other_evidence_grounded","fed into an OCellus Transformer Encoder","other_explicit","no_text_on_this_route","actual_model_input","scRNA-seq","The OCellus framework","Figure 1a","text_plus_figure","The document shows scRNA-seq as an input modality but does not specify the exact serialization before the encoder.","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [7, 9, 57], ""pages"": [6, 7, 8, 51], ""refs"": [""#/texts/139"", ""#/pictures/0"", ""#/pictures/2"", ""#/texts/145"", ""#/texts/146"", ""#/texts/147"", ""#/texts/148"", ""#/texts/149""], ""spans"": [{""chunk"": 7, ""start"": 1452, ""end"": 1461}, {""chunk"": 9, ""start"": 382, ""end"": 391}, {""chunk"": 57, ""start"": 1247, ""end"": 1256}]}","","","","",""
"TaxonomyCodedRoute_db3015dac2bc6de4","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","scPerturb-seq","OCellus","pretraining","Training from multi-modal single-cell data","scPerturb-seq","perturbation single-cell sequencing data","single-cell sequencing","['scPerturb-seq', 'OCellus Transformer Encoder', 'Multi-modal Cell Embedding']","['perturbation single-cell sequencing data', 'OCellus Transformer Encoder', 'multi-modal cell embedding']","scPerturb-seq","other_evidence_grounded","other_evidence_grounded","These modalities are grouped by a brace and fed into an OCellus Transformer Encoder.","unclear","biological_payload","actual_model_input","scPerturb-seq","The OCellus framework","Panel a","figure_only","","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [7, 9, 12, 13, 56], ""pages"": [6, 7, 8, 10, 11, 50, 51], ""refs"": [""#/texts/139"", ""#/pictures/0"", ""#/pictures/2"", ""#/texts/145"", ""#/texts/146"", ""#/texts/147"", ""#/texts/148"", ""#/texts/149""], ""spans"": [{""chunk"": 7, ""start"": 1468, ""end"": 1481}, {""chunk"": 9, ""start"": 433, ""end"": 446}, {""chunk"": 7, ""start"": 1470, ""end"": 1481}, {""chunk"": 9, ""start"": 435, ""end"": 446}]}","[{'id': 'TaxonomyCodedRoute_de0df10edde86ef0', 'route_label': 'Perturb-Seq', 'model_name': 'OCellus', 'lifecycle_phase': 'pretraining', 'task_or_configuration_verbatim': 'Training data sources (SToCorpus-88M + salusSTS + perturbation)', 'source_object_verbatim': 'Perturb-Seq', 'source_object_normalized': 'Perturb-Seq', 'source_modality_normalized': 'single-cell perturbation transcriptomics', 'model_visible_form_verbatim': 'Perturb-Seq', 'carrier_family': 'text_native_token_stream', 'carrier_subtype': 'other_evidence_grounded', 'insertion_or_fusion_verbatim': 'Legend lists biological data sources and proportions', 'fusion_topology': 'unclear', 'text_role': 'metadata_or_context', 'input_status': 'actual_model_input', 'evidence_quote': 'Perturb-Seq: 4%', 'section_heading': 'The OCellus framework', 'supporting_figure_or_table': 'OCellus Training Data Composition', 'evidence_status': 'figure_only'}]","","","",""
"TaxonomyCodedRoute_dc2ca1c9094108a9","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Spatial transcriptomics","OCellus","pretraining","Training from multi-modal single-cell data","Spatial transcriptomics","spatial transcriptomics data","spatial transcriptomics","['Spatial transcriptomics', 'OCellus Transformer Encoder', 'Multi-modal Cell Embedding']","['spatial transcriptomics data', 'OCellus Transformer Encoder', 'multi-modal cell embedding']","Spatial transcriptomics","other_evidence_grounded","other_evidence_grounded","These modalities are grouped by a brace and fed into an OCellus Transformer Encoder.","unclear","biological_payload","actual_model_input","Spatial transcriptomics","The OCellus framework","Panel a","figure_only","","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [7], ""pages"": [6, 7], ""refs"": [""#/texts/139"", ""#/pictures/0""], ""spans"": [{""chunk"": 7, ""start"": 1354, ""end"": 1396}]}","","","","",""
"TaxonomyCodedRoute_57e85a17b8eaf55f","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","OCellus Transformer Encoder","OCellus","pretraining","Training from multi-modal single-cell data","Training from multi-modal single-cell data","multi-modal single-cell data","single-cell","['Training from multi-modal single-cell data', 'OCellus Transformer Encoder', 'Multi-modal Cell Embedding']","['multi-modal single-cell data', 'OCellus Transformer Encoder', 'multi-modal cell embedding']","OCellus Transformer Encoder","other_evidence_grounded","other_evidence_grounded","These modalities are grouped by a brace and fed into an OCellus Transformer Encoder.","unclear","metadata_or_context","actual_model_input","OCellus Transformer Encoder","The OCellus framework","Panel a","figure_only","","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [7, 9], ""pages"": [6, 7, 8], ""refs"": [""#/texts/139"", ""#/pictures/0"", ""#/pictures/2"", ""#/texts/145"", ""#/texts/146"", ""#/texts/147"", ""#/texts/148"", ""#/texts/149""], ""spans"": [{""chunk"": 7, ""start"": 1572, ""end"": 1599}, {""chunk"": 9, ""start"": 347, ""end"": 374}]}","","","","",""
"TaxonomyCodedRoute_bdb2e7fe1d0f60c6","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Multi-modal Cell Embedding","OCellus","pretraining","Data integration","OCellus Transformer Encoder","encoder outputs","single-cell","['OCellus Transformer Encoder', 'Multi-modal Cell Embedding']","['OCellus Transformer Encoder', 'multi-modal cell embedding']","Multi-modal Cell Embedding","dense_continuous_carrier","pooled_or_aggregated_embedding","The multi-modal cell embedding flows into Data integration.","unclear","generated_output","generated_output","Multi-modal Cell Embedding","The OCellus framework","Panel a","figure_only","","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [7, 9], ""pages"": [6, 7, 8], ""refs"": [""#/texts/139"", ""#/pictures/0"", ""#/pictures/2"", ""#/texts/145"", ""#/texts/146"", ""#/texts/147"", ""#/texts/148"", ""#/texts/149""], ""spans"": [{""chunk"": 7, ""start"": 1640, ""end"": 1666}, {""chunk"": 9, ""start"": 595, ""end"": 621}]}","","","","",""
"TaxonomyCodedRoute_4f0e934add65ba1c","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Qwen LLM model","Qwen LLM model","pretraining","OCellus pretraining and alignment (based on Qwen LLM)","Multi-modal Cell Embedding","multi-modal cell embedding","multi-modal single-cell data","['Multi-modal Cell Embedding', 'Data integration', 'Qwen LLM model']","['multi-modal cell embedding', 'data integration', 'qwen llm model']","Qwen LLM model","dense_continuous_carrier","connector_mediated_embedding","Data integration","shared_latent_alignment","metadata_or_context","actual_model_input","Data integration connects to a `Qwen LLM model`.","The OCellus framework","Figure 1a","text_plus_figure","Exact carrier serialization is not specified in the text.","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [7], ""pages"": [6, 7], ""refs"": [""#/texts/139"", ""#/pictures/0""], ""spans"": [{""chunk"": 7, ""start"": 1895, ""end"": 1909}]}","","","","",""
"TaxonomyCodedRoute_39b7d5be32d1f56d","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Tiny LLM","Tiny LLM","unclear","OCellus pretraining and alignment (based on Qwen LLM)","Qwen LLM model","qwen llm model","unclear","['Qwen LLM model', 'Tiny LLM']","['qwen llm model', 'tiny llm']","Tiny LLM","other_evidence_grounded","other_evidence_grounded","connects to a `Tiny LLM`","other_explicit","metadata_or_context","actual_model_input","The Qwen LLM model connects to a `Tiny LLM`.","The OCellus framework","Figure 1a","text_plus_figure","The intermediate interface between Qwen and Tiny is not specified.","{""document_id"": ""9154912d2561c15bf30bec3bac821183"", ""match"": ""verbatim"", ""chunks"": [7], ""pages"": [6, 7], ""refs"": [""#/texts/139"", ""#/pictures/0""], ""spans"": [{""chunk"": 7, ""start"": 1948, ""end"": 1956}]}","","","","",""
