route_id,record_id,model_id,configuration_id,disposition,changed_fields,confidence,rationale
route_49e2cc9a5c64,full_2026-07-06__rec_000060,model_ff0ac12f6b2a,config_3f6b2df58274,unchanged_outside_f6_correction_population,[],not_applicable,Outside the frozen correction population.
route_0d733b511958,full_2026-07-06__rec_000060,model_ff0ac12f6b2a,config_3f6b2df58274,unchanged_outside_f6_correction_population,[],not_applicable,Outside the frozen correction population.
route_226242be284c,full_2026-07-06__rec_000060,model_ff0ac12f6b2a,config_df2e5ea900f1,unchanged_outside_f6_correction_population,[],not_applicable,Outside the frozen correction population.
route_39890e09066d,full_2026-07-06__rec_000060,model_ff0ac12f6b2a,config_df2e5ea900f1,unchanged_outside_f6_correction_population,[],not_applicable,Outside the frozen correction population.
route_de59b0fceddc,full_2026-07-06__rec_000063,model_df8ed6559ceb,config_5e8d49c69552,unchanged_outside_f6_correction_population,[],not_applicable,Outside the frozen correction population.
route_a5e96dd9a19b,full_2026-07-06__rec_000063,model_df8ed6559ceb,config_0483e926ac88,unchanged_outside_f6_correction_population,[],not_applicable,Outside the frozen correction population.
route_dbc6b7ab297a,full_2026-07-06__rec_000063,model_df8ed6559ceb,config_597a8a8b8d6b,unchanged_outside_f6_correction_population,[],not_applicable,Outside the frozen correction population.
route_5a170efb9d64,full_2026-07-06__rec_000063,model_df8ed6559ceb,config_1dbd78fd297a,unchanged_outside_f6_correction_population,[],not_applicable,Outside the frozen correction population.
route_24ffc126eb25,full_2026-07-06__rec_000063,model_df8ed6559ceb,config_bc93787e451a,unchanged_outside_f6_correction_population,[],not_applicable,Outside the frozen correction population.
route_6ccf596636de,full_2026-07-06__rec_000063,model_df8ed6559ceb,config_c72b62f6828f,unchanged_outside_f6_correction_population,[],not_applicable,Outside the frozen correction population.
route_a3f58fcbfec1,full_2026-07-06__rec_000063,model_df8ed6559ceb,config_bdaf00473df9,unchanged_outside_f6_correction_population,[],not_applicable,Outside the frozen correction population.
route_9a2e2f038920,full_2026-07-06__rec_000086,model_f8e766fddf66,config_a5406ac959eb,unchanged_outside_f6_correction_population,[],not_applicable,Outside the frozen correction population.
route_440ad7fad63b,full_2026-07-06__rec_000086,model_b1f724b128da,config_f42dcc13c120,unchanged_outside_f6_correction_population,[],not_applicable,Outside the frozen correction population.
route_de75413d9ba2,full_2026-07-06__rec_000086,model_b1f724b128da,config_f42dcc13c120,unchanged_outside_f6_correction_population,[],not_applicable,Outside the frozen correction population.
route_caa6f466af38,full_2026-07-06__rec_000086,model_b1f724b128da,config_d9c453530470,unchanged_outside_f6_correction_population,[],not_applicable,Outside the frozen correction population.
route_c4afa80469f5,full_2026-07-06__rec_000086,model_b1f724b128da,config_d9c453530470,unchanged_outside_f6_correction_population,[],not_applicable,Outside the frozen correction population.
route_4c1c9b303c55,full_2026-07-06__rec_000086,model_b1f724b128da,config_d9c453530470,unchanged_outside_f6_correction_population,[],not_applicable,Outside the frozen correction population.
route_9d3af98fe18f,full_2026-07-06__rec_000086,model_f8e766fddf66,config_2f56a8eaf38c,unchanged_outside_f6_correction_population,[],not_applicable,Outside the frozen correction population.
route_5d20ca16ef9b,full_2026-07-06__rec_000086,model_f8e766fddf66,config_54ef93b735da,unchanged_outside_f6_correction_population,[],not_applicable,Outside the frozen correction population.
route_3e07d92b7f4a,full_2026-07-06__rec_000086,model_f8e766fddf66,config_e5d13f421ef7,unchanged_outside_f6_correction_population,[],not_applicable,Outside the frozen correction population.
route_35c4dd0a1c2f,full_2026-07-06__rec_000086,model_f8e766fddf66,config_f27afc5252c3,unchanged_outside_f6_correction_population,[],not_applicable,Outside the frozen correction population.
route_18a49a03ed5f,full_2026-07-06__rec_000086,model_f8e766fddf66,config_ef318b451e47,revise_fields,"['carrier_family', 'carrier_subtype', 'evidence_quote', 'evidence_status', 'fusion_topology', 'insertion_or_fusion_verbatim', 'lifecycle_phase', 'model_visible_form_verbatim', 'section_heading', 'source_modality_normalized', 'source_object_normalized', 'source_object_verbatim', 'supporting_figure_or_table', 'task_or_configuration_verbatim', 'text_role', 'transformation_chain_normalized', 'transformation_chain_verbatim', 'uncertainty']",high,"This label is grounded in Figure 1c as one of the source databases curated into PROCYON-INSTRUCT, and the caption states that those pairs were turned into instruction tuning examples. It is therefore a fine-tuning source-to-model route, not an evaluation peptide route."
