candidate_id,record_id,status,doi,title,folder,attempt_count
full_2026-07-06__rec_002517,rec_002517,pdf_downloaded,10.48550/arXiv.2402.08303,ChatCell: Facilitating Single-Cell Analysis with Natural Language,data/full_text_include_missing_retry_2026-07-09/pass3_manual_url_hits/full_2026-07-06__rec_002517__ChatCell_Facilitating_Single-Cell_Analysis_with_Natural_Language,1
full_2026-07-06__rec_003081,rec_003081,no_pdf_found,,scMulan: a multitask generative pre-trained language model for single-cell analysis,data/full_text_include_missing_retry_2026-07-09/pass3_manual_url_hits/full_2026-07-06__rec_003081__scMulan_a_multitask_generative_pre-trained_language_model_for_single-c,1
full_2026-07-06__rec_003121,rec_003121,no_pdf_found,,A long range foundation model for zero-shot predictions in single-cell and spatial transcriptomics data,data/full_text_include_missing_retry_2026-07-09/pass3_manual_url_hits/full_2026-07-06__rec_003121__A_long_range_foundation_model_for_zero-shot_predictions_in_single-cell,2
full_2026-07-06__rec_003351,rec_003351,no_pdf_found,,scgpt-spatial: Continual pretraining of single-cell foundation model for spatial transcriptomics. bioRxiv,data/full_text_include_missing_retry_2026-07-09/pass3_manual_url_hits/full_2026-07-06__rec_003351__scgpt-spatial_Continual_pretraining_of_single-cell_foundation_model_fo,1
full_2026-07-06__rec_003629,rec_003629,pdf_downloaded,,Phenotype-Guided In Silico Molecular Generation Using Large Language Models,data/full_text_include_missing_retry_2026-07-09/pass3_manual_url_hits/full_2026-07-06__rec_003629__Phenotype-Guided_In_Silico_Molecular_Generation_Using_Large_Language_M,1
full_2026-07-06__rec_003641,rec_003641,no_pdf_found,,Generating and decoding methylated DNA with a Human Epigenetic Foundation Model,data/full_text_include_missing_retry_2026-07-09/pass3_manual_url_hits/full_2026-07-06__rec_003641__Generating_and_decoding_methylated_DNA_with_a_Human_Epigenetic_Foundat,3
full_2026-07-06__rec_003726,rec_003726,pdf_downloaded,,Temporal AI model predicts drivers of cell state trajectories across human aging,data/full_text_include_missing_retry_2026-07-09/pass3_manual_url_hits/full_2026-07-06__rec_003726__Temporal_AI_model_predicts_drivers_of_cell_state_trajectories_across_h,1
full_2026-07-06__rec_003902,rec_003902,pdf_downloaded,,CellSwarm: LLM-Driven Cell Agents Recapitulate Tumor Microenvironment Dynamics and Sense Indirect Genetic Perturbations,data/full_text_include_missing_retry_2026-07-09/pass3_manual_url_hits/full_2026-07-06__rec_003902__CellSwarm_LLM-Driven_Cell_Agents_Recapitulate_Tumor_Microenvironment_D,1
full_2026-07-06__rec_003963,rec_003963,pdf_downloaded,,Phenotypic Bioactivity Prediction as Open-set Biological Assay Querying,data/full_text_include_missing_retry_2026-07-09/pass3_manual_url_hits/full_2026-07-06__rec_003963__Phenotypic_Bioactivity_Prediction_as_Open-set_Biological_Assay_Queryin,1
june_update_2026-06-10__rec_000092,rec_000092,no_pdf_found,10.1002/advs.75772,PlantGFM: A Genomic Foundation Model for Discovery and Creation of Plant Genes,data/full_text_include_missing_retry_2026-07-09/pass3_manual_url_hits/june_update_2026-06-10__rec_000092__PlantGFM_A_Genomic_Foundation_Model_for_Discovery_and_Creation_of_Plan,1
full_2026-07-06__rec_001546,rec_001546,no_pdf_found,10.1158/1538-7445.genfunc25-b041,Abstract B041: Predicting T-cell receptor specificity and phenotype using transfer learning models,data/full_text_include_missing_retry_2026-07-09/pass3_manual_url_hits/full_2026-07-06__rec_001546__Abstract_B041_Predicting_T-cell_receptor_specificity_and_phenotype_usi,1
full_2026-07-06__rec_002283,rec_002283,no_pdf_found,10.1158/1538-7445.genfunc25-b037,Abstract B037: Revolutionizing stem cell classification and genotypic profiling with large language models: scGPT-driven advances in single-cell genomics,data/full_text_include_missing_retry_2026-07-09/pass3_manual_url_hits/full_2026-07-06__rec_002283__Abstract_B037_Revolutionizing_stem_cell_classification_and_genotypic_p,1
full_2026-07-06__rec_003554,rec_003554,no_pdf_found,10.1158/1538-7445.am2026-2754,Abstract 2754: VGL: Vision-Gene-Language multimodal LLM integrating histopathology and gene expression for cell type classification in lung cancer.,data/full_text_include_missing_retry_2026-07-09/pass3_manual_url_hits/full_2026-07-06__rec_003554__Abstract_2754_VGL_Vision-Gene-Language_multimodal_LLM_integrating_hist,1
