candidate_type,route_id,configuration_id,model_id,study_id,record_id,title,route_label,model_name,lifecycle_phase,task_or_configuration_verbatim,source_object_verbatim,source_object_normalized,source_modality_normalized,transformation_chain_verbatim,transformation_chain_normalized,model_visible_form_verbatim,carrier_family,carrier_subtype,insertion_or_fusion_verbatim,fusion_topology,text_role,input_status,evidence_quote,section_heading,supporting_figure_or_table,evidence_status,uncertainty,source_candidate_refs,dense_candidate_refs,pages,doc_item_refs,provenance_match,picture_only_provenance,candidate_quote_match,quote_verified_in_canonical_markdown,quote_verified_in_native_items,taxonomy_consistent,final_grounding_valid,semantic_correction
accepted_input_route,route_49e2cc9a5c64,config_3f6b2df58274,model_ff0ac12f6b2a,study_b4bb1defb3cb,full_2026-07-06__rec_000060,Query-driven generative AI synthesizes multi-modal spatial omics from histology.,TissueCraftAI histology image conditioning,TissueCraftAI,inference,For predicting protein and RNA expression,H&E histology image,H&E histology image,histology/slide image,"['serves as a conditioning image', 'processed by a ControlNet neural network', 'merged with a text encoder output via cross-attention', 'decoded by a VAE']","['conditioning image', 'ControlNet image encoding', 'cross-attention fusion', 'VAE decoding']",conditioning image,visual_raster_carrier,raw_slide_or_patch_input,A ControlNet neural network encodes the conditioning image,side_or_generative_conditioning,no_text_on_this_route,actual_model_input,For predicting protein and RNA expression,The TissueCraftAI Framework,Figure 1d,explicit_text,,['full_2026-07-06__rec_000060::route_001'],"['dense::full_2026-07-06__rec_000060::0042', 'dense::full_2026-07-06__rec_000060::0043']","[11, 18, 19]","['#/pictures/0', '#/texts/483', '#/texts/484', '#/texts/485', '#/texts/486', '#/texts/487', '#/texts/488', '#/texts/489', '#/texts/490', '#/texts/865', '#/texts/866', '#/texts/867', '#/texts/868', '#/texts/869', '#/texts/870', '#/texts/871']",['verbatim'],False,True,True,False,True,True,
accepted_input_route,route_0d733b511958,config_3f6b2df58274,model_ff0ac12f6b2a,study_b4bb1defb3cb,full_2026-07-06__rec_000060,Query-driven generative AI synthesizes multi-modal spatial omics from histology.,TissueCraftAI molecular-target text prompting,TissueCraftAI,inference,For predicting protein and RNA expression,structured text prompt,structured text prompt,text,"['formatted as a molecular-target prompt', 'processed by a text encoder', 'merged with morphological features via cross-attention', 'decoded by a VAE']","['prompt formatting', 'text encoding', 'cross-attention fusion', 'VAE decoding']",structured text prompt tokens,text_native_token_stream,structured_biological_prompt_or_task_scaffold,a user-defined text prompt specifies the molecular target,cross_attention,modality_or_task_selector,actual_model_input,For predicting protein and RNA expression,Task formulation and text prompts,Figure 1d,explicit_text,,['full_2026-07-06__rec_000060::route_002'],"['dense::full_2026-07-06__rec_000060::0042', 'dense::full_2026-07-06__rec_000060::0043']","[11, 18, 19]","['#/pictures/0', '#/texts/483', '#/texts/484', '#/texts/485', '#/texts/486', '#/texts/487', '#/texts/488', '#/texts/489', '#/texts/490', '#/texts/865', '#/texts/866', '#/texts/867', '#/texts/868', '#/texts/869', '#/texts/870', '#/texts/871']",['verbatim'],False,True,True,False,True,True,
accepted_input_route,route_226242be284c,config_df2e5ea900f1,model_ff0ac12f6b2a,study_b4bb1defb3cb,full_2026-07-06__rec_000060,Query-driven generative AI synthesizes multi-modal spatial omics from histology.,TissueCraftAI DAPI image conditioning,TissueCraftAI,inference,For the DAPI-to-H&E translation task,DAPI nuclear-staining slide,DAPI nuclear-staining slide,histology/slide image,"['serves as a conditioning image', 'processed by a ControlNet neural network', 'merged with a text encoder output via cross-attention', 'decoded by a VAE']","['conditioning image', 'ControlNet image encoding', 'cross-attention fusion', 'VAE decoding']",conditioning image,visual_raster_carrier,raw_slide_or_patch_input,"a 4',6 -diamidino-2-phenylindole (DAPI) nuclear-staining slide, serves as a conditioning image",side_or_generative_conditioning,no_text_on_this_route,actual_model_input,DAPI nuclear-staining slide,The TissueCraftAI Framework,Figure 2,explicit_text,,['full_2026-07-06__rec_000060::route_003'],['dense::full_2026-07-06__rec_000060::0041'],"[11, 18, 19]","['#/pictures/0', '#/texts/483', '#/texts/484', '#/texts/485', '#/texts/486', '#/texts/487', '#/texts/488', '#/texts/489', '#/texts/490', '#/texts/865', '#/texts/866', '#/texts/867', '#/texts/868', '#/texts/869', '#/texts/870', '#/texts/871']",['verbatim'],False,True,True,False,True,True,
accepted_input_route,route_39890e09066d,config_df2e5ea900f1,model_ff0ac12f6b2a,study_b4bb1defb3cb,full_2026-07-06__rec_000060,Query-driven generative AI synthesizes multi-modal spatial omics from histology.,TissueCraftAI H&E generation text prompting,TissueCraftAI,inference,For the DAPI-to-H&E translation task,text prompt,text prompt,text,"['prompt specifies the target image', 'processed by a text encoder', 'merged with the conditioning image via cross-attention', 'decoded by a VAE']","['prompt specification', 'text encoding', 'cross-attention fusion', 'VAE decoding']",plain-language prompt tokens,text_native_token_stream,plain_language_prompt_or_question,"we used the prompt ""predict corresponding H&E image""",cross_attention,instruction_or_query,actual_model_input,semantic feature vectors,Task formulation and text prompts,Figure 2,explicit_text,,['full_2026-07-06__rec_000060::route_004'],['dense::full_2026-07-06__rec_000060::0041'],"[11, 18, 19]","['#/pictures/0', '#/texts/483', '#/texts/484', '#/texts/485', '#/texts/486', '#/texts/487', '#/texts/488', '#/texts/489', '#/texts/490', '#/texts/865', '#/texts/866', '#/texts/867', '#/texts/868', '#/texts/869', '#/texts/870', '#/texts/871']",['verbatim'],False,True,True,False,True,True,
accepted_input_route,route_de59b0fceddc,config_5e8d49c69552,model_df8ed6559ceb,study_b53ceb5b4db2,full_2026-07-06__rec_000063,TISSUENARRATOR: Generative Modeling of Spatial Transcriptomics with Large Language Models.,Spatial sentence fine-tuning,TISSUENARRATOR,fine_tuning,fine-tuning on spatial sentences,an input tissue section,tissue section,spatial transcriptomics,"['transform each cell into cell sentences', 'assemble a 1D spatial sentence']","['cell sentence serialization', 'spatial sentence serialization']",1D spatial sentence,text_native_token_stream,serialized_biological_context_or_ordered_profile,fine-tune an LLM using next-token prediction,tokenizer_sequence,biological_payload,actual_model_input,"An overview of the TISSUENARRATOR framework is shown in Fig. 1A. On an input tissue section, TISSUENARRATOR starts by transforming each cell into the natural language space by encoding gene expression as 'cell sentences', a list of genes ranked by gene expression level. All cell sentences in a tissue patch are then assembled into a 1D 'spatial sentence', where cells are serialized by proximitybased traversal. This spatial sentence then serves as the input for fine-tuning an LLM to learn cell generation through next-token prediction. The fine-tuned model fits multiple downstream applications, including cell generation, neighborhood perturbation, genetic perturbation, and conversational tissue querying. Further details of TISSUENARRATOR can be found in the Methods section.",Overview of generative modeling in TISSUENARRATOR,Fig. 1A,text_plus_figure,,['full_2026-07-06__rec_000063::route_001'],"['dense::full_2026-07-06__rec_000063::0014', 'dense::full_2026-07-06__rec_000063::0031']","[3, 4, 11, 12]","['#/texts/123', '#/texts/124', '#/texts/125', '#/texts/126', '#/texts/129', '#/texts/130', '#/texts/131', '#/texts/132', '#/texts/221', '#/texts/222', '#/texts/223', '#/texts/225', '#/texts/226', '#/texts/227', '#/texts/228', '#/texts/229', '#/texts/232', '#/texts/233', '#/texts/234']",['verbatim'],False,True,True,True,True,True,
accepted_input_route,route_a5e96dd9a19b,config_0483e926ac88,model_df8ed6559ceb,study_b53ceb5b4db2,full_2026-07-06__rec_000063,TISSUENARRATOR: Generative Modeling of Spatial Transcriptomics with Large Language Models.,Cell generation from spatial neighborhood,TISSUENARRATOR,inference,cell generation mode (conditional generation / unconditional generation),a tissue neighborhood around a target cell,tissue neighborhood around a target cell,spatial transcriptomics,"['encode neighboring cells as cell sentences', 'assemble them into a spatial sentence']","['neighboring-cell sentence serialization', 'spatial sentence assembly']",spatial sentence,text_native_token_stream,serialized_biological_context_or_ordered_profile,conditioned generation through next-token prediction,tokenizer_sequence,biological_payload,actual_model_input,Given the cell sentences from neighboring cells and the spatial location of a target cell,TISSUENARRATOR inference,Fig. 1A,text_plus_figure,,['full_2026-07-06__rec_000063::route_002'],"['dense::full_2026-07-06__rec_000063::0001', 'dense::full_2026-07-06__rec_000063::0016', 'dense::full_2026-07-06__rec_000063::0017', 'dense::full_2026-07-06__rec_000063::0018']","[3, 4, 12, 13, 14]","['#/texts/123', '#/texts/124', '#/texts/125', '#/texts/126', '#/texts/129', '#/texts/130', '#/texts/131', '#/texts/132', '#/texts/242', '#/texts/243', '#/texts/244', '#/texts/245', '#/texts/247', '#/texts/248', '#/texts/250', '#/texts/251', '#/texts/252', '#/texts/253', '#/texts/254', '#/texts/256', '#/texts/257', '#/texts/258']",['verbatim'],False,True,True,False,True,True,
accepted_input_route,route_dbc6b7ab297a,config_597a8a8b8d6b,model_df8ed6559ceb,study_b53ceb5b4db2,full_2026-07-06__rec_000063,TISSUENARRATOR: Generative Modeling of Spatial Transcriptomics with Large Language Models.,Neighborhood perturbation generation,TISSUENARRATOR,inference,predicting response to neighborhood composition,a neighborhood with counterfactual cell-type composition,counterfactual neighborhood cell-type composition,spatial transcriptomics,"['serialize the neighborhood as a spatial sentence', 'predict the target cell within the altered neighborhood']","['neighborhood serialization into spatial sentence', 'conditional target-cell generation']",spatial sentence,text_native_token_stream,serialized_biological_context_or_ordered_profile,conditional generation through next-token prediction,tokenizer_sequence,biological_payload,actual_model_input,TISSUENARRATOR predicts a target cell within a neighborhood with counterfactual cell-type composition,Real data applications,Fig. 1B,text_plus_figure,,['full_2026-07-06__rec_000063::route_003'],"['dense::full_2026-07-06__rec_000063::0004', 'dense::full_2026-07-06__rec_000063::0017', 'dense::full_2026-07-06__rec_000063::0019']","[3, 4, 6, 7, 11, 13, 14]","['#/pictures/0', '#/texts/123', '#/texts/124', '#/texts/125', '#/texts/126', '#/texts/129', '#/texts/130', '#/texts/131', '#/texts/250', '#/texts/251', '#/texts/252', '#/texts/253', '#/texts/254', '#/texts/256', '#/texts/257', '#/texts/258']",['verbatim'],False,True,True,False,True,True,
accepted_input_route,route_5a170efb9d64,config_1dbd78fd297a,model_df8ed6559ceb,study_b53ceb5b4db2,full_2026-07-06__rec_000063,TISSUENARRATOR: Generative Modeling of Spatial Transcriptomics with Large Language Models.,Genetic perturbation generation,TISSUENARRATOR,inference,predicting effects of genetic perturbation,an edited or perturbed neighboring cell,edited or perturbed neighboring cell,spatial transcriptomics,"['serialize the perturbed cell and its context', 'predict the target cell given the perturbed neighbor']","['perturbed-neighbor serialization', 'conditional target-cell generation']",spatial sentence,text_native_token_stream,serialized_biological_context_or_ordered_profile,conditioned generation through next-token prediction,tokenizer_sequence,biological_payload,actual_model_input,TISSUENARRATOR predicts a target cell given an edited or perturbed neighboring cell,Real data applications,Fig. 1B,text_plus_figure,,['full_2026-07-06__rec_000063::route_004'],"['dense::full_2026-07-06__rec_000063::0003', 'dense::full_2026-07-06__rec_000063::0017', 'dense::full_2026-07-06__rec_000063::0020']","[3, 4, 6, 7, 11, 13, 14]","['#/pictures/0', '#/texts/123', '#/texts/124', '#/texts/125', '#/texts/126', '#/texts/129', '#/texts/130', '#/texts/131', '#/texts/250', '#/texts/251', '#/texts/252', '#/texts/253', '#/texts/254', '#/texts/256', '#/texts/257', '#/texts/258']",['verbatim'],False,True,True,False,True,True,
accepted_input_route,route_24ffc126eb25,config_bc93787e451a,model_df8ed6559ceb,study_b53ceb5b4db2,full_2026-07-06__rec_000063,TISSUENARRATOR: Generative Modeling of Spatial Transcriptomics with Large Language Models.,Spatial Q&A: top cell types,TISSUENARRATOR,evaluation,"given the name of an anatomical structure, return the top 5 most abundant cell types",the name of an anatomical structure,anatomical structure name,text,"['form a natural-language question', 'fine-tune on questions derived from held-out structures']","['natural-language question formation', 'task-specific fine-tuning on held-out structures']",natural-language query,text_native_token_stream,structured_biological_prompt_or_task_scaffold,conversational interface,tokenizer_sequence,instruction_or_query,actual_model_input,"given the name of an anatomical structure, (1) return the top 5 most abundant cell types",TISSUENARRATOR enables interactive Q&A about spatial regions,Fig. 5A,text_plus_figure,,['full_2026-07-06__rec_000063::route_006'],['dense::full_2026-07-06__rec_000063::0002'],"[3, 4, 8, 11, 13]","['#/pictures/0', '#/texts/123', '#/texts/124', '#/texts/125', '#/texts/126', '#/texts/129', '#/texts/130', '#/texts/131', '#/texts/196']",['verbatim'],False,True,True,False,True,True,
accepted_input_route,route_6ccf596636de,config_c72b62f6828f,model_df8ed6559ceb,study_b53ceb5b4db2,full_2026-07-06__rec_000063,TISSUENARRATOR: Generative Modeling of Spatial Transcriptomics with Large Language Models.,Spatial Q&A: top genes,TISSUENARRATOR,evaluation,"given the name of an anatomical structure, list the top 20 highly expressed genes",the name of an anatomical structure,anatomical structure name,text,"['form a natural-language question', 'fine-tune on questions derived from held-out structures']","['natural-language question formation', 'task-specific fine-tuning on held-out structures']",natural-language query,text_native_token_stream,structured_biological_prompt_or_task_scaffold,conversational interface,tokenizer_sequence,instruction_or_query,actual_model_input,"To evaluate TISSUENARRATOR's ability to apply biological prior knowledge and learned spatial knowledge in a Q&A setting, we constructed a proof-of-concept dataset covering three tasks: given the name of an anatomical structure, (1) return the top 5 most abundant cell types, (2) list the top 20 highly expressed genes, and (3) generate a natural-language description of the structure. Details of data curation and task examples are provided in Supplementary Note D. We split the dataset by structure name, fine-tuned TISSUENARRATOR, and evaluated the model on questions derived from held-out structures. TISSUENARRATOR generalizes to unseen anatomical structure names in natural language queries by building on the pretrained knowledge of its LLM backbone. For example, it can generate the exact top five cell types for the Dorsal peduncular area ( Fig. 5A) and also produces a coherent, biologically grounded paragraph describing cranial nerves ( Fig. 5B), These examples highlight the model's ability to link spatial context with natural language explanations, a bridge between data-driven cell modeling and user-friendly querying. Moreover, fine-tuning TISSUENARRATOR outperformed directly fine-tuning Qwen-4B-Base . This suggests that the spatial sentence training stage not only teaches the model cell generation, but also enables a deeper spatial understanding that transfers to Q&A tasks ( Supplementary Note D).",TISSUENARRATOR enables interactive Q&A about spatial regions,,explicit_text,,['full_2026-07-06__rec_000063::route_007'],['dense::full_2026-07-06__rec_000063::0002'],"[3, 4, 8, 11, 13]","['#/pictures/0', '#/texts/123', '#/texts/124', '#/texts/125', '#/texts/126', '#/texts/129', '#/texts/130', '#/texts/131', '#/texts/196', '#/texts/198']",['verbatim'],False,True,False,True,True,True,
