record_id,title,model_id,model_name,route_id,route_label,current_carrier_family,current_carrier_subtype,current_evidence_quote,current_section_heading,overall_sufficiency,recommended_action,field_issues,unsupported_assertions,concise_rationale,confidence
full_2026-07-06__rec_000086,PROCYON: A multimodal foundation model for protein phenotypes.,model_f8e766fddf66,ProCyon,route_058ac010dea2,Drug-protein interaction,dense_continuous_carrier,pooled_or_aggregated_embedding,Drug-protein interaction,Discussion,partial,revise_fields,carrier_family_and_subtype=partially_supported,The pooled_or_aggregated_embedding subtype is not explicitly stated. | A text-role coding is not established for this embedding-only benchmark row.,"The task is explicit, but the embedding subtype and text-role coding are over-specified relative to the paper.",medium
full_2026-07-06__rec_000086,PROCYON: A multimodal foundation model for protein phenotypes.,model_f8e766fddf66,ProCyon,route_1372c917a03e,Few-shot,text_native_token_stream,structured_biological_prompt_or_task_scaffold,Few-shot,Discussion,partial,revise_fields,carrier_family_and_subtype=partially_supported | fusion_topology=partially_supported,The exact few-shot prompt formatting is not specified.,"The split-evaluation setting is explicit, but the exact carrier and topology coding is slightly over-specific.",medium
full_2026-07-06__rec_000086,PROCYON: A multimodal foundation model for protein phenotypes.,model_f8e766fddf66,PROCYON,route_17d54e15b5c5,Enzyme Commission,text_native_token_stream,serialized_biological_context_or_ordered_profile,Enzyme Commission,Discussion,partial,revise_fields,carrier_family_and_subtype=partially_supported | insertion_or_fusion=partially_supported,The serialized-profile subtype is inferred rather than explicit. | The route-specific insertion mechanism is not isolated in the paper.,"The source domain is explicit, but the carrier subtype and route-level insertion details are slightly over-specified.",medium
full_2026-07-06__rec_000086,PROCYON: A multimodal foundation model for protein phenotypes.,model_f8e766fddf66,ProCyon,route_18a49a03ed5f,GO Function,discrete_biological_symbol_stream,native_biological_token_stream,GO Function,Discussion,insufficient,manual_full_text_review,source_object=unsupported | model_visible_form=unsupported | carrier_family_and_subtype=unsupported | fusion_topology=unclear | input_status=unclear,A peptide-specific GO Function route is not established in the document. | The no-text peptide-input framing is not grounded in the paper.,"The benchmark label is real, but the peptide-specific coding is not established by the document.",low
full_2026-07-06__rec_000086,PROCYON: A multimodal foundation model for protein phenotypes.,model_f8e766fddf66,ProCyon,route_205dede67b6c,Zero-shot,text_native_token_stream,structured_biological_prompt_or_task_scaffold,Zero-shot,Discussion,partial,revise_fields,carrier_family_and_subtype=partially_supported | fusion_topology=partially_supported,The exact zero-shot prompt formatting is not specified.,"The split setting is explicit, but the exact prompt scaffold remains under-specified.",medium
full_2026-07-06__rec_000086,PROCYON: A multimodal foundation model for protein phenotypes.,model_f8e766fddf66,ProCyon,route_23a47183c915,Many-shot,text_native_token_stream,structured_biological_prompt_or_task_scaffold,Many-shot,Discussion,partial,revise_fields,carrier_family_and_subtype=partially_supported | fusion_topology=partially_supported,The exact many-shot prompt formatting is not specified.,"The split evaluation is explicit, but the exact scaffold coding is a bit too specific.",medium
full_2026-07-06__rec_000086,PROCYON: A multimodal foundation model for protein phenotypes.,model_f8e766fddf66,ProCyon,route_45c11f118d39,Biological pathway,dense_continuous_carrier,pooled_or_aggregated_embedding,Biological pathway,Discussion,partial,revise_fields,carrier_family_and_subtype=partially_supported | fusion_topology=unclear,The pooled_or_aggregated_embedding subtype is not explicitly stated. | A route-specific topology is not spelled out.,"The benchmark label and dense carrier are explicit, but the subtype and topology are over-specified.",high
full_2026-07-06__rec_000086,PROCYON: A multimodal foundation model for protein phenotypes.,model_f8e766fddf66,ProCyon,route_67104b9f17d9,Cellular component,dense_continuous_carrier,pooled_or_aggregated_embedding,Cellular component,Discussion,partial,revise_fields,carrier_family_and_subtype=partially_supported | fusion_topology=unclear,The pooled_or_aggregated_embedding subtype is not explicitly stated. | A route-specific topology is not spelled out.,"The benchmark and protein-embedding carrier are explicit, but the subtype and topology are over-specified.",high
full_2026-07-06__rec_000086,PROCYON: A multimodal foundation model for protein phenotypes.,model_f8e766fddf66,ProCyon,route_67d60756e8b4,Drugbank Target,discrete_biological_symbol_stream,native_biological_token_stream,Drugbank Target,Discussion,insufficient,manual_full_text_review,lifecycle_phase=unsupported | source_object=unsupported | model_visible_form=unsupported | carrier_family_and_subtype=unsupported | fusion_topology=unclear | input_status=unclear,A peptide-specific Drugbank Target route is not established in the document. | The exact model input composition is not grounded.,"The label exists in the paper, but the evaluation-time peptide coding is not supported.",low
full_2026-07-06__rec_000086,PROCYON: A multimodal foundation model for protein phenotypes.,model_f8e766fddf66,PROCYON,route_6ea7a3e5f9c4,DisGeNET,text_native_token_stream,serialized_biological_context_or_ordered_profile,DisGeNET,Discussion,partial,revise_fields,carrier_family_and_subtype=partially_supported | insertion_or_fusion=partially_supported,The serialized-profile subtype is inferred rather than explicit. | The route-specific insertion mechanism is not isolated in the paper.,"The source domain is explicit, but the carrier subtype and route-level insertion details are over-specified.",medium
