record_id,title,doi,final_decision,final_code,uncertainty_reason,final_source,final_rationale,evidence_snippet,scope_primary_exclusion_code,scope_uncertainty_reason,architecture_primary_exclusion_code,architecture_uncertainty_reason
rec_000001,The translational paradox of AI in hepatocellular carcinoma: from algorithmic over-engineering to real-world clinical utility.,10.3389/fonc.2026.1848190,EXCLUDE,review_editorial,text_bio_bridge_unclear,adjudicator,"This is a mini-review, not a primary model paper, and it synthesizes HCC AI literature rather than presenting a new text-bio system. The abstract mentions VFMs and LLMs, but not a substantive bridge between text and biology.","""This mini-review critically evaluates"" and discusses ""self-supervised Vision Foundation Models"" and ""large language models (LLMs)"".",review_editorial,none,review_editorial,none
rec_000002,Evaluating the Role of AI Assistants in Accelerating Neurodegenerative Disease Research: Opportunities and Translational Limitations.,10.2147/NDT.S614952,EXCLUDE,review_editorial,text_bio_bridge_unclear,adjudicator,"This is a review of AI assistants in neurodegenerative disease research, focused on applications and limitations rather than a new model. It mentions foundation models and LLMs, but only in a survey context.","""This review evaluates the current applications of AI in neurodegenerative disease research"" and mentions ""foundation models and large language models (LLMs)"".",review_editorial,none,review_editorial,none
rec_000003,Cycle-consistent deep generative modeling unifies cellular states across unpaired spatial and single-cell modalities.,10.64898/2026.05.25.727736,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC4_no_foundation_model_evidence,none
rec_000004,Molecular Characterization of T-Lineage Acute Lymphoblastic Leukemia by an Optimal-Transport Based Multi-Omics Integration Framework.,10.64898/2026.05.22.727257,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC4_no_foundation_model_evidence,none
rec_000005,Pathogenicity prediction for noncanonical splice-altering variants based on multimodal feature fusion.,10.1093/bib/bbag291,EXCLUDE,EC3_not_generative,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,none,none,EC3_not_generative,none
rec_000006,Decoding Occult Cervical Lymph Node Metastasis in Head and Neck Squamous Cell Carcinoma: From AI-Driven Multimodal Fusion to Clinical Translation.,10.1007/s11912-026-01802-6,EXCLUDE,review_editorial,none,adjudicator,"This is explicitly a review of multimodal integration for occult nodal metastasis, not an original model paper. The abstract discusses deep learning and fusion methods without any text component or generative model of its own.","""Purpose of Review"" and ""This review examines"" AI-driven multimodal integration.",review_editorial,none,review_editorial,none
rec_000007,THC-net: an attention-based deep learning model for chromatin compartment prediction from histone modifications.,10.1186/s12859-026-06504-1,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
rec_000008,Network Methods for Diagonal Integration of Unpaired Single-Cell Multi-Omics Data: A Review.,10.1093/bioinformatics/btag353,EXCLUDE,review_editorial,text_bio_bridge_unclear,adjudicator,"The abstract explicitly says this is a review article and that no novel software is distributed. It surveys methods and benchmarks, including generative/foundation model strategies, rather than presenting a candidate model.","""This is a review article; no novel software is distributed"" and it surveys ""generative and foundation model strategies"".",review_editorial,none,review_editorial,none
rec_000009,Listeria Genome Identification Using DNABERT Embedding With LightGBM and SHAP-Based Explainable Classification.,10.1177/11779322261457840,EXCLUDE,application_wrapper,mixed_signals,adjudicator,"The study uses a pretrained DNABERT encoder with LightGBM for classification, which is wrapper-style use of an existing language model rather than a new generative model. The reviewers disagreed on primary-model vs wrapper classification, so the conservative call is application wrapper.","""encoded using the pretrained DNABERT model"" and then classified with ""a LightGBM classifier"".",EC2_no_text_component,none,application_wrapper,none
rec_000010,Decoding Treatment Response in Hepatocellular Carcinoma: The Era of Radiomics and Radiogenomics.,10.2147/JHC.S595928,EXCLUDE,review_editorial,none,adjudicator,"This is a review of radiomics and radiogenomics in HCC immunotherapy, not an original model paper. The abstract summarizes applications, challenges, and future directions without a text-bio generative model.","""This review systematically summarizes"" radiomics in HCC immunotherapy.",review_editorial,none,review_editorial,none
rec_000011,Transformer-based operon prediction using textual representations of gene pairs.,10.1093/bioadv/vbag140,EXCLUDE,EC3_not_generative,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,none,none,EC3_not_generative,none
rec_000012,DeepCas12a: a hybrid deep learning framework for accurate AsCas12a efficiency prediction from sequence and epigenetic information.,10.1186/s12864-026-13003-3,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
