record_id,source_record_id,title,doi,restored_path,sha256,characters,historical_source_docling_json,historical_source_docling_sha256,recovery_log,recovery_request_index,recovery_log_line,recovery_status
full_2026-07-06__rec_000060,rec_000060,Query-driven generative AI synthesizes multi-modal spatial omics from histology.,10.64898/2025.12.11.693669,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_000060.md,2f511aebc78e2127f9d489d18887df56e824b5f92f9c40bb89a5759e4d8f9b1f,98992,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_000060.docling.json,3f5680adcdbc1e2ee036a88358b26c24e1ed74d79896018e9ed1efdc3dd02cf7,data/input_representation_taxonomy_2026-07-11/runs/discovery_open_r1/shard_02/llm_calls.jsonl,1,1,exact_markdown_recovered_from_logged_direct_prompt
full_2026-07-06__rec_000063,rec_000063,TissueNarrator: Generative Modeling of Spatial Transcriptomics with Large Language Models.,10.1101/2025.11.24.690325,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_000063.md,0f0234364b999dbec7f7ec2a1242d96b2139888282cff919ff59095d46fe2b69,54186,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_000063.docling.json,dbba304b53c810a6cc9932eb1ee63c557c49d86abe115f7d6726cf07b8d93073,data/input_representation_taxonomy_2026-07-11/runs/discovery_open_r1/shard_05/llm_calls.jsonl,1,1,exact_markdown_recovered_from_logged_direct_prompt
full_2026-07-06__rec_000086,rec_000086,ProCyon: A multimodal foundation model for protein phenotypes.,10.1101/2024.12.10.627665,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_000086.md,42201120cd6140430a7bd025652de997458aaa801a2259e6c039b06309946bd2,62023,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_000086.docling.json,a2cb76a38739e6ecd701f0826efa7c0622968d1e5449c3f32c72d6fcdc63a724,data/input_representation_taxonomy_2026-07-11/runs/discovery_open_r1/shard_02/llm_calls.jsonl,3,5,exact_markdown_recovered_from_logged_direct_prompt
full_2026-07-06__rec_000090,rec_000090,Scaling Large Language Models for Next-Generation Single-Cell Analysis.,10.1101/2025.04.14.648850,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_000090.md,191534e62a19dbec97542da5597d24010ad25776d829c48bf3c90ef819e203ec,200006,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_000090.docling.json,ddc9e5e167b6e7f66705f19e4445a621dbdfc607dd1f967c8a8245b948b8dbe4,data/input_representation_taxonomy_2026-07-11/runs/discovery_open_r1/shard_06/llm_calls.jsonl,3,5,exact_markdown_recovered_from_logged_direct_prompt
full_2026-07-06__rec_000771,rec_000771,"A multimodal conversational agent for DNA, RNA and protein tasks",10.1038/s42256-025-01047-1,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_000771.md,f8550c2b4f96c61cc5ed326152f2f2dd958e0f97138a9ea40d0c9522ce22ce2c,85366,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_000771.docling.json,dc7725ea153a9a6748fe20224d8b35b2e08a8b50c656f25f7103c78789461e03,data/input_representation_taxonomy_2026-07-11/runs/discovery_open_r1/shard_07/llm_calls.jsonl,3,5,exact_markdown_recovered_from_logged_direct_prompt
full_2026-07-06__rec_000827,rec_000827,Multimodal learning enables chat-based exploration of single-cell data,10.1038/s41587-025-02857-9,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_000827.md,d8bdc2c7f9a84fde4c84e1afcba61584ba7d00297070b416c9856bafc3ca119a,139326,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_000827.docling.json,f55354693adddf6222b392e2298e0b3abb39347e0e9fcf6f1989d7ad29d542e8,data/input_representation_taxonomy_2026-07-11/runs/discovery_open_r1/shard_07/llm_calls.jsonl,11,21,exact_markdown_recovered_from_logged_direct_prompt
full_2026-07-06__rec_000950,rec_000950,Illuminating protein space with a programmable generative model,10.1038/s41586-023-06728-8,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_000950.md,1f0a3843f73b3b301d4e67ce3e8135c6d1d7f2e884fd70da8fe16f0aae3dd496,61097,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_000950.docling.json,5e4ad7952853a756bdbb3458c555af7615dc7b79da675a49561cd2402197d6fb,data/input_representation_taxonomy_2026-07-11/runs/discovery_open_r1/shard_07/llm_calls.jsonl,9,17,exact_markdown_recovered_from_logged_direct_prompt
full_2026-07-06__rec_001074,rec_001074,BioReason: Incentivizing Multimodal Biological Reasoning within a DNA-LLM Model,10.48550/arXiv.2505.23579,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_001074.md,12544812a69f39f660c53f9eacaa5d241d8ef5171d715be498f89e46911df5b1,98587,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_001074.docling.json,36b334c355dcc100d9cc66a6b0135a49ec6d65f59aa78c6b7e8c17a86766445a,data/input_representation_taxonomy_2026-07-11/runs/discovery_open_r1/shard_01/llm_calls.jsonl,11,21,exact_markdown_recovered_from_logged_direct_prompt
full_2026-07-06__rec_001126,rec_001126,Language may be all omics needs: Harmonizing multimodal data for omics understanding with CellHermes,10.1101/2025.11.07.687322,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_001126.md,e51f50441e97093ad5268684c6bd69531261cbf5ccfe8670fd7e5eecfb05d12c,85644,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_001126.docling.json,8c8b1ef4ffbdcbcafa7260b33d153707408dbe79377f835744a57837490a5776,data/input_representation_taxonomy_2026-07-11/runs/discovery_open_r1/shard_06/llm_calls.jsonl,12,23,exact_markdown_recovered_from_logged_direct_prompt
full_2026-07-06__rec_001187,rec_001187,Precious3GPT: Multimodal Multi-Species Multi-Omics Multi-Tissue Transformer for Aging Research and Drug Discovery,10.1101/2024.07.25.605062,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_001187.md,743543438cbd003fae83c281238a8e82f4c3d79e692f3a2636fa7af6e436b8b0,97675,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_001187.docling.json,6305d918eff83efdb0947b34668c62c96c844db16ad74f7e4cc9cd9dd465cd50,data/input_representation_taxonomy_2026-07-11/runs/discovery_open_r1/shard_03/llm_calls.jsonl,1,1,exact_markdown_recovered_from_logged_direct_prompt
full_2026-07-06__rec_001200,rec_001200,Systematic discovery of single-cell protein networks in cancer with Shusi,10.1101/2025.04.27.649905,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_001200.md,a812cbfe491c806e50c4e9309228fa1d50babc0e52c4665452df8b146a9fdb91,92032,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_001200.docling.json,223d9c3b5d2ce692ca8c67020c0dd9988cfc4a4089975744eb9f0600949b9874,data/input_representation_taxonomy_2026-07-11/runs/discovery_open_r1/shard_06/llm_calls.jsonl,1,1,exact_markdown_recovered_from_logged_direct_prompt
full_2026-07-06__rec_001218,rec_001218,Any-to-Any Learning in Computational Pathology via Triplet Multimodal Pretraining,10.48550/arXiv.2505.12711,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_001218.md,0dbd940b93d89e9c028ecc4e60be8b72093f274ed5cecb0db7968f7ccc76f298,84800,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_001218.docling.json,e4e448c3059db57bf3b1dcc3c48b052b7a717550b2fde6fbe3164a956db350b1,data/input_representation_taxonomy_2026-07-11/runs/discovery_open_r1/shard_04/llm_calls.jsonl,1,1,exact_markdown_recovered_from_logged_direct_prompt
full_2026-07-06__rec_001277,rec_001277,WITHDRAWN: OKR-Cell: Open World Knowledge Aided Single-Cell Foundation Model with Robust Cross-Modal Cell-Language Pre-training,10.64898/2026.01.09.698573,data/docling_include_vlm_52_2026-07-10_nolimits/markdown/full_2026_07_06_rec_001277.md,2c92b03c00c63659f27d8e0e3f1f6c8b66b716ce84b31b07dc78af5986299f34,107670,data/docling_include_vlm_52_2026-07-10_nolimits/documents/full_2026_07_06_rec_001277.docling.json,c3171b124341cc9e593f6b962217771cdb6e88061c71e9e9e29dd556456f4829,data/input_representation_taxonomy_2026-07-11/runs/discovery_open_r1/shard_03/llm_calls.jsonl,3,5,exact_markdown_recovered_from_logged_direct_prompt
