record_id,title,study_id_stable,old_routes,current_routes,route_delta,accepted_primary_links,high_confidence_links,moderate_confidence_links,old_unmatched,current_unmatched,old_models,current_models,old_configurations,current_configurations,old_family_counts,current_family_counts,old_model_names,current_model_names
full_2026-07-06__rec_000060,Query-driven generative AI synthesizes multi-modal spatial omics from histology.,True,3,4,1,2,0,2,1,2,1,1,3,2,visual_raster_carrier=3,text_native_token_stream=2; visual_raster_carrier=2,TissueCraftAI,TissueCraftAI
full_2026-07-06__rec_000063,TISSUENARRATOR: Generative Modeling of Spatial Transcriptomics with Large Language Models.,True,7,7,0,4,3,1,3,3,1,1,7,7,text_native_token_stream=7,text_native_token_stream=7,TISSUENARRATOR,TISSUENARRATOR
full_2026-07-06__rec_000086,PROCYON: A multimodal foundation model for protein phenotypes.,True,20,38,18,9,0,9,11,29,3,2,12,25,discrete_biological_symbol_stream=3; geometric_or_diffusion_state_carrier=6; text_native_token_stream=11,dense_continuous_carrier=3; discrete_biological_symbol_stream=6; geometric_or_diffusion_state_carrier=1; text_native_token_stream=28,PROCYON; PROCYON-BIND; PROCYON-SPLIT,PROCYON; PROCYON-SPLIT; ProCyon
full_2026-07-06__rec_000090,Scaling Large Language Models for Next-Generation Single-Cell Analysis.,True,34,15,-19,12,0,12,22,3,2,2,27,15,text_native_token_stream=34,text_native_token_stream=15,C2S-Scale; C2S-Scale perturbation model,C2S-Scale; C2S-Scale perturbation model
full_2026-07-06__rec_000771,"A multimodal conversational agent for DNA, RNA and protein tasks",True,3,4,1,2,0,2,1,2,1,1,2,4,dense_continuous_carrier=2; text_native_token_stream=1,dense_continuous_carrier=4,ChatNT,ChatNT
full_2026-07-06__rec_000827,Multimodal learning enables chat-based exploration of single-cell data,True,11,13,2,3,0,3,8,10,2,4,8,8,dense_continuous_carrier=2; discrete_biological_symbol_stream=1; text_native_token_stream=8,dense_continuous_carrier=3; text_native_token_stream=10,CellWhisperer chat model; CellWhisperer embedding model,GPT-4; GPT-4o; Mistral 7B; Mixtral 8x7b
full_2026-07-06__rec_000950,Illuminating protein space with a programmable generative model,True,10,12,2,7,1,6,3,5,1,1,10,11,geometric_or_diffusion_state_carrier=7; text_native_token_stream=3,geometric_or_diffusion_state_carrier=11; text_native_token_stream=1,Chroma,Chroma
full_2026-07-06__rec_001074,BIOREASON: Incentivizing Multimodal Biological Reasoning within a DNA-LLM Model,True,8,8,0,7,2,5,1,1,3,2,5,5,dense_continuous_carrier=5; text_native_token_stream=3,dense_continuous_carrier=4; text_native_token_stream=4,BIOREASON; Enformer-Qwen3-1.7B; Enformer-Qwen3-4B,BIOREASON; Qwen3
full_2026-07-06__rec_001126,Language may be all omics needs: Harmonizing multimodal data for omics understanding with CellHermes,True,14,14,0,13,2,11,1,1,1,1,14,14,dense_continuous_carrier=1; text_native_token_stream=13,dense_continuous_carrier=1; text_native_token_stream=13,CellHermes,CellHermes
full_2026-07-06__rec_001187,Precious3GPT: Multimodal Multi-Species Multi-Omics Multi-Tissue Transformer for Aging Research and Drug Discovery,True,17,13,-4,9,6,3,8,4,2,2,15,12,dense_continuous_carrier=5; text_native_token_stream=12,dense_continuous_carrier=5; text_native_token_stream=8,CatBoost; Precious3GPT,CatBoost; P3GPT
