record_id,status,old_study_ids,current_study_ids,title,old_routes,current_routes
full_2026-07-06__rec_000060,shared_stable_study_id,study_b4bb1defb3cb,study_b4bb1defb3cb,Query-driven generative AI synthesizes multi-modal spatial omics from histology.,3,4
full_2026-07-06__rec_000063,shared_stable_study_id,study_b53ceb5b4db2,study_b53ceb5b4db2,TISSUENARRATOR: Generative Modeling of Spatial Transcriptomics with Large Language Models.,7,7
full_2026-07-06__rec_000086,shared_stable_study_id,study_f6eff70c6863,study_f6eff70c6863,PROCYON: A multimodal foundation model for protein phenotypes.,20,38
full_2026-07-06__rec_000090,shared_stable_study_id,study_c2885aa81441,study_c2885aa81441,Scaling Large Language Models for Next-Generation Single-Cell Analysis.,34,15
full_2026-07-06__rec_000771,shared_stable_study_id,study_35ae37a7f86c,study_35ae37a7f86c,"A multimodal conversational agent for DNA, RNA and protein tasks",3,4
full_2026-07-06__rec_000827,shared_stable_study_id,study_f500772cfe83,study_f500772cfe83,Multimodal learning enables chat-based exploration of single-cell data,11,13
full_2026-07-06__rec_000950,shared_stable_study_id,study_6a2c72fbcaf1,study_6a2c72fbcaf1,Illuminating protein space with a programmable generative model,10,12
full_2026-07-06__rec_001074,shared_stable_study_id,study_08046f30aead,study_08046f30aead,BIOREASON: Incentivizing Multimodal Biological Reasoning within a DNA-LLM Model,8,8
full_2026-07-06__rec_001126,shared_stable_study_id,study_9444a1483055,study_9444a1483055,Language may be all omics needs: Harmonizing multimodal data for omics understanding with CellHermes,14,14
full_2026-07-06__rec_001187,shared_stable_study_id,study_9645a7bdccf5,study_9645a7bdccf5,Precious3GPT: Multimodal Multi-Species Multi-Omics Multi-Tissue Transformer for Aging Research and Drug Discovery,17,13
full_2026-07-06__rec_001200,shared_stable_study_id,study_ceeeabf3583a,study_ceeeabf3583a,Systematic discovery of single-cell protein networks in cancer with Shusi,4,6
full_2026-07-06__rec_001218,shared_stable_study_id,study_ea83dc2e6084,study_ea83dc2e6084,Any-to-Any Learning in Computational Pathology via Triplet Multimodal Pretraining,8,8
full_2026-07-06__rec_001277,shared_stable_study_id,study_55720b9d7702,study_55720b9d7702,Open World Knowledge Aided Single-Cell Foundation Model with Robust Cross-Modal Cell-Language Pre-training,5,5
full_2026-07-06__rec_001319,shared_stable_study_id,study_40ede81c16fd,study_40ede81c16fd,A Multi-Modal AI Copilot for Single-Cell Analysis with Instruction Following,3,5
full_2026-07-06__rec_001343,shared_stable_study_id,study_7bc6678864bf,study_7bc6678864bf,A General Single-Cell Analysis Framework via Conditional Diffusion Generative Models,6,8
full_2026-07-06__rec_001352,shared_stable_study_id,study_c985a0111a3c,study_c985a0111a3c,Towards Generalist Biomedical AI,14,29
full_2026-07-06__rec_001381,shared_stable_study_id,study_d0e026b8e9c9,study_d0e026b8e9c9,Language-Enhanced Representation Learning for Single-Cell Transcriptomics,7,8
full_2026-07-06__rec_001519,shared_stable_study_id,study_ff0e5e9d25b9,study_ff0e5e9d25b9,BioGPT: A Generative Transformer-Based Framework for Personalized Genomic Medicine and Rare Disease Diagnosis,4,2
full_2026-07-06__rec_001617,shared_stable_study_id,study_4f442dcf4ed4,study_4f442dcf4ed4,Cell-o1: Training LLMs to Solve Single-Cell Reasoning Puzzles with Reinforcement Learning,4,26
