record_id,source_record_id,source_corpus,context_status,selected_section_count,full_text_context_chars,abstract_chars,selected_original_chars_total,abstract_headings,introduction_headings,discussion_conclusion_headings,data_representation_headings,document_opening_headings,docling_markdown,title,doi
full_2026-07-06__rec_000003,rec_000003,include,ok,6,8475,1328,27519,Abstract,Introduction,Discussion,Pretraining Data | Architecture and Pretraining | Methods,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000003.md,Short-Context Regulatory DNA Language Models with Motif-Discovery Regularization.,10.64898/2026.02.05.703637
full_2026-07-06__rec_000060,rec_000060,include,ok,6,7784,1567,12836,Abstract,Introduction,Discussion,"Large-Scale, Multi-Modal Dataset for Computational Pathology | Dataset partitioning for model training and testing | Online Methods",,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000060.md,Query-driven generative AI synthesizes multi-modal spatial omics from histology.,10.64898/2025.12.11.693669
full_2026-07-06__rec_000063,rec_000063,include,ok,4,4985,1422,14059,Abstract,Introduction,Discussion,Methods,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000063.md,TissueNarrator: Generative Modeling of Spatial Transcriptomics with Large Language Models.,10.1101/2025.11.24.690325
full_2026-07-06__rec_000086,rec_000086,include,ok,3,4664,0,45241,,,Discussion,PROCYON-INSTRUCT dataset with 33 million protein-phenotype instructions | model architecture,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000086.md,ProCyon: A multimodal foundation model for protein phenotypes.,10.1101/2024.12.10.627665
full_2026-07-06__rec_000090,rec_000090,include,ok,7,9848,1351,19157,ABSTRACT,Introduction,Discussion,Input representation | Data Collection | Multi-Task Dataset Creation | Dataset interpretation,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000090.md,Scaling Large Language Models for Next-Generation Single-Cell Analysis.,10.1101/2025.04.14.648850
full_2026-07-06__rec_000099,rec_000099,include,ok,3,4709,0,12780,,,Discussion,Methods | Analysis of species tag-prompting methods,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000099.md,Semantic design of functional de novo genes from a genomic language model.,10.1038/s41586-025-09749-7
full_2026-07-06__rec_000160,rec_000160,include,ok,4,6323,1590,33060,Abstract,Introduction,,PlantCAD2 model architecture and pre-training 562 | Methods,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000160.md,PlantCAD2: A Long-Context DNA Language Model for Cross-Species Functional Annotation in Angiosperms.,10.1101/2025.08.27.672609
full_2026-07-06__rec_000184,rec_000184,include,ok,6,9099,1588,23239,Abstract,Introduction,Discussion,In vitro TF-DNA binding affinity prediction on the DREAM5 PBM datasets | TF-DNA binding affinity prediction using TRAFICA fine-tuned by HT-SELEX datasets | Model architecture,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000184.md,TRAFICA: an open chromatin language model to improve transcription factor binding affinity prediction.,10.1093/bioinformatics/btaf469
full_2026-07-06__rec_000246,rec_000246,include,ok,2,3015,0,38850,,,Discussion,Methods,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000246.md,Cross-species modeling of plant genomes at single-nucleotide resolution using a pretrained DNA language model.,10.1073/pnas.2421738122
full_2026-07-06__rec_000313,rec_000313,include,ok,7,8730,1540,26819,Abstract,Introduction,Discussion,Genomic datasets for language model pre-training | Downstream task datasets | Nucleotide Transformer dataset | HyenaDNA species classification dataset,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000313.md,GENA-LM: a family of open-source foundational DNA language models for long sequences.,10.1093/nar/gkae1310
full_2026-07-06__rec_000323,rec_000323,include,ok,6,8735,1382,30102,Abstract,Introduction,Discussion,Architecture A | Neural Architecture Search | Methods,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000323.md,L2G: Repurposing Language Models for Genomics Tasks.,10.1101/2024.12.09.627422
full_2026-07-06__rec_000329,rec_000329,include,ok,3,4643,0,44405,,,Discussion,Building RNA sequence datasets from GTDB genomes | Methods,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000329.md,RNA language models predict mutations that improve RNA function.,10.1038/s41467-024-54812-y
full_2026-07-06__rec_000347,rec_000347,include,ok,6,9111,1120,24051,Abstract,Introduction,Discussion,Online Methods Viral genome datasets | Host prediction training and test datasets | The Protein Set Transformer model architecture,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000347.md,Protein Set Transformer: A protein-based genome language model to power high diversity viromics.,10.21203/rs.3.rs-4844047/v1
full_2026-07-06__rec_000401,rec_000401,include,ok,5,6687,1570,29046,Abstract,,Discussion,Datasets | Architecture and pre-training of UTR-LM | Methods,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000401.md,A 5' UTR Language Model for Decoding Untranslated Regions of mRNA and Function Predictions.,10.1038/s42256-024-00823-9
full_2026-07-06__rec_000486,rec_000486,include,ok,3,4790,1535,30299,Abstract,Introduction,Conclusion,,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000486.md,HyenaDNA: Long-Range Genomic Sequence Modeling at Single Nucleotide Resolution,10.48550/arXiv.2306.15794
full_2026-07-06__rec_000534,rec_000534,include,ok,5,7906,0,28374,,,Discussion,Genomic corpus compilation | Dataset compilation and initial gene annotation | Corpus generation | Methods,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000534.md,Deciphering microbial gene function using natural language processing.,10.1038/s41467-022-33397-4
full_2026-07-06__rec_000607,rec_000607,include,ok,5,7842,1578,64807,Abstract,Background,Discussion | Conclusion,Methods,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000607.md,Modeling aspects of the language of life through transfer-learning protein sequences.,10.1186/s12859-019-3220-8
full_2026-07-06__rec_000619,rec_000619,include,ok,7,10784,1458,127201,Abstract,Introduction,Discussion | Conclusions,Training data | Architecture and training | Methods,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000619.md,Large-scale multi-omic biosequence transformers for modeling protein–nucleic acid interactions,10.1371/journal.pone.0341501
full_2026-07-06__rec_000626,rec_000626,include,ok,4,6333,1510,30727,Abstract,,Discussion,Datasets | Methods,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000626.md,Probing genomic language models: Nucleotide Generative Pretrained Transformer and the role of pretraining in learned representations,10.1093/bib/bbag011
full_2026-07-06__rec_000709,rec_000709,include,ok,1,2777,0,1982,,,,"Screening of precise and compact ABEs via PNLM Using our constructed PNLM model, we explored using PNLM for further engineering TadA-8e proteins. We fine-tuned the PNLM with our curated TadA-8e variant dataset. We utilized the PNLM to generate 150 TadA-8elike sequences, including 39 insertion, 73 mutation, and 38 truncated variants (Fig. 2a and Supplementary Data 1). During the fine-tuning process, we observed that incorporating nucleic acid and editing position information, compared to only using protein sequences, led to a reduction in the model's fine-tuning loss (Fig. 2b). We used ESM-1v 26 to predict the transformed log-likelihood of all generated sequences and PNLM has higher conservation degree of the catalytic domain (Fig. 2c). Existing machine learning scoring methods demonstrated diverse evaluation techniques. Using the sequence-based evaluation method, ESM-1v 26 reported 21 of the generated sequences outperformed the wild-type (Supplementary Fig. 2c and Supplementary Data 1). We further combined ESM-1v 26 ， MIF-ST 27 ， Rosetta 28 and AlphaFold2 29 to screen and characterize the generated truncated sequences(Fig. 2a and Supplementary Fig. 2). ARTICLE IN PRESS",,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000709.md,Protein-nucleic acid language model-assisted design of precise and compact adenine base editor,10.1038/s41467-025-65311-z
full_2026-07-06__rec_000771,rec_000771,include,ok,4,6312,0,29825,,,Discussion,curated instructions dataset of biologically relevant tasks | Genomics instructions datasets | Methods,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000771.md,"A multimodal conversational agent for DNA, RNA and protein tasks",10.1038/s42256-025-01047-1
full_2026-07-06__rec_000822,rec_000822,include,ok,7,10860,1428,101430,Abstract,Background,Discussion | Conclusions,HydraRNA: a hybrid architecture based fulllength RNA language model | HydraRNA architecture and pre-training strategy | Methods,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000822.md,HydraRNA: a hybrid architecture based full-length RNA language model,10.1186/s13059-025-03853-7
full_2026-07-06__rec_000843,rec_000843,include,ok,7,10015,1262,35870,Abstract,Introduction,Conclusion,Datasets for pretraining UTRBERTs | Datasets | Materials and methods | Learning the joint representation of segment sequence using CLIP,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000843.md,mRNA-LM: full-length integrated SLM for mRNA analysis,10.1093/nar/gkaf044
full_2026-07-06__rec_000867,rec_000867,include,ok,2,3117,0,12180,,,Discussion,Methods,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000867.md,A long-context language model for deciphering and generating bacteriophage genomes,10.1038/s41467-024-53759-4
full_2026-07-06__rec_000908,rec_000908,include,ok,2,3141,0,16569,,,Discussion,Methods,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000908.md,DNA language model GROVER learns sequence context in the human genome,10.1038/s42256-024-00872-0
full_2026-07-06__rec_000915,rec_000915,include,ok,6,8175,0,28874,,INTRODUCTION,DISCUSSION,Datasets | Curated datasets obtained | Predictive performance of Bingo using balanced and imbalanced datasets | AND METHODS,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000915.md,'Bingo' - a large language model- and graph neural network-based workflow for the prediction of essential genes from protein data,10.1093/bib/bbad472
full_2026-07-06__rec_000939,rec_000939,include,ok,7,10309,1540,31364,Abstract,Introduction,Discussion,Dataset pre-processing | Dataset used for training | Dataset used for evaluating | Materials and methods,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000939.md,GexMolGen: cross-modal generation of hit-like molecules via large language model encoding of gene expression signatures,10.1093/bib/bbae525
full_2026-07-06__rec_000950,rec_000950,include,ok,2,1654,0,4083,,,Discussion,Extended Data Table 2 | X-ray crystallography data collection and refinement statistics,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_000950.md,Illuminating protein space with a programmable generative model,10.1038/s41586-023-06728-8
full_2026-07-06__rec_001074,rec_001074,include,ok,8,12042,1542,44075,Abstract,Introduction,Discussion | Conclusion,Datasets | KEGG-Derived Biological Reasoning Dataset | Dataset Integration and Statistics | Datasets,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_001074.md,BioReason: Incentivizing Multimodal Biological Reasoning within a DNA-LLM Model,10.48550/arXiv.2505.23579
full_2026-07-06__rec_001126,rec_001126,include,ok,6,9135,1455,31611,Abstract,Introduction,Discussion,Pretraining data collection and preprocessing | Self-supervised learning (SSL) emulation instruction dataset construction | Methods,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_001126.md,Language may be all omics needs: Harmonizing multimodal data for omics understanding with CellHermes,10.1101/2025.11.07.687322
full_2026-07-06__rec_001133,rec_001133,include,ok,7,7219,1489,14153,Abstract,Introduction,Discussion,Architecture | Architecture | Architecture | Architecture,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_001133.md,Nona: A unifying multimodal masking framework for functional genomics,10.1101/2025.11.06.687036
full_2026-07-06__rec_001143,rec_001143,include,ok,6,9060,1377,18771,Abstract,Introduction,Conclusions,"Fig. 1. Overview of TranscriptFormer pretraining data, model, output and downstream tasks. (A) | Pretraining Data Selection and Curation | Model Architecture",,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_001143.md,A Cross-Species Generative Cell Atlas Across 1.5 Billion Years of Evolution: The TranscriptFormer Single-cell Model,10.1101/2025.04.25.650731
full_2026-07-06__rec_001161,rec_001161,include,ok,6,7957,1466,31057,Abstract,Introduction,Discussion,Data collection and transformation | scMPT vs scGPT F1 Score on Different Datasets | Methods,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_001161.md,Towards Applying Large Language Models to Complement Single-Cell Foundation Models,10.48550/arXiv.2507.10039
full_2026-07-06__rec_001218,rec_001218,include,ok,8,12282,1344,50984,Abstract,Introduction,Discussion | Conclusion,Datasets and Tasks | Datasets | Fusion Architecture | Method,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_001218.md,Any-to-Any Learning in Computational Pathology via Triplet Multimodal Pretraining,10.48550/arXiv.2505.12711
full_2026-07-06__rec_001289,rec_001289,include,ok,1,1585,0,2664,,,,Influence of pre-training data size,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_001289.md,scGPT: Towards Building a Foundation Model for Single-Cell Multi-omics Using Generative AI,10.1101/2023.04.30.538439
full_2026-07-06__rec_001291,rec_001291,include,ok,6,9013,1593,37652,ABSTRACT,,DISCUSSION,"DATASET CREATION | DATASET SPLITTING, FILTERING, AND UPSAMPING | MODEL ARCHITECTURE AND TRAINING PROCEDURE | METHODS",,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_001291.md,Unsupervised Whole-Genome Representation Learning Captures Bacterial Phenotypes,10.1101/2025.04.01.646674
full_2026-07-06__rec_001302,rec_001302,include,ok,3,4498,1488,16478,Abstract,Introduction,Discussion,,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_001302.md,How to improve polygenic prediction from whole-genome sequencing data by leveraging predicted epigenomic features?,10.1101/2024.10.04.24314860
full_2026-07-06__rec_001319,rec_001319,include,ok,3,4738,1513,12434,Abstract,,Discussion,InstructCell model architecture,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_001319.md,A Multi-Modal AI Copilot for Single-Cell Analysis with Instruction Following,10.48550/arXiv.2501.08187
full_2026-07-06__rec_001351,rec_001351,include,ok,4,6122,1367,15213,Abstract,Introduction,Conclusion,JanusDNA Hybrid Architecture,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_001351.md,JanusDNA: A Powerful Bi-directional Hybrid DNA Foundation Model,10.48550/arXiv.2505.17257
full_2026-07-06__rec_001352,rec_001352,include,ok,6,8299,0,56349,,Introduction,Discussion | Conclusion,Language-only datasets | Multimodal datasets | Training data mixture,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_001352.md,Towards Generalist Biomedical AI,10.48550/arXiv.2307.14334
full_2026-07-06__rec_001358,rec_001358,include,ok,1,1570,0,10558,,,,Supplementary Note 3: Benchmarking Dataset descriptions,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_001358.md,Harnessing the Power of Single-Cell Large Language Models with Parameter Efficient Fine-Tuning using scPEFT,10.1038/s42256-025-01170-z
full_2026-07-06__rec_001381,rec_001381,include,ok,6,8583,1057,24011,Abstract,Introduction,,Large Scale and Multi-Source Cell-Text Data Collection | Details of Datasets | Collection of the Pre-training Dataset | Collection of downstream Dataset,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_001381.md,Language-Enhanced Representation Learning for Single-Cell Transcriptomics,
full_2026-07-06__rec_001391,rec_001391,include,ok,6,9403,1538,40597,Abstract,,Discussion,"Huang, K., Fu, T., Gao, W., Zhao, Y., Roohani, Y., Leskovec, J., Coley, C.W., Xiao, C., Sun, J., Zitnik, M.: Therapeutics data commons: Machine learning datasets and tasks for drug discovery and development. arXiv preprint arXiv:2102.09548 (2021) | Datasets | - Molecular Aligned Multi-Modal Architecture and Language for Biomedical Discovery | MAMMAL Architecture",,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_001391.md,MAMMAL - Molecular Aligned Multi-Modal Architecture and Language,10.48550/arXiv.2410.22367
full_2026-07-06__rec_001431,rec_001431,include,ok,5,6851,1392,12427,ABSTRACT,Introduction,Conclusions,Sample representation | Methods,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_001431.md,BIOFORMERS: A SCALABLE FRAMEWORK FOR EXPLORING BIOSTATES USING TRANSFORMERS,10.1101/2023.11.29.569320
full_2026-07-06__rec_001436,rec_001436,include,ok,6,7674,1093,10966,Abstract,Introduction,Conclusion,Pretraining data | Dataset Construction | Training Data,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_001436.md,Predicting evolutionary rate as a pretraining task improves genome language model representations,10.64898/2026.02.02.703275
full_2026-07-06__rec_001447,rec_001447,include,ok,3,4649,0,24761,,Introduction,Discussion,Methods,,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_001447.md,GeneChat: A Multi-Modal Large Language Model for Gene Function Prediction,10.1101/2025.06.05.658031
full_2026-07-06__rec_001487,rec_001487,include,fallback_document_opening,1,1581,0,1540,,,,,Docling opening text,data/docling_include_no_vlm_2026-07-09/markdown/full_2026_07_06_rec_001487.md,Universal Single-Cell Transcriptomic Aging Clock powered by LLMs reveals targets to slow cellular aging,10.1093/geroni/igaf122.4305
